,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2010/04/05,H,-124,CHC,8.5,16,5,6.40344484544,lowed001,47.147,1518.661,1,0.554794883022,16,5,1,0,1.0,
1,2010/04/07,H,-143,CHC,8,3,2,22.8044,jurrj001,56.85,1523.235,1,0.577837179906,19,7,2,0,1.0,0.891417531564
2,2010/04/08,H,-175,CHC,8,2,0,10.7865,hanst001,54.316,1524.331,0,0.57336105623,21,7,2,1,0.666666666667,0.859039740626
3,2010/04/09,A,110,SF,8,5,4,8.3519,hudst001,53.766,1522.131,0,0.490722508284,26,11,2,2,0.5,0.879583109082
4,2010/04/10,A,-116,SF,9,7,2,6.40344484544,lowed001,46.574,1520.769,1,0.458400556169,33,13,3,2,0.6,0.825917316717
5,2010/04/11,A,169,SF,7,6,3,6.40344484544,kawak001,50.042,1523.806,0,0.412815611426,39,16,3,3,0.5,0.84371326642
6,2010/04/12,A,-124,SD,7,17,2,21.8644,jurrj001,56.723,1522.184,0,0.54779607492,56,18,3,4,0.428571428571,0.833780502499
7,2010/04/14,A,-131,SD,7,6,1,11.28,hanst001,54.039,1515.563,1,0.519618309772,62,19,4,4,0.5,0.886382766791
8,2010/04/15,A,-121,SD,7,6,2,12.3704,hudst001,54.322,1518.44,1,0.538795114479,68,21,5,4,0.555555555556,0.894794517131
9,2010/04/16,H,-132,COL,8.5,9,5,6.40344484544,lowed001,46.707,1520.857,1,0.549754077652,77,26,6,4,0.6,0.893473541789
10,2010/04/17,H,117,COL,8,4,0,6.40344484544,kawak001,50.052,1523.382,0,0.511050241627,81,26,6,5,0.545454545455,0.877087396561
11,2010/04/18,H,-136,COL,9,4,3,14.4525,jurrj001,54.333,1520.852,1,0.547285154074,85,29,7,5,0.583333333333,0.886632742413
12,2010/04/20,H,-156,PHI,8.5,4,3,13.4514,hanst001,54.173,1521.941,1,0.581591808197,89,32,8,5,0.615384615385,0.875052837463
13,2010/04/21,H,138,PHI,7.5,2,0,9.5692,hudst001,53.364,1523.025,0,0.444978800892,91,32,8,6,0.571428571429,0.864297241565
14,2010/04/22,H,-151,PHI,9.5,8,3,6.40344484544,lowed001,46.338,1521.477,0,0.504876697703,99,35,8,7,0.533333333333,0.868946249598
15,2010/04/23,A,-123,NYM,8.5,5,2,6.40344484544,kawak001,49.395,1518.548,0,0.490198390672,104,37,8,8,0.5,0.867839183533
16,2010/04/24,A,-126,NYM,8.5,3,1,15.3737,jurrj001,54.444,1516.257,0,0.545095577777,107,38,8,9,0.470588235294,0.866526080198
17,2010/04/25,A,-116,NYM,7,1,0,13.8039,hanst001,54.118,1514.221,0,0.523775387653,108,38,8,10,0.444444444444,0.866896115744
18,2010/04/26,A,-107,STL,8,4,3,11.0638,hudst001,53.598,1512.755,0,0.510711306643,112,41,8,11,0.421052631579,0.868826955393
19,2010/04/27,A,164,STL,7.5,5,4,6.40344484544,lowed001,45.995,1511.354,0,0.44663289104,117,45,8,12,0.4,0.860436186878
20,2010/04/28,A,142,STL,8.5,6,0,6.40344484544,kawak001,48.97,1510.419,0,0.479968515696,123,45,8,13,0.380952380952,0.849345346234
21,2010/04/29,A,155,STL,7,10,4,16.0223,jurrj001,54.322,1507.512,0,0.40573329543,133,49,8,14,0.363636363636,0.860565476289
22,2010/04/30,H,-210,HOU,8,4,2,16.685,hanst001,54.286,1505.024,1,0.606735400553,137,51,9,14,0.391304347826,0.859039740626
23,2010/05/01,H,-154,HOU,8,10,1,10.5374,hudst001,53.19,1506.336,1,0.571555451419,147,52,10,14,0.416666666667,0.856750770169
24,2010/05/02,H,-172,HOU,9,7,1,6.40344484544,lowed001,45.795,1509.778,1,0.618960731377,154,53,11,14,0.44,0.867718124173
25,2010/05/04,A,-113,WAS,9,6,3,6.40344484544,kawak001,48.173,1512.417,0,0.519697936732,160,56,11,15,0.423076923077,0.873321994432
26,2010/05/05,A,-158,WAS,8,7,6,20.1254,hanst001,55.167,1510.143,1,0.532165127667,167,62,12,15,0.444444444444,0.869911675528
