,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2010/04/05,H,141,SEA,7,5,3,4.64201013208,sheeb001,56.701,1513.91,0,0.496998771199,5,3,0,1,0.0,
1,2010/04/06,H,-126,SEA,8.5,2,1,4.64201013208,bradd002,50.672,1511.897,1,0.534359458401,7,4,1,1,0.5,0.715977316474
2,2010/04/07,H,-119,SEA,7.5,6,5,4.64201013208,duchj001,56.341,1512.97,1,0.537431873436,13,9,2,1,0.666666666667,0.733588194604
3,2010/04/08,H,-151,SEA,8,6,2,17.7613,andeb004,52.515,1513.996,1,0.591603097671,19,11,3,1,0.75,0.660513157158
4,2010/04/09,A,122,LAA,9,10,4,-16.3184,gonzg003,45.459,1515.988,1,0.402354153674,29,15,4,1,0.8,0.728938593779
5,2010/04/10,A,157,LAA,8,4,3,4.64201013208,sheeb001,55.956,1519.802,0,0.428503627863,33,18,4,2,0.666666666667,0.767319068565
6,2010/04/11,A,142,LAA,8.5,9,4,4.64201013208,bradd002,51.832,1518.542,1,0.466040461906,42,22,5,2,0.714285714286,0.749717427842
7,2010/04/12,A,117,SEA,7.5,4,0,4.64201013208,duchj001,55.332,1521.645,1,0.491310888322,46,22,6,2,0.75,0.763216436866
8,2010/04/13,A,-139,SEA,7.5,3,0,19.3546,andeb004,53.305,1523.95,0,0.550913690921,49,22,6,3,0.666666666667,0.791675411205
9,2010/04/14,A,-101,SEA,7.5,4,2,-15.3925,gonzg003,46.021,1521.417,0,0.520292898213,53,24,6,4,0.6,0.80990729234
10,2010/04/15,H,-145,BAL,8.5,6,2,4.64201013208,sheeb001,55.19,1519.48,1,0.609922713367,59,26,7,4,0.636363636364,0.807516170176
11,2010/04/16,H,-149,BAL,7.5,4,2,4.64201013208,bradd002,51.826,1520.938,1,0.611924328979,63,28,8,4,0.666666666667,0.81505363242
12,2010/04/17,H,-155,BAL,7.5,4,3,4.64201013208,duchj001,56.182,1522.266,1,0.613232819552,67,31,9,4,0.692307692308,0.812720284283
13,2010/04/18,H,-171,BAL,7,8,3,19.6037,andeb004,53.644,1523.114,0,0.637976557936,75,34,9,5,0.642857142857,0.801385572628
14,2010/04/20,H,143,NYY,8.5,7,3,-16.2949,gonzg003,45.869,1519.124,0,0.432293332438,82,37,9,6,0.6,0.807203555936
15,2010/04/21,H,134,NYY,8.5,3,1,4.64201013208,sheeb001,55.302,1517.155,0,0.477957704113,85,38,9,7,0.5625,0.808516650439
16,2010/04/22,H,165,NYY,7.5,4,2,4.64201013208,bradd002,52.379,1515.289,1,0.387519762609,89,40,10,7,0.588235294118,0.811099118783
17,2010/04/23,H,-143,CLE,7.5,10,0,4.64201013208,duchj001,55.959,1517.559,1,0.567797308702,99,40,11,7,0.611111111111,0.809622634208
18,2010/04/24,H,-163,CLE,7.5,6,1,15.5194,andeb004,52.748,1520.87,0,0.62214286636,105,41,11,8,0.578947368421,0.837575090011
19,2010/04/25,H,-130,CLE,8.5,11,0,-18.3817,gonzg003,45.699,1517.001,1,0.548541268774,116,41,12,8,0.6,0.845809172269
20,2010/04/27,A,163,TB,8.5,8,6,4.64201013208,sheeb001,55.536,1521.199,0,0.439724297125,124,47,12,9,0.571428571429,0.867890313648
21,2010/04/28,A,143,TB,8.5,10,3,4.64201013208,bradd002,52.255,1519.49,0,0.433461174382,134,50,12,10,0.545454545455,0.852700755168
22,2010/04/29,A,146,TOR,7.5,6,3,4.64201013208,duchj001,55.961,1516.363,0,0.466641761499,140,53,12,11,0.521739130435,0.856230512943
23,2010/04/30,A,116,TOR,9,10,2,-4.5543,cahit001,47.995,1514.154,0,0.480697959769,150,55,12,12,0.5,0.852977109737
24,2010/05/01,A,101,TOR,9,4,3,-9.1885,gonzg003,46.678,1510.463,1,0.435350375984,154,58,13,12,0.52,0.860082676342
25,2010/05/02,A,152,TOR,8.5,9,3,4.64201013208,sheeb001,53.523,1511.87,0,0.438828815579,163,61,13,13,0.5,0.854144298631
26,2010/05/03,H,-134,TEX,8,4,2,4.64201013208,bradd002,50.673,1508.921,0,0.509080493452,167,63,13,14,0.481481481481,0.855574104568
27,2010/05/04,H,105,TEX,8,7,6,4.64201013208,mazzv001,43.758,1507.014,1,0.514377277053,174,69,14,14,0.5,0.853771727079
28,2010/05/05,H,121,TEX,8.5,4,1,-8.6292,cahit001,46.386,1508.459,1,0.522227736154,178,70,15,14,0.51724137931,0.842129312819
29,2010/05/07,H,124,TB,7.5,4,1,-2.5427,gonzg003,47.725,1510.55,0,0.455324679891,182,71,15,15,0.5,0.844125743944
30,2010/05/08,H,148,TB,8.5,4,2,4.64201013208,sheeb001,50.972,1508.584,1,0.480930480401,186,73,16,15,0.516129032258,0.846030584156
31,2010/05/09,H,138,TB,7.5,4,0,4.64201013208,bradd002,50.562,1510.432,1,0.471519118201,190,73,17,15,0.53125,0.844601205716
32,2010/05/11,A,163,TEX,9.5,7,6,-10.8899,cahit001,46.7,1513.163,1,0.447230055242,197,79,18,15,0.545454545455,0.84958910557
33,2010/05/12,A,127,TEX,9,10,1,-3.1114,gonzg003,48.416,1514.709,0,0.472179859125,207,80,18,16,0.529411764706,0.839417198912
34,2010/05/13,A,175,TEX,8.5,2,1,4.64201013208,sheeb001,51.645,1510.885,0,0.460252504916,209,81,18,17,0.514285714286,0.848225777234
35,2010/05/14,A,108,LAA,9,4,0,4.64201013208,bradd002,52.748,1509.617,0,0.484195016198,213,81,18,18,0.5,0.84757052565
36,2010/05/15,A,132,LAA,8.5,12,3,-8.6903,rosst001,47.4,1507.011,0,0.431723363146,225,84,18,19,0.486486486486,0.851951017228
37,2010/05/16,A,146,LAA,9,4,0,-9.9076,cahit001,47.122,1503.523,0,0.415827822398,229,84,18,20,0.473684210526,0.856111671412
38,2010/05/17,H,-160,SEA,7.5,8,4,-6.6129,gonzg003,47.876,1501.459,1,0.531578134655,237,88,19,20,0.487179487179,0.859996201805
39,2010/05/18,H,108,SEA,7,6,5,4.64201013208,sheeb001,52.602,1503.532,1,0.532690318661,243,93,20,20,0.5,0.8573202859
40,2010/05/19,H,107,DET,7,5,1,4.64201013208,bradd002,52.907,1504.73,0,0.478565136571,248,94,20,21,0.487804878049,0.850488315939
41,2010/05/20,H,-106,DET,8,5,2,-8.0887,rosst001,47.399,1502.158,0,0.514766643982,253,96,20,22,0.47619047619,0.852700755168
42,2010/05/21,H,-107,SF,7.5,6,1,-7.2427,cahit001,47.49,1499.861,1,0.498275034903,259,97,21,22,0.488372093023,0.852452175085
43,2010/05/22,H,-114,SF,7.5,1,0,-6.1899,gonzg003,47.85,1502.817,1,0.503879346302,260,97,22,22,0.5,0.855404209707
44,2010/05/23,H,-113,SF,7.5,3,0,4.64201013208,sheeb001,51.917,1504.168,1,0.524945353295,263,97,23,22,0.511111111111,0.856264790745
45,2010/05/25,A,-113,BAL,8,5,1,4.64201013208,bradd002,52.519,1506.19,0,0.512100609768,268,98,23,23,0.5,0.858801598985
46,2010/05/26,A,102,BAL,9,6,1,-7.1205,cahit001,48.247,1503.484,1,0.506659849526,274,99,24,23,0.510638297872,0.860673521061
47,2010/05/27,A,-136,BAL,9,7,5,-1.7625,gonzg003,49.482,1506.261,1,0.522348972169,281,104,25,23,0.520833333333,0.863255317904
48,2010/05/28,A,-106,DET,9,5,4,4.64201013208,sheeb001,52.928,1507.849,1,0.476733526882,286,108,26,23,0.530612244898,0.858036227996
49,2010/05/29,A,110,DET,9,6,0,16.4829,andeb004,53.406,1509.181,1,0.492906067467,292,108,27,23,0.54,0.853545950743
50,2010/05/30,A,120,DET,8.5,10,2,4.64201013208,bradd002,52.656,1512.452,0,0.50834380831,302,110,27,24,0.529411764706,0.85818141681
51,2010/05/31,A,169,DET,8,4,1,-5.3486,cahit001,48.797,1508.421,1,0.395521644471,306,111,28,24,0.538461538462,0.861523707811
52,2010/06/01,A,144,BOS,9,9,4,-2.9469,gonzg003,49.39,1511.13,0,0.411889259684,315,115,28,25,0.528301886792,0.862408436419
53,2010/06/02,A,133,BOS,9.5,6,4,4.64201013208,sheeb001,53.093,1508.903,0,0.41815922286,321,119,28,26,0.518518518519,0.861024981425
54,2010/06/03,A,109,BOS,9,9,8,20.9197,andeb004,54.294,1507.482,1,0.433603712057,330,127,29,26,0.527272727273,0.857672905939
55,2010/06/04,H,-106,MIN,7.5,5,4,4.64201013208,bradd002,51.645,1508.972,0,0.481176587998,335,131,29,27,0.517857142857,0.849204969126
56,2010/06/05,H,106,MIN,7.5,4,3,-2.5239,cahit001,49.263,1507.652,0,0.485337601543,339,134,29,28,0.508771929825,0.845465384599
57,2010/06/06,H,-153,MIN,8,5,4,-4.794,gonzg003,48.819,1506.338,1,0.472780615694,344,138,30,28,0.51724137931,0.842900579296
58,2010/06/07,H,-126,LAA,8.5,4,2,4.64201013208,sheeb001,52.666,1507.701,0,0.507489759944,348,140,30,29,0.508474576271,0.839327417135
59,2010/06/08,H,135,LAA,8,10,1,4.64201013208,mazzv001,43.296,1505.804,1,0.454438569906,358,141,31,29,0.516666666667,0.838635949062
60,2010/06/09,H,-128,LAA,8.5,7,1,4.64201013208,bradd002,51.546,1511.043,0,0.530007607686,365,142,31,30,0.508196721311,0.843764547574
61,2010/06/10,H,-103,LAA,8,6,1,-2.1808,cahit001,49.484,1507.491,1,0.474574067851,371,143,32,30,0.516129032258,0.846676320673
62,2010/06/11,A,167,SF,6.5,6,2,-3.6237,gonzg003,49.386,1510.621,0,0.414836611096,377,145,32,31,0.507936507937,0.84884578922
63,2010/06/12,A,108,SF,7.5,5,4,4.64201013208,sheeb001,52.627,1508.568,0,0.465093431639,382,149,32,32,0.5,0.849345346234
64,2010/06/13,A,165,SF,8,6,2,4.64201013208,mazzv001,44.15,1507.257,0,0.422137277372,388,151,32,33,0.492307692308,0.846065356126
65,2010/06/15,A,116,CHC,8.5,9,5,4.1031,cahit001,50.555,1505.443,1,0.473790413812,397,156,33,33,0.5,0.846595288434
66,2010/06/16,A,121,CHC,8,6,2,-5.4614,gonzg003,48.514,1508.038,0,0.467243493497,403,158,33,34,0.492537313433,0.844314261567
67,2010/06/17,A,119,CHC,8.5,3,2,4.64201013208,bradd002,50.884,1505.653,0,0.480638596669,406,160,33,35,0.485294117647,0.844851502341
68,2010/06/18,A,222,STL,8,6,4,4.64201013208,mazzv001,43.858,1504.215,0,0.428781949712,412,164,33,36,0.478260869565,0.843622823149
69,2010/06/19,A,205,STL,7.5,4,3,4.64201013208,sheeb001,51.602,1503.074,0,0.383198443474,416,167,33,37,0.471428571429,0.841214711288
70,2010/06/20,A,-101,STL,9,3,2,5.076,cahit001,50.48,1502.086,1,0.429444274015,419,169,34,37,0.478873239437,0.839157329068
71,2010/06/21,H,-135,CIN,7.5,6,4,-9.4,gonzg003,47.491,1503.406,0,0.527344929125,425,173,34,38,0.472222222222,0.838001075972
72,2010/06/22,H,-126,CIN,7.5,4,2,4.64201013208,bradd002,51.279,1501.472,0,0.522961636966,429,175,34,39,0.465753424658,0.835734040385
73,2010/06/23,H,103,CIN,8.5,3,0,4.64201013208,mazzv001,43.655,1499.54,0,0.538269394967,432,175,34,40,0.459459459459,0.835204928974
74,2010/06/25,H,-175,PIT,8,14,4,4.64201013208,sheeb001,51.218,1497.376,1,0.649015819652,446,179,35,40,0.466666666667,0.836933660778
75,2010/06/26,H,-225,PIT,8.5,5,0,5.311,cahit001,50.881,1500.147,1,0.649535718217,451,179,36,40,0.473684210526,0.83921636718
76,2010/06/27,H,-232,PIT,8.5,3,2,-5.546,gonzg003,48.853,1501.857,1,0.619584722157,454,181,37,40,0.480519480519,0.841920507351
77,2010/06/29,A,101,BAL,8.5,4,2,4.64201013208,mazzv001,44.4,1502.809,1,0.54992109372,458,183,38,40,0.487179487179,0.84083797855
78,2010/06/30,A,-113,BAL,9,9,6,4.64201013208,sheeb001,51.028,1504.566,0,0.560852816357,467,189,38,41,0.481012658228,0.840300183968
79,2010/07/01,A,-137,BAL,9,8,1,11.1578,cahit001,52.234,1502.025,1,0.575234393299,475,190,39,41,0.4875,0.837166375955
80,2010/07/02,A,-115,CLE,8.5,3,0,-6.2181,gonzg003,48.718,1504.914,1,0.499840692078,478,190,40,41,0.493827160494,0.840034692058
81,2010/07/03,A,100,CLE,9,5,4,4.64201013208,mortc003,43.951,1507.088,0,0.511428200183,483,194,40,42,0.487804878049,0.841560068751
82,2010/07/04,A,106,CLE,9,3,1,4.64201013208,mazzv001,44.848,1505.852,1,0.519360108158,486,195,41,42,0.493975903614,0.839027086053
83,2010/07/05,H,136,NYY,8,3,1,4.64201013208,sheeb001,50.14,1507.707,0,0.452428053646,489,196,41,43,0.488095238095,0.839283742778
84,2010/07/06,H,135,NYY,7.5,6,1,12.2764,cahit001,53.02,1506.191,0,0.425236159969,495,197,41,44,0.482352941176,0.839537189913
85,2010/07/07,H,113,NYY,7.5,6,2,-4.0279,gonzg003,49.482,1503.803,0,0.458260687469,501,199,41,45,0.476744186047,0.841262360592
86,2010/07/09,H,-109,LAA,8,6,5,4.64201013208,mazzv001,46.001,1501.484,0,0.502509611657,507,204,41,46,0.471264367816,0.841732457615
87,2010/07/10,H,-134,LAA,8.5,15,1,4.64201013208,sheeb001,50.464,1500.244,1,0.519857420004,522,205,42,46,0.477272727273,0.838594538381
88,2010/07/11,H,101,LAA,7,5,2,10.2601,cahit001,52.545,1505.619,1,0.476863465783,527,207,43,46,0.483146067416,0.844451571949
89,2010/07/16,A,150,KC,7.5,5,1,-10.1802,gonzg003,48.338,1507.963,1,0.421630845452,532,208,44,46,0.488888888889,0.844409758355
90,2010/07/17,A,-120,KC,8.5,6,5,11.8205,cahit001,53.146,1510.968,1,0.534276259549,538,213,45,46,0.494505494505,0.845506102851
91,2010/07/18,A,103,KC,9.5,9,6,4.64201013208,mazzv001,46.396,1512.215,1,0.51100182226,547,219,46,46,0.5,0.84251817421
92,2010/07/19,H,-114,BOS,8,2,1,4.64201013208,sheeb001,51.557,1514.268,0,0.493478651628,549,220,46,47,0.494623655914,0.839812345684
93,2010/07/20,H,-115,BOS,8,5,4,4.64201013208,bradd002,50.914,1512.929,1,0.483797414971,554,224,47,47,0.5,0.839591573097
94,2010/07/21,H,101,BOS,7.5,6,4,-7.4542,gonzg003,49.081,1514.223,1,0.465183497458,560,228,48,47,0.505263157895,0.837397286654
95,2010/07/23,H,-144,CHW,7,5,1,9.6867,cahit001,52.669,1516.191,0,0.54756357808,565,229,48,48,0.5,0.835682742465
96,2010/07/24,H,-124,CHW,8,10,2,4.64201013208,mazzv001,47.483,1513.292,1,0.53026140591,575,231,49,48,0.505154639175,0.83680124222
97,2010/07/25,H,-151,CHW,8,6,4,4.64201013208,bradd002,50.456,1517.181,1,0.562844100855,581,235,50,48,0.510204081633,0.838976680801
98,2010/07/27,A,210,TEX,8,3,1,-8.9864,gonzg003,48.865,1518.744,0,0.340105972224,584,236,50,49,0.505050505051,0.837310172529
99,2010/07/28,A,142,TEX,8.5,3,1,9.2872,cahit001,52.914,1517.752,1,0.438430927191,587,237,51,49,0.51,0.83753292518
100,2010/07/29,A,188,TEX,8.5,7,4,4.64201013208,mazzv001,47.959,1519.68,0,0.432152055703,594,241,51,50,0.50495049505,0.837753356965
101,2010/07/30,A,-113,CHW,9,6,1,13.6629,andeb004,53.863,1518.099,0,0.495665219604,600,242,51,51,0.5,0.836548627198
102,2010/07/31,A,149,CHW,7.5,6,2,4.64201013208,bradd002,50.654,1515.228,1,0.414425199074,606,244,52,51,0.504854368932,0.838005922451
103,2010/08/01,A,155,CHW,8,4,1,-5.8703,gonzg003,49.762,1518.38,0,0.412324608515,610,245,52,52,0.5,0.838428059713
104,2010/08/02,H,-222,KC,7.5,6,0,14.1893,cahit001,54.249,1516.69,1,0.618284715799,616,245,53,52,0.504761904762,0.839037414707
105,2010/08/03,H,-172,KC,8,3,2,4.64201013208,mazzv001,46.777,1518.695,0,0.6110826898,619,247,53,53,0.5,0.84141571677
106,2010/08/04,H,-188,KC,7.5,4,3,7.849,andeb004,53.163,1516.995,1,0.628295967655,623,250,54,53,0.504672897196,0.840623915792
107,2010/08/06,H,140,TEX,6.5,5,1,4.64201013208,bradd002,51.495,1517.917,0,0.425285414249,628,251,54,54,0.5,0.839253597318
108,2010/08/07,H,-115,TEX,8,6,2,-2.9563,gonzg003,50.919,1515.864,1,0.474704715625,634,253,55,54,0.504587155963,0.840228321765
