,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2010/04/05,A,170,ARI,8,6,3,1.8377,garlj001,48.504,1481.866,0,0.419290897132,6,3,0,1,0.0,
1,2010/04/06,A,128,ARI,9.5,6,3,4.1313,younc003,48.763,1480.168,1,0.461958249488,12,6,1,1,0.5,0.778094505229
2,2010/04/07,A,121,ARI,9.5,5,3,10.1426,corrk001,50.178,1482.54,0,0.506860841197,17,9,1,2,0.333333333333,0.778094505229
3,2010/04/09,A,169,COL,9.5,7,0,3.4357,richc002,48.685,1480.753,0,0.400943029424,24,9,1,3,0.25,0.75971902035
4,2010/04/10,A,152,COL,9.5,5,4,-2.3312,latom001,47.482,1478.161,1,0.409292471274,29,13,2,3,0.4,0.855115657802
5,2010/04/11,A,222,COL,9,4,2,-2.8999,garlj001,47.341,1479.841,0,0.370090350271,33,15,2,4,0.333333333333,0.810344026321
6,2010/04/12,H,117,ATL,7,17,2,8.507,corrk001,49.739,1478.756,1,0.45220392508,50,17,3,4,0.428571428571,0.806450280946
7,2010/04/14,H,123,ATL,7,6,1,3.8258,richc002,48.772,1485.378,0,0.480381690228,56,18,3,5,0.375,0.875734818849
8,2010/04/15,H,114,ATL,7,6,2,-2.7025,latom001,47.406,1482.501,0,0.461204885521,62,20,3,6,0.333333333333,0.886382766791
9,2010/04/16,H,100,ARI,7.5,6,3,-3.1537,garlj001,47.223,1480.084,1,0.521000629746,68,23,4,6,0.4,0.885728960262
10,2010/04/17,H,-141,ARI,8,5,0,9.1838,corrk001,49.797,1482.271,1,0.53406102132,73,23,5,6,0.454545454545,0.876756195934
11,2010/04/18,H,-107,ARI,8,5,3,-4.1689,leblw001,47.146,1484.814,1,0.561358877019,78,26,6,6,0.5,0.88997512709
12,2010/04/19,H,106,SF,7,3,2,3.6519,richc002,48.847,1486.431,1,0.487762078334,81,28,7,6,0.538461538462,0.879583109082
13,2010/04/20,H,103,SF,7,1,0,-5.4567,latom001,46.999,1487.953,1,0.48447060603,82,28,8,6,0.571428571429,0.872435077061
14,2010/04/21,H,-127,SF,8,5,2,-6.2839,garlj001,47.0,1489.487,1,0.465543878131,87,30,9,6,0.6,0.874886372566
15,2010/04/23,A,119,CIN,8,10,4,10.5233,corrk001,50.65,1491.459,1,0.437033444155,97,34,10,6,0.625,0.872931018308
16,2010/04/24,A,105,CIN,9,5,0,-5.4003,leblw001,47.376,1495.267,1,0.483165258439,102,34,11,6,0.647058823529,0.869609937148
17,2010/04/25,A,102,CIN,9,5,4,2.5568,richc002,49.255,1498.343,0,0.49950523219,107,38,11,7,0.611111111111,0.879583109082
18,2010/04/26,A,150,MIA,8,10,1,-3.0503,latom001,47.945,1496.971,0,0.413456626439,117,39,11,8,0.578947368421,0.866896115744
19,2010/04/27,A,119,MIA,9,4,1,-3.9903,garlj001,47.438,1493.655,1,0.436783015909,121,40,12,8,0.6,0.879583109082
20,2010/04/28,A,-104,MIA,8.5,6,4,12.2623,corrk001,51.105,1496.273,1,0.448694600518,127,44,13,8,0.619047619048,0.881165016371
21,2010/04/29,H,-134,MIL,7,9,0,-0.1927,leblw001,48.365,1498.149,1,0.538218046744,136,44,14,8,0.636363636364,0.871981719435
22,2010/04/30,H,-132,MIL,7.5,3,0,0.3948,richc002,48.643,1501.862,1,0.550157237916,139,44,15,8,0.652173913043,0.885189835632
23,2010/05/01,H,114,MIL,7,2,1,-10.7724,latom001,46.442,1503.808,0,0.503319271561,141,45,15,9,0.625,0.889142762114
24,2010/05/02,H,101,MIL,7.5,8,0,-0.7426,garlj001,48.527,1502.319,1,0.52327869973,149,45,16,9,0.64,0.887673710274
25,2010/05/03,H,127,COL,6.5,5,2,7.9524,corrk001,50.524,1506.07,0,0.469491068649,154,47,16,10,0.615384615385,0.897254427976
26,2010/05/04,H,-142,COL,7,3,2,1.2408,leblw001,49.131,1503.938,1,0.502056300985,157,49,17,10,0.62962962963,0.895492691306
27,2010/05/05,H,-144,COL,7,6,5,3.0127,richc002,49.513,1505.245,0,0.508367348829,163,54,17,11,0.607142857143,0.891640649431
28,2010/05/07,A,-120,HOU,8.5,7,0,-11.2753,latom001,46.312,1503.679,1,0.53480692947,170,54,18,11,0.620689655172,0.880757882415
29,2010/05/08,A,-143,HOU,8.5,2,1,0.9635,garlj001,49.271,1506.954,1,0.57542665495,172,55,19,11,0.633333333333,0.888522188263
30,2010/05/09,A,129,HOU,7.5,4,3,-21.714,staut001,44.63,1508.059,0,0.480613897512,176,58,19,12,0.612903225806,0.887323818992
31,2010/05/11,A,134,SF,7.5,3,2,-0.7473,leblw001,49.141,1506.761,1,0.430260047252,179,60,20,12,0.625,0.881756948191
32,2010/05/12,A,151,SF,7,5,2,-2.5803,richc002,48.679,1508.401,1,0.42826299639,184,62,21,12,0.636363636364,0.878510994211
33,2010/05/13,A,146,SF,7.5,1,0,-5.0008,latom001,48.209,1511.047,1,0.448571232985,185,62,22,12,0.647058823529,0.877495115291
34,2010/05/14,H,-130,LA,7.5,4,3,2.397,garlj001,50.178,1512.622,0,0.560915435106,189,65,22,13,0.628571428571,0.878545800305
35,2010/05/15,H,105,LA,7,4,1,4.6671,corrk001,50.614,1510.918,0,0.500394605438,193,66,22,14,0.611111111111,0.873461908438
36,2010/05/16,H,-108,LA,7,1,0,-3.5955,leblw001,48.791,1508.607,0,0.512415432705,194,66,22,15,0.594594594595,0.874592996882
37,2010/05/17,H,106,SF,6.5,3,1,-3.7882,richc002,48.931,1507.085,1,0.502741565644,197,67,23,15,0.605263157895,0.875615357506
38,2010/05/18,H,-117,SF,6,7,6,1.6685,latom001,50.236,1508.984,0,0.516078874403,204,73,23,16,0.589743589744,0.875676001039
39,2010/05/19,A,107,LA,8,10,5,-0.0329,garlj001,49.919,1507.447,1,0.475358397312,214,78,24,16,0.6,0.865304594123
40,2010/05/20,A,139,LA,7,4,1,2.0022,corrk001,50.237,1510.655,0,0.418083300289,218,79,24,17,0.585365853659,0.86137692328
41,2010/05/21,A,157,SEA,6.5,15,8,-0.2256,leblw001,49.736,1508.828,0,0.42629280981,233,87,24,18,0.571428571429,0.862621420867
42,2010/05/22,A,-126,SEA,8,2,1,1.9881,richc002,49.689,1505.876,1,0.478651008186,235,88,25,18,0.581395348837,0.856077494704
43,2010/05/23,A,127,SEA,7,8,1,4.8739,latom001,50.446,1507.18,1,0.473778350518,243,89,26,18,0.590909090909,0.85543367285
44,2010/05/25,H,129,STL,6.5,1,0,-0.7896,garlj001,49.345,1511.043,1,0.461184233327,244,89,27,18,0.6,0.860327097331
45,2010/05/26,H,128,STL,6.5,2,1,1.9082,corrk001,50.077,1512.663,1,0.530193856767,246,90,28,18,0.608695652174,0.861217922178
46,2010/05/27,H,-116,STL,7,8,3,-11.985,leblw001,47.151,1514.028,0,0.54525644209,254,93,28,19,0.595744680851,0.860565476289
47,2010/05/28,H,-139,WAS,6.5,5,3,4.2112,richc002,50.381,1510.658,0,0.598177534907,259,96,28,20,0.583333333333,0.860394442769
48,2010/05/29,H,-186,WAS,7,4,2,6.7069,latom001,50.916,1508.267,1,0.57218337134,263,98,29,20,0.591836734694,0.857708748641
49,2010/05/30,H,-156,WAS,7,3,2,2.6508,garlj001,50.141,1509.739,1,0.57061415724,266,100,30,20,0.6,0.856535440405
50,2010/05/31,H,-114,NYM,6.5,18,6,2.8012,corrk001,50.206,1510.906,1,0.525181602472,284,106,31,20,0.607843137255,0.854553437027
51,2010/06/01,H,-104,NYM,6.5,4,2,-15.3549,leblw001,46.2,1515.336,0,0.527706083922,288,108,31,21,0.596153846154,0.856167746813
52,2010/06/02,H,109,NYM,6,5,1,4.6389,richc002,50.355,1513.291,1,0.529316745713,293,109,32,21,0.603773584906,0.855115657802
53,2010/06/04,A,192,PHI,7,3,2,8.6856,latom001,51.288,1515.895,0,0.377415511341,296,111,32,22,0.592592592593,0.856899413419
54,2010/06/05,A,124,PHI,9,6,2,3.9762,garlj001,50.274,1514.945,0,0.441221141737,302,113,32,23,0.581818181818,0.855115657802
55,2010/06/06,A,143,PHI,9.5,6,5,0.5076,corrk001,49.465,1512.561,1,0.448360364088,308,118,33,23,0.589285714286,0.855610525881
56,2010/06/07,A,162,PHI,9,3,1,-15.4254,leblw001,45.864,1514.117,1,0.419975293902,311,119,34,23,0.59649122807,0.850247230662
57,2010/06/08,A,136,NYM,7,2,1,6.0489,richc002,50.667,1516.309,0,0.474528477289,313,120,34,24,0.586206896552,0.850536059836
58,2010/06/10,A,141,NYM,6.5,4,2,7.7597,latom001,51.137,1515.014,1,0.461307099381,317,122,35,24,0.593220338983,0.850084979963
59,2010/06/10,A,111,NYM,8,3,0,1.128,garlj001,49.875,1517.093,0,0.502127575785,320,122,35,25,0.583333333333,0.849199211856
60,2010/06/11,H,-135,SEA,6.5,4,3,-5.5554,corrk001,48.408,1514.849,1,0.593079600331,324,125,36,25,0.590163934426,0.851369505344
61,2010/06/12,H,122,SEA,6,7,1,-10.9933,leblw001,47.198,1515.979,1,0.497260814613,331,126,37,25,0.596774193548,0.848630229341
62,2010/06/13,H,-110,SEA,6,4,2,7.5059,richc002,51.132,1519.36,0,0.579879005191,335,128,37,26,0.587301587302,0.851721080031
63,2010/06/14,H,-102,TOR,6.5,6,3,0.6721,garlj001,49.641,1517.061,0,0.498147707431,341,131,37,27,0.578125,0.850864992618
64,2010/06/15,H,-120,TOR,6,8,2,11.5244,latom001,51.796,1514.763,1,0.521686598168,349,133,38,27,0.584615384615,0.849616979863
65,2010/06/16,H,107,TOR,6.5,7,1,-6.0912,corrk001,48.202,1517.858,0,0.497816875382,356,134,38,28,0.575757575758,0.85146632574
66,2010/06/18,H,-159,BAL,7,3,2,-9.1979,leblw001,47.306,1514.518,1,0.626124080572,359,136,39,28,0.582089552239,0.854275337721
67,2010/06/19,H,-192,BAL,6.5,5,4,7.3555,richc002,50.867,1515.53,0,0.647669143872,364,140,39,29,0.573529411765,0.852822008552
68,2010/06/20,H,-159,BAL,7,9,4,-1.3489,garlj001,48.863,1513.445,1,0.631475693,373,144,40,29,0.579710144928,0.849345346234
69,2010/06/22,A,130,TB,8,2,1,15.7356,latom001,52.44,1515.464,1,0.456580119506,375,145,41,29,0.585714285714,0.848475626713
