,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2011/04/01,A,-108,CLE,8,15,10,-2.8623,buehm001,49.996,1516.171,1,0.490028826114,15,10,1,0,1.0,
1,2011/04/02,A,-122,CLE,8.5,8,3,2.1432,jacke001,50.958,1519.204,1,0.53506869308,23,13,2,0,1.0,0.67565872963
2,2011/04/03,A,-121,CLE,8.5,7,1,14.0718,dankj001,53.486,1521.882,0,0.5377973633,30,14,2,1,0.666666666667,0.737436339012
3,2011/04/05,A,-109,KC,9,7,6,9.8794,floyg001,52.603,1518.299,0,0.528177103952,37,20,2,2,0.5,0.7989064278
4,2011/04/06,A,102,KC,8.5,10,7,-4.4979,buehm001,49.513,1516.76,1,0.498673570187,47,27,3,2,0.6,0.752778439487
5,2011/04/07,H,-128,TB,7.5,5,1,2.5474,jacke001,50.882,1518.941,1,0.493538829362,52,28,4,2,0.666666666667,0.731707380435
6,2011/04/08,H,-140,TB,7.5,9,7,12.784,dankj001,53.384,1521.574,0,0.587075050617,61,35,4,3,0.571428571429,0.754074211123
7,2011/04/09,H,-105,TB,9,4,2,-20.0831,humbp001,46.31,1519.362,1,0.506018810602,65,37,5,3,0.625,0.732138903015
8,2011/04/10,H,-145,TB,9,6,1,7.7127,floyg001,52.344,1521.146,1,0.541231358002,71,38,6,3,0.666666666667,0.734949133997
9,2011/04/11,H,-121,OAK,9,2,1,-9.6914,buehm001,48.908,1523.58,0,0.530800871649,73,39,6,4,0.6,0.756100791314
10,2011/04/12,H,-120,OAK,8,6,5,5.9408,jacke001,52.479,1522.1,1,0.534852019382,79,44,7,4,0.636363636364,0.756702464252
11,2011/04/13,H,-111,OAK,7.5,7,4,7.9853,dankj001,52.839,1523.345,0,0.542112137874,86,48,7,5,0.583333333333,0.742560073278
12,2011/04/15,H,118,LAA,7.5,4,3,-19.2089,humbp001,47.124,1520.895,0,0.466290733122,90,51,7,6,0.538461538462,0.741828650317
13,2011/04/16,H,-170,LAA,9,7,2,11.3834,floyg001,53.6,1519.646,0,0.590994616275,97,53,7,7,0.5,0.736537888066
14,2011/04/17,H,-101,LAA,8,4,2,-3.3699,buehm001,50.234,1516.021,0,0.488152539462,101,55,7,8,0.466666666667,0.749133918601
15,2011/04/18,A,117,TB,7.5,5,0,5.4379,jacke001,52.04,1514.263,0,0.41022586627,106,55,7,9,0.4375,0.750277918465
16,2011/04/19,A,-101,TB,7.5,2,1,11.0403,dankj001,53.11,1511.938,0,0.492106386811,108,56,7,10,0.411764705882,0.76630290091
17,2011/04/20,A,122,TB,8.5,4,1,-17.3759,humbp001,47.164,1510.517,0,0.415973857544,112,57,7,11,0.388888888889,0.766521179498
18,2011/04/21,A,103,TB,8,9,2,7.4166,floyg001,52.343,1508.714,1,0.436885814551,121,59,8,11,0.421052631579,0.772513776589
19,2011/04/22,A,158,DET,7.5,9,3,-4.089,buehm001,49.93,1512.604,0,0.409221790671,130,62,8,12,0.4,0.785841397507
20,2011/04/23,A,-110,DET,8.5,9,0,3.384,jacke001,51.371,1510.096,0,0.5020420938,139,62,8,13,0.380952380952,0.792510351924
21,2011/04/24,A,109,DET,8,3,0,14.805,dankj001,53.494,1505.889,0,0.460498463742,142,62,8,14,0.363636363636,0.811729069637
22,2011/04/25,A,184,NYY,10,2,0,-16.4124,humbp001,46.866,1503.921,1,0.398679528412,144,62,9,14,0.391304347826,0.817564593143
23,2011/04/26,A,123,NYY,10,3,2,8.3143,floyg001,52.44,1506.199,1,0.440172540791,147,64,10,14,0.416666666667,0.821310098285
24,2011/04/27,A,149,NYY,9.5,3,1,-7.8208,buehm001,49.227,1507.769,0,0.436649339661,150,65,10,15,0.4,0.818334575509
25,2011/04/28,A,187,NYY,8.5,12,3,-5.4567,jacke001,49.802,1506.248,0,0.366421758273,162,68,10,16,0.384615384615,0.819595433437
26,2011/04/29,H,-134,BAL,8.5,10,4,12.737,dankj001,53.408,1503.463,0,0.593881026105,172,72,10,17,0.37037037037,0.82796036811
27,2011/04/30,H,-127,BAL,9.5,6,2,-8.3754,humbp001,48.603,1499.401,0,0.568206162661,178,74,10,18,0.357142857143,0.828665576413
28,2011/05/01,H,-124,BAL,8.5,6,4,14.3444,floyg001,53.456,1496.364,0,0.572261676538,184,78,10,19,0.344827586207,0.830428956455
29,2011/05/02,H,-106,BAL,8.5,6,2,-2.6837,buehm001,49.667,1494.221,1,0.502745661213,190,80,11,19,0.366666666667,0.82540292134
30,2011/05/03,H,-131,MIN,9,1,0,-8.2767,jacke001,48.534,1496.794,0,0.523828375532,191,80,11,20,0.354838709677,0.827161933787
31,2011/05/04,H,-160,MIN,8.5,3,2,5.9784,dankj001,51.71,1495.348,0,0.534550855356,194,82,11,21,0.34375,0.828516073185
32,2011/05/06,A,167,SEA,6.5,3,2,-7.8584,humbp001,48.787,1493.744,0,0.414733560032,197,84,11,22,0.333333333333,0.826161193037
33,2011/05/07,A,-105,SEA,6.5,6,0,9.0757,floyg001,52.472,1492.602,1,0.516695448032,203,84,12,22,0.352941176471,0.82387434615
34,2011/05/08,A,118,SEA,7,5,2,-3.6989,buehm001,49.98,1495.805,1,0.481612224329,208,86,13,22,0.371428571429,0.831616098828
35,2011/05/09,A,132,LAA,7.5,8,0,-6.9466,jacke001,49.34,1498.201,1,0.420783700668,216,86,14,22,0.388888888889,0.831819171983
36,2011/05/10,A,112,LAA,7.5,6,2,3.4827,dankj001,51.752,1502.942,0,0.435267480635,222,88,14,23,0.378378378378,0.841160110411
37,2011/05/11,A,-103,LAA,8,6,4,19.6789,peavj001,54.947,1500.724,1,0.495113494368,228,92,15,23,0.394736842105,0.842223564205
38,2011/05/13,A,117,OAK,7.5,4,3,-6.9466,humbp001,49.28,1502.613,1,0.439345487618,232,95,16,23,0.410256410256,0.83789903987
39,2011/05/14,A,115,OAK,7.5,6,2,12.8733,floyg001,53.504,1504.249,0,0.499885734217,238,97,16,24,0.4,0.834253454178
40,2011/05/15,A,140,OAK,7,4,3,-1.363,buehm001,50.276,1501.617,1,0.420449609127,242,100,17,24,0.414634146341,0.835426218737
41,2011/05/16,H,-130,TEX,8.5,4,0,-0.6815,jacke001,50.377,1503.321,0,0.483740271424,246,100,17,25,0.404761904762,0.831965163022
42,2011/05/17,H,-140,TEX,9,4,3,0.2961,dankj001,50.46,1500.835,1,0.529465531589,250,103,18,25,0.418604651163,0.836072632738
43,2011/05/18,H,-106,CLE,7.5,1,0,20.3933,peavj001,54.73,1502.099,1,0.527047658569,251,103,19,25,0.431818181818,0.832713926064
44,2011/05/19,H,-128,CLE,8,8,2,7.4636,floyg001,52.376,1503.371,1,0.51958109395,259,105,20,25,0.444444444444,0.833718038493
45,2011/05/20,H,-152,LA,8,6,4,-7.3461,humbp001,49.385,1506.489,0,0.563008728546,265,109,20,26,0.434782608696,0.836742894786
46,2011/05/21,H,-149,LA,8,9,2,-4.6389,buehm001,50.067,1504.39,1,0.566027600919,274,111,21,26,0.446808510638,0.833129540099
47,2011/05/22,H,-134,LA,8,8,3,-6.3121,jacke001,49.764,1507.392,1,0.545761811294,282,114,22,26,0.458333333333,0.836923357456
48,2011/05/23,A,146,TEX,8.5,4,0,-3.7882,dankj001,50.425,1509.997,0,0.43224870996,286,114,22,27,0.448979591837,0.837444104658
