,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2011/03/31,H,134,LAA,8.5,4,2,9.85592687842,hochl001,47.08,1468.353,0,0.440625210311,4,2,0,1,0.0,
1,2011/04/01,H,125,LAA,8,2,1,11.2988,franj003,50.521,1466.941,1,0.461884421813,6,3,1,1,0.5,0.778094505229
2,2011/04/02,H,126,LAA,8.5,5,4,9.85592687842,davik002,45.895,1468.436,1,0.489558326222,11,7,2,1,0.666666666667,0.778094505229
3,2011/04/03,H,100,LAA,10,12,9,4.7799,chenb001,49.2,1469.94,1,0.525322582675,23,16,3,1,0.75,0.693831402777
4,2011/04/05,H,103,CHW,9,7,6,9.85592687842,hochl001,46.712,1471.975,1,0.471822896048,30,22,4,1,0.8,0.65855444113
5,2011/04/06,H,-108,CHW,8.5,10,7,15.6698,franj003,51.184,1473.514,0,0.501326429813,40,29,4,2,0.666666666667,0.636771882684
6,2011/04/08,A,167,DET,9,5,2,9.85592687842,davik002,45.559,1471.333,0,0.406017598552,45,31,4,3,0.571428571429,0.641542736942
7,2011/04/09,A,154,DET,9.5,3,1,1.3113,chenb001,48.029,1469.827,1,0.427712126166,48,32,5,3,0.625,0.662519501306
8,2011/04/10,A,152,DET,9.5,9,5,9.85592687842,hochl001,46.23,1471.889,1,0.442820487794,57,37,6,3,0.666666666667,0.67565872963
9,2011/04/12,A,140,MIN,8,4,3,15.6651,franj003,51.383,1474.989,0,0.414401842941,61,40,6,4,0.6,0.686145752229
10,2011/04/13,A,161,MIN,8.5,10,5,9.85592687842,davik002,44.808,1473.882,1,0.401250303263,71,45,7,4,0.636363636364,0.682180328327
11,2011/04/14,H,-125,SEA,9,5,1,6.0865,chenb001,49.34,1477.821,1,0.583018066507,76,46,8,4,0.666666666667,0.695379599735
12,2011/04/15,H,-122,SEA,8,6,5,9.85592687842,hochl001,46.495,1479.838,1,0.555427945578,82,51,9,4,0.692307692308,0.712751762215
13,2011/04/16,H,129,SEA,7.5,7,0,-18.1514,osuls001,44.542,1481.101,1,0.468857606587,89,51,10,4,0.714285714286,0.702568183069
14,2011/04/17,H,-117,SEA,7.5,3,2,15.1575,franj003,51.71,1484.946,0,0.605315514503,92,53,10,5,0.666666666667,0.732594759385
15,2011/04/18,H,105,CLE,9.5,7,3,9.85592687842,davik002,44.459,1483.214,0,0.542648752556,99,56,10,6,0.625,0.730706293282
16,2011/04/19,H,-119,CLE,9,5,4,6.8949,chenb001,50.09,1480.655,1,0.535573736154,104,60,11,6,0.647058823529,0.737164046668
17,2011/04/20,H,100,CLE,8.5,7,5,9.85592687842,hochl001,47.557,1481.898,0,0.501293512971,111,65,11,7,0.611111111111,0.730189429284
18,2011/04/21,H,107,CLE,9,3,2,-16.5252,osuls001,45.142,1480.224,1,0.472936562356,114,67,12,7,0.631578947368,0.724842096517
19,2011/04/22,A,156,TEX,9,11,6,14.0765,franj003,51.749,1481.681,0,0.41476489096,125,73,12,8,0.6,0.723527170738
20,2011/04/23,A,189,TEX,9.5,3,1,9.85592687842,davik002,45.15,1479.428,0,0.413354020317,128,74,12,9,0.571428571429,0.725819811113
21,2011/04/24,A,191,TEX,9.5,8,7,8.4506,chenb001,50.421,1478.238,0,0.372899551695,136,81,12,10,0.545454545455,0.729446656352
22,2011/04/26,A,146,CLE,8.5,9,4,9.85592687842,hochl001,47.387,1477.313,0,0.431060637169,145,85,12,11,0.521739130435,0.718685860851
23,2011/04/27,A,126,CLE,8.5,7,2,10.3165,franj003,50.26,1475.034,0,0.433261142348,152,87,12,12,0.5,0.724459113378
24,2011/04/28,A,136,CLE,9,8,2,9.85592687842,davik002,46.004,1472.59,0,0.432118883171,160,89,12,13,0.48,0.73300645929
25,2011/04/29,H,-103,MIN,8.5,4,3,6.2087,chenb001,48.731,1470.091,1,0.480729562931,164,92,13,13,0.5,0.743002447323
26,2011/04/30,H,101,MIN,9,11,2,-7.2098,osuls001,45.796,1471.521,1,0.471848345683,175,94,14,13,0.518518518519,0.740067787315
27,2011/05/01,H,-114,MIN,8,10,3,9.85592687842,hochl001,46.244,1475.988,1,0.509234106124,185,97,15,13,0.535714285714,0.75489631006
28,2011/05/03,H,-118,BAL,8.5,6,5,7.3226,franj003,48.937,1479.582,1,0.5241227319,191,102,16,13,0.551724137931,0.762894972173
29,2011/05/04,H,103,BAL,9,3,2,9.85592687842,davik002,44.03,1480.779,0,0.55069125997,194,104,16,14,0.533333333333,0.756836669929
30,2011/05/05,H,-109,BAL,9,9,1,4.8222,chenb001,48.265,1479.364,1,0.553540452683,203,105,17,14,0.548387096774,0.755557492712
31,2011/05/06,H,116,OAK,8.5,3,2,-5.8139,osuls001,46.185,1482.719,0,0.484807476252,206,107,17,15,0.53125,0.767319068565
32,2011/05/07,H,106,OAK,8,4,3,9.85592687842,hochl001,46.235,1481.407,1,0.508282830767,210,110,18,15,0.545454545455,0.7659595997
