,AwayTeam,AwayTeamID,AwayTeamLine,AwayTeamPythagoreanExpectedWin%,AwayTeamRating,AwayTeamStartingPitcherAdjustment,AwayTeamStartingPitcherRating,AwayTeamWinProbability,Date,HomeTeam,HomeTeamID,HomeTeamLine,HomeTeamPythagoreanExpectedWin%,HomeTeamRating,HomeTeamStartingPitcherAdjustment,HomeTeamStartingPitcherRating,HomeTeamWinProbability,Over/Under,WasHomeTeamWinner,WinningTeam,WinningTeamID,WinningTeamLine
0,MIA,2963,121,0.924783761496,1482.03,3.0973,50.178,0.0533763123585,2012/04/05 4:05,CIN,2961,-128,,1499.768,25.7231,54.502,0.946623687642,7.5,1,CIN,2961,-128
1,LAD,2967,-153,,1515.554,49.7448,62.119,0.583717267771,2012/04/05 7:05,SD,2955,144,,1496.445,-15.9471,46.65,0.416282732229,6.0,0,LAD,2967,-153
2,BOS,2966,134,,1531.797,29.9296,55.689,0.505661959478,2012/04/05 1:05,DET,2978,-142,,1522.718,51.0091,61.472,0.494338040522,7.0,1,DET,2978,-142
3,TOR,2984,-115,,1508.295,29.7557,56.047,0.517164595722,2012/04/05 3:05,CLE,2980,108,,1486.133,15.2844,51.863,0.482835404278,7.0,0,TOR,2984,-115
4,PHI,2958,-149,,1544.177,39.1792,63.002,0.573107459715,2012/04/05 1:35,PIT,2971,140,,1463.699,24.1862,52.266,0.426892540285,7.0,0,PHI,2958,-149
5,WSH,2972,-143,,1500.984,19.9938,53.996,0.514493440188,2012/04/05 2:20,CHC,2982,135,,1483.633,3.7083,49.521,0.485506559812,6.5,0,WSH,2972,-143
6,ATL,2957,-103,,1513.977,11.2236,52.774,0.467553919087,2012/04/05 1:10,NYM,2964,-103,,1498.061,22.893145494,56.164,0.532446080913,7.0,1,NYM,2964,-103
7,KC,2965,196,,1488.868,11.5056,51.465,0.38787084739,2012/04/06 10:05,LAA,2979,-210,,1515.038,37.036,59.075,0.61212915261,7.0,1,LAA,2979,-210
8,LAD,2967,117,0.715977316474,1517.093,-17.1926,47.887,0.454489204511,2012/04/06 10:05,SD,2955,-124,0.715977316474,1494.906,12.7063110741,51.539,0.545510795489,6.0,0,LAD,2967,117
9,CWS,2974,170,,1495.514,-1.5087,50.229,0.474659628842,2012/04/06 2:05,TEX,2977,-181,,1552.775,3.5156,52.706,0.525340371158,9.5,1,TEX,2977,-181
10,STL,2975,117,0.924783761496,1540.986,-3.2524,49.549,0.0809330724917,2012/04/06 4:10,MIL,2976,-124,,1516.758,22.4096,55.112,0.919066927508,7.5,0,STL,2975,117
11,SEA,2973,140,0.906149479605,1471.659,-5.3298,48.579,0.38764326825,2012/04/06 10:05,OAK,2969,-149,0.906149479605,1502.85,18.9081,55.116,0.61235673175,6.5,0,SEA,2973,140
12,MIN,2983,111,,1464.522,8.66068308899,48.191,0.450877519459,2012/04/06 3:05,BAL,2959,-118,,1482.699,-2.3077,46.146,0.549122480541,9.0,1,BAL,2959,-118
13,COL,2956,-130,,1487.607,-0.282,49.159,0.486052086441,2012/04/06 7:05,HOU,2981,122,,1452.422,16.9388,52.506,0.513947913559,7.5,0,COL,2956,-130
