,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/04/06,H,-118,MIN,9,4,2,-2.3077,arrij001,46.146,1482.699,1,0.549122480541,4,2,1,0,1.0,
1,2012/04/07,H,112,MIN,9,8,2,9.30348885624,huntt002,48.7,1484.236,1,0.566089800981,12,4,2,0,1.0,0.778094505229
2,2012/04/08,H,-110,MIN,9.5,3,1,2.5897,hammj002,47.611,1486.98,1,0.58661823854,15,5,3,0,1.0,0.879583109082
3,2012/04/09,H,133,NYY,9.5,6,2,9.30348885624,matub001,42.186,1488.395,0,0.450718309572,21,7,3,1,0.75,0.879583109082
4,2012/04/10,H,134,NYY,9.5,5,4,0.752,chenw001,47.4,1486.436,0,0.437475616798,26,11,3,2,0.6,0.879583109082
5,2012/04/11,H,163,NYY,8.5,6,4,1.3959,arrij001,47.567,1485.286,0,0.403046416181,32,15,3,3,0.5,0.825917316717
6,2012/04/13,A,174,TOR,8.5,7,5,9.30348885624,huntt002,49.329,1483.919,1,0.418499003011,39,20,4,3,0.571428571429,0.797608045576
7,2012/04/14,A,149,TOR,9,6,4,8.3143,hammj002,48.964,1486.108,1,0.437187923974,45,24,5,3,0.625,0.770081448523
8,2012/04/15,A,143,TOR,9.5,9,2,9.30348885624,matub001,41.96,1488.21,0,0.440471075478,54,26,5,4,0.555555555556,0.75727211882
9,2012/04/16,A,105,CHW,8.5,10,4,5.499,arrij001,48.082,1485.209,1,0.446090181487,64,30,6,4,0.6,0.789664847748
10,2012/04/17,A,120,CHW,8,3,2,2.7401,chenw001,47.546,1488.93,1,0.464721233427,67,32,7,4,0.636363636364,0.797608045576
11,2012/04/18,A,145,CHW,8,8,1,9.30348885624,huntt002,48.327,1490.415,0,0.450301004349,75,33,7,5,0.583333333333,0.792080436517
12,2012/04/19,A,123,CHW,8,5,3,8.8642,hammj002,48.665,1487.308,1,0.443449163404,80,36,8,5,0.615384615385,0.815473343161
13,2012/04/20,A,158,LAA,9.5,6,3,9.30348885624,matub001,41.013,1489.373,0,0.477504796945,86,39,8,6,0.571428571429,0.809273880196
