,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/04/05,H,-128,MIA,7.5,4,0,25.7231,cuetj001,54.502,1499.768,1,0.946623687642,4,0,1,0,1.0,
1,2012/04/07,H,-145,MIA,8,8,3,27.1002,latom001,55.034,1501.768,0,0.627354292007,12,3,1,1,0.5,1.0
2,2012/04/08,H,-126,MIA,9.5,6,5,-15.51,arrob001,45.857,1497.795,1,0.518878175974,18,8,2,1,0.666666666667,0.924783761496
3,2012/04/09,H,-109,STL,9,7,1,4.4556,bailh001,50.061,1499.049,0,0.500814597058,25,9,2,2,0.5,0.812720284283
4,2012/04/10,H,-101,STL,9,3,1,9.4893,leakm001,51.028,1495.721,0,0.484213832031,28,10,2,3,0.4,0.864031825754
5,2012/04/11,H,-122,STL,7.5,4,3,30.174,cuetj001,55.422,1493.929,1,0.503960507438,32,13,3,3,0.5,0.865717301441
6,2012/04/12,A,-101,WAS,7,3,2,24.4024,latom001,54.192,1495.34,0,0.464398430247,35,15,3,4,0.428571428571,0.836227665912
7,2012/04/13,A,133,WAS,7,2,1,-14.9178,arrob001,45.803,1494.024,0,0.402541269409,37,16,3,5,0.375,0.822533759059
8,2012/04/14,A,-101,WAS,8,4,1,1.222,bailh001,49.49,1492.935,0,0.449833270521,41,17,3,6,0.333333333333,0.820151733816
9,2012/04/15,A,-104,WAS,8,8,5,8.1968,leakm001,50.892,1490.941,1,0.460805242294,49,22,4,6,0.4,0.831100840445
10,2012/04/17,A,108,STL,7.5,2,1,28.2141,cuetj001,55.095,1493.448,0,0.428053781505,51,23,4,7,0.363636363636,0.80990729234
11,2012/04/18,A,111,STL,7.5,11,1,21.6905,latom001,53.817,1492.307,0,0.423459466281,62,24,4,8,0.333333333333,0.808665145904
12,2012/04/19,A,138,STL,7.5,6,3,-8.2955,arrob001,47.225,1488.66,1,0.329025097196,68,27,5,8,0.384615384615,0.847849864161
13,2012/04/20,A,-127,CHC,7,9,4,-0.4794,bailh001,49.066,1491.929,1,0.483612045551,77,31,6,8,0.428571428571,0.841821548544
14,2012/04/21,A,-125,CHC,7.5,6,1,5.9925,leakm001,50.528,1494.869,0,0.525916238155,83,32,6,9,0.4,0.838454160558
15,2012/04/22,A,-140,CHC,6.5,4,3,29.1776,cuetj001,55.344,1491.688,1,0.523713470641,87,35,7,9,0.4375,0.848787087724
16,2012/04/24,H,-103,SF,7.5,9,2,15.3361,latom001,52.526,1492.97,1,0.482720886212,96,37,8,9,0.470588235294,0.838635949062
17,2012/04/25,H,-124,SF,8.5,4,2,-5.9643,arrob001,48.2,1496.77,1,0.530878471341,100,39,9,9,0.5,0.848862705941
