,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/04/04,H,-172,STL,7,4,1,46.6616,johnj009,59.491,1484.567,0,0.638771760535,4,1,0,1,0.0,
1,2012/04/05,A,121,CIN,7.5,4,0,3.0973,buehm001,50.178,1482.03,0,0.0533763123585,8,1,0,2,0.0,0.924783761496
2,2012/04/07,A,136,CIN,8,8,3,-17.6485,nolar001,45.831,1480.03,1,0.372645707993,16,4,1,2,0.333333333333,0.977330161545
3,2012/04/08,A,119,CIN,9.5,6,5,9.15786104341,zambc001,47.342,1484.003,0,0.481121824026,22,9,1,3,0.25,0.924783761496
4,2012/04/09,A,132,PHI,7,6,2,12.3516,sanca004,52.351,1482.749,1,0.369262858298,28,11,2,3,0.4,0.83449292967
5,2012/04/11,A,128,PHI,6,7,1,42.0556,johnj009,58.779,1486.283,0,0.392208017318,35,12,2,4,0.333333333333,0.844368728967
6,2012/04/12,A,-103,PHI,8,3,1,4.2676,buehm001,50.475,1483.865,0,0.440441366225,38,13,2,5,0.285714285714,0.874077120165
7,2012/04/13,H,-194,HOU,7.5,5,4,-14.0295,nolar001,46.544,1482.276,1,0.564540615005,43,17,3,5,0.375,0.87451383618
8,2012/04/14,H,-148,HOU,7.5,5,4,9.15786104341,zambc001,47.623,1483.494,0,0.585221425297,48,21,3,6,0.333333333333,0.842858981976
9,2012/04/15,H,-193,HOU,7.5,5,4,15.0917,sanca004,52.757,1481.822,1,0.607206571657,53,25,4,6,0.4,0.8170202243
10,2012/04/17,H,-154,CHC,7,5,2,34.9492,johnj009,57.013,1482.881,1,0.57905937948,58,27,5,6,0.454545454545,0.795769956262
11,2012/04/18,H,-128,CHC,7,9,1,2.9422,buehm001,50.238,1484.715,1,0.499305627129,67,28,6,6,0.5,0.799622574951
12,2012/04/19,H,-152,CHC,7,5,3,-14.7956,nolar001,46.673,1488.69,1,0.556057653796,72,31,7,6,0.538461538462,0.829091681412
13,2012/04/20,A,104,WAS,8.5,2,0,9.15786104341,zambc001,47.824,1490.314,0,0.468741268032,74,31,7,7,0.5,0.821310098285
14,2012/04/21,A,137,WAS,6.5,3,2,13.207,sanca004,52.751,1488.702,0,0.426319438127,77,33,7,8,0.466666666667,0.82847263335
15,2012/04/24,A,-123,NYM,7,2,1,31.8143,johnj009,56.816,1487.526,0,0.474049898396,79,34,7,9,0.4375,0.822533759059
16,2012/04/25,A,-132,NYM,7,5,1,4.559,buehm001,51.252,1486.23,0,0.444231970362,84,35,7,10,0.411764705882,0.821418561503
17,2012/04/26,A,103,NYM,7.5,3,2,-17.8459,nolar001,46.481,1483.956,0,0.424831715091,87,37,7,11,0.388888888889,0.829854780095
18,2012/04/27,H,-130,ARI,7.5,5,0,9.15786104341,zambc001,48.87,1482.793,0,0.502354067351,92,37,7,12,0.368421052632,0.824557029553
19,2012/04/28,H,-118,ARI,7,3,2,13.2681,sanca004,53.141,1479.946,1,0.460689821412,95,39,8,12,0.4,0.838712014563
20,2012/04/29,H,-170,ARI,7,8,4,33.4875,johnj009,57.654,1481.543,0,0.548417242739,103,43,8,13,0.380952380952,0.833615459005
21,2012/04/30,H,-172,ARI,7.5,9,5,4.0467,buehm001,51.183,1478.559,0,0.503577724438,112,48,8,14,0.363636363636,0.829358445296
22,2012/05/01,A,145,SF,6,2,1,-11.9051,nolar001,47.501,1475.876,1,0.352392757372,114,49,9,14,0.391304347826,0.822533759059
23,2012/05/02,A,-102,SF,7,3,2,9.15786104341,zambc001,48.317,1477.881,1,0.459491327712,117,51,10,14,0.416666666667,0.821761029265
24,2012/05/03,A,-113,SF,6.5,3,2,18.0151,sanca004,54.056,1479.564,1,0.459469080642,120,53,11,14,0.44,0.81801113227
25,2012/05/04,A,-118,SD,6,9,8,28.012,johnj009,56.261,1481.157,1,0.471689999617,129,61,12,14,0.461538461538,0.814441391923
26,2012/05/05,A,-117,SD,6.5,4,1,-1.3207,buehm001,49.701,1482.738,1,0.490572607084,133,62,13,14,0.481481481481,0.795040190333
27,2012/05/06,A,-124,SD,7,6,3,-10.8053,nolar001,47.864,1485.143,1,0.47817113055,139,65,14,14,0.5,0.799218750657
28,2012/05/07,A,-109,HOU,7.5,4,0,9.15786104341,zambc001,49.112,1487.622,1,0.462712039947,143,65,15,14,0.51724137931,0.798308668823
29,2012/05/08,A,-168,HOU,8,3,2,17.2678,sanca004,54.257,1490.619,0,0.521936452753,146,67,15,15,0.5,0.806450280946
30,2012/05/09,A,-140,HOU,8.5,5,3,17.2396,johnj009,54.366,1489.042,1,0.543855310234,151,70,16,15,0.516129032258,0.80373981405
31,2012/05/11,H,-137,NYM,7,6,5,-0.8366,buehm001,50.623,1490.681,1,0.485365841004,157,75,17,15,0.53125,0.800831620223
32,2012/05/12,H,-142,NYM,7.5,9,3,-12.0414,nolar001,48.219,1492.264,0,0.478627340609,166,78,17,16,0.515151515152,0.79202110355
33,2012/05/13,H,-143,NYM,7.5,8,4,9.15786104341,zambc001,51.028,1489.101,1,0.531902037184,174,82,18,16,0.529411764706,0.796903914939
34,2012/05/14,H,-190,PIT,7,3,2,18.8752,sanca004,54.648,1491.613,0,0.586800444536,177,84,18,17,0.514285714286,0.796040440707
35,2012/05/15,H,-179,PIT,7,6,2,19.0679,johnj009,54.698,1489.686,1,0.615358192455,183,86,19,17,0.527777777778,0.793974698376
36,2012/05/16,A,105,ATL,7.5,8,4,-0.7567,buehm001,50.529,1491.57,1,0.430427722416,191,90,20,17,0.540540540541,0.796862868766
37,2012/05/17,A,141,ATL,7.5,7,0,-17.4135,nolar001,46.998,1494.647,0,0.362630871784,198,90,20,18,0.526315789474,0.79607796725
38,2012/05/18,A,114,CLE,8,3,2,9.15786104341,zambc001,51.604,1492.284,1,0.47431167285,201,92,21,18,0.538461538462,0.806450280946
39,2012/05/19,A,-109,CLE,7.5,2,0,18.6402,sanca004,54.496,1493.755,0,0.501151722244,203,92,21,19,0.525,0.804481750519
40,2012/05/20,A,106,CLE,7.5,5,3,19.5426,johnj009,54.74,1491.951,1,0.484881703946,208,95,22,19,0.536585365854,0.807285178201
41,2012/05/21,H,-155,COL,8,7,4,-0.6627,buehm001,50.602,1493.78,1,0.557371006531,215,99,23,19,0.547619047619,0.805091662031
42,2012/05/22,H,-118,COL,8,7,6,-22.4707,nolar001,45.947,1495.662,1,0.522492578359,222,105,24,19,0.558139534884,0.802768450823
43,2012/05/23,H,-146,COL,8,8,4,9.15786104341,zambc001,51.914,1497.034,0,0.579675271756,230,109,24,20,0.545454545455,0.794974850491
44,2012/05/24,H,-140,SF,7,14,7,19.3217,sanca004,54.557,1493.622,0,0.544458371813,244,116,24,21,0.533333333333,0.794388452942
