,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/04/06,A,-127,TB,7,7,6,30.2962,sabac001,56.715,1554.041,0,0.4788582353,7,6,0,1,0.0,
1,2012/04/07,A,109,TB,7.5,8,6,8.3284,kuroh001,51.891,1552.648,0,0.458399169215,15,12,0,2,0.0,0.569304165065
2,2012/04/08,A,-108,TB,8.5,3,0,-8.8924,hughp001,48.005,1550.961,0,0.451528726788,18,12,0,3,0.0,0.599621873258
3,2012/04/09,A,-141,BAL,9.5,6,2,10.0533,novai001,52.023,1548.956,1,0.549281690428,24,14,1,3,0.25,0.67565872963
4,2012/04/10,A,-142,BAL,9.5,5,4,3.948,garcf002,50.806,1550.915,1,0.562524383202,29,18,2,3,0.4,0.726231040839
5,2012/04/11,A,-174,BAL,8.5,6,4,26.8511,sabac001,55.644,1552.065,1,0.596953583819,35,22,3,3,0.5,0.703335588215
6,2012/04/13,H,-159,LAA,9.5,5,0,3.4545,kuroh001,50.693,1553.432,1,0.601489220673,40,22,4,3,0.571428571429,0.698548011626
7,2012/04/14,H,-125,LAA,9.5,7,1,-10.2648,hughp001,48.035,1555.617,0,0.564008145145,47,23,4,4,0.5,0.746888341996
8,2012/04/15,H,-176,LAA,9.5,11,5,11.186,novai001,52.325,1551.814,1,0.624514442963,58,28,5,4,0.555555555556,0.784742833735
9,2012/04/16,H,-185,MIN,10.5,7,3,3.4968,garcf002,50.591,1554.057,0,0.666860630006,65,31,5,5,0.5,0.788867368671
10,2012/04/17,H,-246,MIN,9,8,3,26.9827,sabac001,55.492,1550.251,1,0.694252481582,73,34,6,5,0.545454545455,0.792510351924
11,2012/04/18,H,-214,MIN,9,6,5,9.729,kuroh001,51.962,1551.742,0,0.695373887552,79,39,6,6,0.5,0.79947543348
12,2012/04/19,H,-200,MIN,9.5,7,6,-13.442,hughp001,46.776,1549.639,1,0.647380479803,86,45,7,6,0.538461538462,0.782050176419
13,2012/04/20,A,-103,BOS,10.5,6,2,10.3588,novai001,51.713,1550.494,1,0.484699887971,92,47,8,6,0.571428571429,0.763562214929
14,2012/04/21,A,111,BOS,11,15,9,2.2231,garcf002,50.074,1553.137,1,0.527209077634,107,56,9,6,0.6,0.771300681498
15,2012/04/23,A,109,TEX,9.5,7,4,30.6205,sabac001,55.911,1556.154,1,0.475400483797,114,60,10,6,0.625,0.763494350606
16,2012/04/24,A,128,TEX,9.5,2,0,4.7705,kuroh001,50.577,1558.414,0,0.486284208176,116,60,10,7,0.588235294118,0.761651558155
17,2012/04/25,A,123,TEX,10,7,3,-16.1116,hughp001,46.287,1556.756,0,0.455143809162,123,63,10,8,0.555555555556,0.767319068565
18,2012/04/27,H,112,DET,8.5,7,6,11.4022,novai001,52.061,1554.53,1,0.515747015695,130,69,11,8,0.578947368421,0.770472272484
19,2012/04/28,H,-130,DET,10.5,7,5,-2.0962,garcf002,49.024,1555.841,0,0.596201021594,137,74,11,9,0.55,0.758871885563
20,2012/04/29,H,-193,DET,9,6,2,33.8118,sabac001,56.417,1553.593,1,0.639155398959,143,76,12,9,0.571428571429,0.753024320472
21,2012/04/30,H,-162,BAL,9,2,1,8.6198,kuroh001,51.29,1555.267,1,0.610490606587,145,77,13,9,0.590909090909,0.758435535564
22,2012/05/01,H,-169,BAL,10,7,1,-16.9623,hughp001,46.059,1556.25,0,0.582965308711,152,78,13,10,0.565217391304,0.758706369192
23,2012/05/02,H,-165,BAL,9.5,5,0,7.0453,novai001,51.114,1551.829,0,0.618757137534,157,78,13,11,0.541666666667,0.769870613653
24,2012/05/03,A,-129,KC,9,4,3,-9.5551,pheld001,47.4,1547.992,0,0.561547111601,161,81,13,12,0.52,0.78008502596
25,2012/05/04,A,-159,KC,8.5,6,2,36.9044,sabac001,57.224,1546.415,1,0.596603128144,167,83,14,12,0.538461538462,0.776153355772
26,2012/05/05,A,-136,KC,9,5,1,12.6054,kuroh001,52.255,1548.342,0,0.578892249299,172,84,14,13,0.518518518519,0.779965837174
27,2012/05/06,A,-121,KC,9.5,10,4,-16.591,hughp001,45.975,1545.285,1,0.523724806483,182,88,15,13,0.535714285714,0.785361111185
28,2012/05/08,H,-128,TB,9,5,3,2.5286,novai001,50.131,1548.254,1,0.50124135365,187,91,16,13,0.551724137931,0.788394093336
29,2012/05/09,H,-140,TB,9.5,4,1,-11.609,pheld001,47.197,1550.054,0,0.510452199481,191,92,16,14,0.533333333333,0.786448780591
30,2012/05/10,H,-137,TB,7.5,5,3,37.8867,sabac001,57.836,1547.692,1,0.543561689111,196,95,17,14,0.548387096774,0.789543770998
31,2012/05/11,H,-135,SEA,7.5,6,2,8.4083,kuroh001,51.78,1549.3,1,0.594827860493,202,97,18,14,0.5625,0.787658762055
32,2012/05/12,H,-203,SEA,10,6,2,-15.8719,hughp001,46.593,1551.267,1,0.647833441771,208,99,19,14,0.575757575758,0.790466171194
33,2012/05/13,H,-204,SEA,10.5,6,2,21.4649,petta001,54.677,1552.883,0,0.656754102939,214,101,19,15,0.558823529412,0.793110380814
34,2012/05/14,A,-115,BAL,9,8,5,2.3359,novai001,50.474,1548.921,1,0.498227131805,222,106,20,15,0.571428571429,0.795605002662
35,2012/05/15,A,-150,BAL,8.5,5,2,40.6597,sabac001,58.512,1551.145,0,0.575532972738,227,108,20,16,0.555555555556,0.792164356763
36,2012/05/16,A,-122,TOR,9.5,8,1,8.6057,kuroh001,51.588,1548.508,0,0.520993628832,235,109,20,17,0.540540540541,0.79322932057
37,2012/05/17,A,-115,TOR,9,4,1,-9.5504,hughp001,47.461,1544.351,0,0.514722213977,239,110,20,18,0.526315789474,0.800673667421
38,2012/05/18,H,-160,CIN,9.5,4,0,20.1959,petta001,53.785,1542.051,1,0.626693202694,243,110,21,18,0.538461538462,0.802901678708
39,2012/05/19,H,-146,CIN,9.5,6,5,0.235,novai001,49.868,1543.812,0,0.599985212308,249,115,21,19,0.525,0.807612648132
40,2012/05/20,H,-183,CIN,7.5,5,2,36.4109,sabac001,57.559,1542.1,0,0.597973772861,254,117,21,20,0.512195121951,0.801908043118
41,2012/05/21,H,-160,KC,8.5,6,0,1.8941,kuroh001,50.174,1539.337,0,0.603553928241,260,117,21,21,0.5,0.802665879417
42,2012/05/22,H,-169,KC,9,3,2,-10.2742,hughp001,47.541,1535.197,1,0.574928687167,263,119,22,21,0.511627906977,0.809273880196
43,2012/05/23,H,-203,KC,9,8,3,25.3847,petta001,55.221,1536.249,1,0.65140268154,271,122,23,21,0.522727272727,0.807739017562
44,2012/05/25,A,-142,OAK,7.5,6,3,-0.3384,novai001,49.834,1538.06,1,0.534203283432,277,125,24,21,0.533333333333,0.809159333358
45,2012/05/26,A,-157,OAK,7.5,9,2,33.2807,sabac001,56.967,1540.123,1,0.587561286746,286,127,25,21,0.54347826087,0.808489309115
46,2012/05/27,A,-117,OAK,7.5,2,0,0.1833,kuroh001,49.936,1542.954,1,0.530097929904,288,127,26,21,0.553191489362,0.812961085826
47,2012/05/28,A,136,LAA,7.5,9,8,-9.4517,hughp001,48.111,1544.67,0,0.45676140016,297,135,26,22,0.541666666667,0.814871438
48,2012/05/29,A,124,LAA,7.5,5,1,26.0098,petta001,55.38,1543.404,0,0.529234488911,302,136,26,23,0.530612244898,0.806450280946
49,2012/05/30,A,101,LAA,8,6,5,0.00469999999999,novai001,49.741,1540.576,1,0.519670612723,308,141,27,23,0.54,0.809068298768
50,2012/06/01,A,-150,DET,8.5,9,4,33.1491,sabac001,56.665,1541.927,1,0.569172879214,317,145,28,23,0.549019607843,0.804431514242
51,2012/06/02,A,-108,DET,9.5,4,3,6.768,kuroh001,51.058,1544.244,0,0.556328910966,321,148,28,24,0.538461538462,0.804667220697
52,2012/06/03,A,160,DET,8,5,1,-13.536,hughp001,46.834,1542.686,1,0.407841111971,326,149,29,24,0.547169811321,0.802398694464
53,2012/06/05,H,-127,TB,8.5,7,0,21.5636,petta001,54.576,1545.843,1,0.54796161059,333,149,30,24,0.555555555556,0.804889894228
54,2012/06/06,H,-126,TB,9,4,1,-5.8045,novai001,49.099,1549.006,1,0.557787208686,337,150,31,24,0.563636363636,0.810858031058
55,2012/06/07,H,-143,TB,8,7,3,26.978,sabac001,56.342,1550.895,0,0.547291183761,344,153,31,25,0.553571428571,0.81231150123
56,2012/06/08,H,-149,NYM,9,9,1,3.5438,kuroh001,51.465,1548.002,1,0.569547803774,353,154,32,25,0.561403508772,0.81252006183
57,2012/06/09,H,-171,NYM,10,4,2,-12.6712,hughp001,48.348,1551.424,1,0.596863970764,357,156,33,25,0.568965517241,0.817786611621
58,2012/06/10,H,-181,NYM,9.5,5,4,23.5329,petta001,56.076,1552.788,1,0.651322940444,362,160,34,25,0.576271186441,0.817345035409
59,2012/06/11,A,-109,ATL,9,3,0,-3.1255,novai001,50.504,1553.629,1,0.502032046014,365,160,35,25,0.583333333333,0.814241780689
60,2012/06/12,A,-160,ATL,8,6,4,24.5481,sabac001,56.598,1555.861,1,0.584860649111,371,164,36,25,0.590163934426,0.816490614528
61,2012/06/13,A,100,ATL,8.5,3,2,8.2438,kuroh001,53.09,1557.309,1,0.490685681845,374,166,37,25,0.596774193548,0.814204884618
62,2012/06/15,A,103,WAS,7,7,2,-12.7041,hughp001,48.611,1558.739,1,0.455872005568,381,168,38,25,0.603174603175,0.813088557672
63,2012/06/16,A,-118,WAS,7.5,5,3,23.0488,petta001,56.326,1562.075,1,0.547023892474,386,171,39,25,0.609375,0.814888367018
64,2012/06/17,A,-107,WAS,8,4,1,0.2444,novai001,51.565,1563.736,1,0.522647829768,390,172,40,25,0.615384615385,0.813612232031
65,2012/06/18,H,-202,ATL,8.5,6,2,21.338,sabac001,56.144,1565.888,1,0.666573196729,396,174,41,25,0.621212121212,0.814838360879
66,2012/06/19,H,-134,ATL,9,4,3,4.8222,kuroh001,52.889,1567.381,0,0.580230262283,400,177,41,26,0.611940298507,0.815848461422
67,2012/06/20,H,-154,ATL,11,10,5,-12.2999,hughp001,49.29,1565.739,0,0.575116662232,410,182,41,27,0.602941176471,0.813925213302
68,2012/06/22,A,-138,NYM,8,6,4,22.9219,petta001,56.537,1562.242,0,0.585410231443,416,186,41,28,0.594202898551,0.813056224094
69,2012/06/23,A,-147,NYM,9,4,3,2.2889,novai001,52.013,1559.958,1,0.536397657003,420,189,42,28,0.6,0.811064032043
70,2012/06/24,A,-130,NYM,6.5,6,5,26.8511,sabac001,57.213,1561.261,1,0.513160838302,426,194,43,28,0.605633802817,0.809273880196
71,2012/06/25,H,-152,CLE,9.5,7,1,8.0088,kuroh001,53.058,1562.648,1,0.659042233618,433,195,44,28,0.611111111111,0.805919673416
72,2012/06/26,H,-139,CLE,9.5,6,4,-15.7826,hughp001,48.184,1564.596,1,0.605264215821,439,199,45,28,0.616438356164,0.809058802656
73,2012/06/27,H,-185,CLE,9.5,5,4,18.5368,petta001,55.625,1565.921,1,0.670540892213,444,203,46,28,0.621621621622,0.807222427834
74,2012/06/28,H,-172,CHW,10,4,3,0.611,novai001,51.857,1566.695,0,0.646987510397,448,206,46,29,0.613333333333,0.804795367259
75,2012/06/29,H,-120,CHW,11,14,7,-20.8022,warra001,47.4,1564.804,0,0.589461609366,462,213,46,30,0.605263157895,0.80316903559
76,2012/06/30,H,-149,CHW,9.5,4,0,11.5761,kuroh001,53.912,1560.391,1,0.581181822564,466,213,47,30,0.61038961039,0.8024112859
77,2012/07/01,H,-138,CHW,10,4,2,-12.7887,hughp001,49.048,1562.448,1,0.587498929691,470,215,48,30,0.615384615385,0.80487351913
78,2012/07/02,A,131,TB,8.5,4,3,-19.5755,garcf002,47.812,1563.855,0,0.498354280145,474,218,48,31,0.607594936709,0.804646348133
79,2012/07/03,A,-110,TB,8,7,4,1.8518,novai001,52.348,1562.415,0,0.505110553546,481,222,48,32,0.6,0.80311042613
80,2012/07/04,A,142,TB,8,4,3,-18.7154,pheld001,47.86,1560.103,1,0.440136085369,485,225,49,32,0.604938271605,0.80210035905
81,2012/07/06,A,-102,BOS,9.5,10,8,16.2667,kuroh001,55.387,1561.767,1,0.491912219686,495,233,50,32,0.609756097561,0.800619024465
82,2012/07/07,A,124,BOS,10.5,6,1,-17.9681,garcf002,47.909,1563.561,1,0.475972481108,501,234,51,32,0.614457831325,0.796387946012
83,2012/07/07,A,100,BOS,10.5,9,5,-7.8208,hughp001,50.224,1566.636,0,0.520965257784,510,239,51,33,0.607142857143,0.798657671925
84,2012/07/08,A,121,BOS,9.5,7,3,-0.0658,novai001,51.766,1563.957,1,0.485329549429,517,242,52,33,0.611764705882,0.797684433641
85,2012/07/13,H,-121,LAA,9,6,5,10.9181,kuroh001,54.247,1566.596,1,0.575490640968,523,247,53,33,0.616279069767,0.798022472766
86,2012/07/14,H,-127,LAA,11,5,3,-14.1799,garcf002,48.877,1567.701,1,0.584008941138,528,250,54,33,0.620689655172,0.795409972684
87,2012/07/15,H,102,LAA,9.5,10,8,2.9516,novai001,52.487,1569.124,0,0.535367976005,538,258,54,34,0.613636363636,0.794655562216
88,2012/07/16,H,-169,TOR,11,6,3,-8.7514,hughp001,49.768,1567.158,1,0.604282458508,544,261,55,34,0.61797752809,0.790868281216
89,2012/07/17,H,-236,TOR,10,6,1,20.962,sabac001,56.199,1568.786,1,0.632460095197,550,262,56,34,0.622222222222,0.790727503681
90,2012/07/18,H,-164,TOR,10.5,6,0,9.4987,kuroh001,53.981,1570.575,1,0.626771935757,556,262,57,34,0.626373626374,0.792859468486
91,2012/07/19,A,-110,OAK,8,4,3,-15.8719,garcf002,48.854,1572.799,0,0.52400821044,560,265,57,35,0.619565217391,0.796066223369
92,2012/07/20,A,-128,OAK,7.5,3,2,-3.6284,novai001,51.31,1571.3,0,0.539365813667,563,267,57,36,0.612903225806,0.794824331769
93,2012/07/21,A,-124,OAK,7.5,2,1,-7.9712,hughp001,50.404,1569.746,0,0.517275029804,565,268,57,37,0.606382978723,0.794181294558
94,2012/07/22,A,-179,OAK,7.5,5,4,23.1193,sabac001,57.081,1568.271,0,0.576694978785,570,272,57,38,0.6,0.79412441921
