,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/03/28,A,-130,OAK,7,3,1,31.0999,hernf002,55.905,1471.775,1,0.472638973855,3,1,1,0,1.0,
1,2012/03/29,A,113,OAK,8.5,4,1,-8.9206,vargj001,47.648,1473.735,0,0.471176141064,7,2,1,1,0.5,0.879583109082
2,2012/04/06,A,140,OAK,6.5,7,3,-5.3298,vargj001,48.579,1471.659,1,0.38764326825,14,5,2,1,0.666666666667,0.906149479605
3,2012/04/07,A,-116,OAK,6.5,8,7,33.5815,hernf002,56.86,1475.046,1,0.493522614882,22,12,3,1,0.75,0.865717301441
4,2012/04/09,A,219,TEX,9,11,5,-15.0776,noesh001,46.413,1476.483,0,0.366568138863,33,17,3,2,0.6,0.749717427842
5,2012/04/10,A,215,TEX,9.5,1,0,-7.6187,beavb001,47.734,1474.361,0,0.333407040333,34,17,3,3,0.5,0.768624839967
6,2012/04/11,A,196,TEX,9.5,4,3,13.6679240123,millk004,49.15,1473.439,1,0.36317698057,38,20,4,3,0.571428571429,0.778094505229
7,2012/04/12,A,201,TEX,9,5,3,-5.2217,vargj001,48.645,1475.372,0,0.343988904739,43,23,4,4,0.5,0.761651558155
8,2012/04/13,H,-149,OAK,6.5,4,0,29.2904,hernf002,56.035,1474.335,0,0.560549720875,47,23,4,5,0.444444444444,0.75630507151
9,2012/04/14,H,102,OAK,7,4,0,-21.5401,noesh001,45.243,1471.272,1,0.472627351939,51,23,5,5,0.5,0.784742833735
10,2012/04/15,H,-109,OAK,7,5,3,-6.1147,beavb001,48.762,1474.112,1,0.484339328022,56,26,6,5,0.545454545455,0.808665145904
11,2012/04/17,H,104,CLE,7,9,8,13.6679240123,millk004,50.227,1475.926,0,0.523457300235,65,34,6,6,0.5,0.800389709283
12,2012/04/18,H,-122,CLE,7,4,1,-3.8258,vargj001,48.937,1474.459,1,0.504369229172,69,35,7,6,0.538461538462,0.763673931453
13,2012/04/19,H,-147,CLE,7,2,1,27.824,hernf002,55.835,1476.608,0,0.546841879249,71,36,7,7,0.5,0.773565176905
14,2012/04/20,H,101,CHW,6.5,7,3,-16.4688,noesh001,46.657,1474.987,0,0.503856144581,78,39,7,8,0.466666666667,0.773692760003
15,2012/04/21,H,104,CHW,7,4,0,-3.6472,beavb001,49.012,1472.305,0,0.488053728188,82,39,7,9,0.4375,0.778094505229
16,2012/04/22,H,107,CHW,7,7,4,13.6679240123,millk004,48.481,1469.727,0,0.517543134011,89,43,7,10,0.411764705882,0.793329885233
17,2012/04/24,A,167,DET,8,7,4,0.9776,vargj001,49.797,1467.501,1,0.385987933049,96,47,8,10,0.444444444444,0.788625417462
18,2012/04/25,A,113,DET,7.5,9,1,33.9105,hernf002,56.767,1470.32,1,0.446331384393,105,48,9,10,0.473684210526,0.784604359972
19,2012/04/26,A,190,DET,8.5,5,4,-22.1041,noesh001,44.968,1474.542,1,0.388687747347,110,52,10,10,0.5,0.804835388165
20,2012/04/27,A,173,TOR,8.5,9,5,-4.2535,beavb001,48.723,1476.296,1,0.371089276223,119,57,11,10,0.52380952381,0.795128100566
21,2012/04/28,A,164,TOR,9,7,0,13.6679240123,millk004,47.876,1479.755,0,0.44130187569,126,57,11,11,0.5,0.791219295573
22,2012/04/29,A,130,TOR,8.5,7,2,-0.0329,vargj001,49.602,1476.966,0,0.418340171948,133,59,11,12,0.478260869565,0.80779525682
23,2012/04/30,A,122,TB,7,3,2,34.498,hernf002,57.001,1474.627,0,0.403570567149,136,61,11,13,0.458333333333,0.81323806348
24,2012/05/01,A,187,TB,8,3,1,-22.9689,noesh001,44.988,1473.533,0,0.350165452554,139,62,11,14,0.44,0.810186683326
25,2012/05/02,A,188,TB,7.5,5,4,-5.0008,beavb001,48.796,1472.364,0,0.316089102765,144,66,11,15,0.423076923077,0.811729069637
26,2012/05/03,A,169,TB,8,4,3,13.6679240123,millk004,47.841,1471.593,0,0.362208433555,148,69,11,16,0.407407407407,0.804094907944
27,2012/05/04,H,-135,MIN,7,3,2,1.081,vargj001,49.859,1470.702,0,0.550696363491,151,71,11,17,0.392857142857,0.799187097578
28,2012/05/05,H,-182,MIN,6.5,7,0,37.6893,hernf002,57.706,1469.074,1,0.62647819496,158,71,12,17,0.413793103448,0.796704932148
29,2012/05/06,H,-131,MIN,7.5,5,2,-22.7997,noesh001,45.158,1471.561,1,0.52391655524,163,73,13,17,0.433333333333,0.809666776543
30,2012/05/07,H,122,DET,7,3,2,-10.2836,beavb001,47.902,1473.555,1,0.41149752205,166,75,14,17,0.451612903226,0.810606561921
31,2012/05/08,H,181,DET,6.5,6,4,13.6679240123,millk004,47.727,1475.331,0,0.41487245603,172,79,14,18,0.4375,0.80815163466
32,2012/05/09,H,137,DET,7,2,1,1.2737,vargj001,50.137,1474.011,1,0.477132441682,174,80,15,18,0.454545454545,0.803492048051
33,2012/05/11,A,127,NYY,7.5,6,2,41.3177,hernf002,58.915,1475.545,0,0.405172139507,180,82,15,19,0.441176470588,0.803200967148
34,2012/05/12,A,190,NYY,10,6,2,-20.069,noesh001,45.802,1473.578,0,0.352166558229,186,84,15,20,0.428571428571,0.805822383716
35,2012/05/13,A,191,NYY,10.5,6,2,13.6679240123,millk004,46.886,1471.961,1,0.343245897061,192,86,16,20,0.444444444444,0.808272331465
36,2012/05/14,A,158,BOS,9,6,1,5.452,vargj001,51.412,1475.923,0,0.366808964068,198,87,16,21,0.432432432432,0.810566910078
37,2012/05/15,A,161,BOS,9.5,5,0,-10.7536,beavb001,47.85,1474.002,0,0.352897892226,203,87,16,22,0.421052631579,0.815848461422
38,2012/05/16,A,-120,CLE,7.5,9,3,38.2674,hernf002,58.218,1472.183,0,0.490883155512,212,90,16,23,0.410256410256,0.822533759059
39,2012/05/17,A,133,CLE,8.5,6,5,-17.8036,noesh001,45.964,1468.988,0,0.415896663908,218,95,16,24,0.4,0.825024288531
40,2012/05/18,A,123,COL,11,4,0,13.6679240123,millk004,47.995,1467.913,1,0.454529509744,222,95,17,24,0.414634146341,0.818083837948
41,2012/05/19,A,166,COL,9,10,3,2.1667,vargj001,50.784,1470.56,1,0.462756724442,232,98,18,24,0.428571428571,0.822930419608
42,2012/05/20,A,126,COL,10,6,4,-12.9626,beavb001,47.657,1474.378,1,0.449533119619,238,102,19,24,0.441860465116,0.82632515561
43,2012/05/21,H,127,TEX,6.5,6,1,26.9028,hernf002,56.188,1476.252,1,0.437729264441,244,103,20,24,0.454545454545,0.822533759059
44,2012/05/22,H,136,TEX,7,3,1,-17.9728,noesh001,46.812,1479.731,0,0.395046651486,247,104,20,25,0.444444444444,0.826498953368
45,2012/05/23,H,127,TEX,7.5,5,3,13.6679240123,millk004,50.289,1478.343,1,0.445943799345,252,107,21,25,0.45652173913,0.827161933787
46,2012/05/24,H,114,LAA,6,3,0,0.9306,vargj001,51.217,1480.6,0,0.500897140084,255,107,21,26,0.446808510638,0.82497820489
47,2012/05/25,H,108,LAA,7,6,4,-14.1611,beavb001,48.042,1478.308,0,0.486731159606,261,111,21,27,0.4375,0.828049576296
48,2012/05/26,H,-137,LAA,6.5,5,3,26.8934,hernf002,56.761,1476.482,0,0.545581710238,266,114,21,28,0.428571428571,0.824557029553
49,2012/05/27,H,127,LAA,6.5,4,2,-13.2164,noesh001,48.046,1474.377,0,0.451963283795,270,116,21,29,0.42,0.822533759059
50,2012/05/28,A,186,TEX,9.5,4,2,13.6679240123,millk004,51.189,1472.716,0,0.347331078855,274,118,21,30,0.411764705882,0.821881256247
51,2012/05/29,A,161,TEX,9.5,10,3,2.4299,vargj001,51.387,1471.732,1,0.353870873881,284,121,22,30,0.423076923077,0.821247550516
52,2012/05/30,A,215,TEX,9.5,21,8,-13.2352,beavb001,48.115,1476.614,1,0.306773776615,305,129,23,30,0.433962264151,0.824083510794
53,2012/06/01,A,116,CHW,7,7,4,22.0383,hernf002,55.571,1484.694,0,0.420333867734,312,133,23,31,0.425925925926,0.825994881851
54,2012/06/02,A,136,CHW,8.5,10,8,-13.0519,noesh001,47.948,1482.926,1,0.395209546848,322,141,24,31,0.436363636364,0.823944494316
55,2012/06/03,A,155,CHW,8,4,2,13.6679240123,millk004,51.463,1485.217,0,0.431902765667,326,143,24,32,0.428571428571,0.816780109497
56,2012/06/04,A,136,LAA,7.5,8,6,6.1805,vargj001,51.67,1483.779,1,0.446981540039,334,149,25,32,0.438596491228,0.816308627804
57,2012/06/05,A,141,LAA,8,6,1,-10.4199,beavb001,48.008,1485.89,0,0.450527731689,340,150,25,33,0.431034482759,0.811688995878
58,2012/06/06,A,152,LAA,8,8,6,-13.6817,noesh001,47.016,1483.276,1,0.413007563646,348,156,26,33,0.440677966102,0.814744963636
59,2012/06/08,H,-120,LA,7.5,1,0,13.6679240123,millk004,50.641,1485.549,1,0.507396630544,349,156,27,33,0.45,0.810344026321
60,2012/06/09,H,122,LA,6.5,8,3,4.7188,vargj001,50.953,1487.02,0,0.42131503016,357,159,27,34,0.44262295082,0.811140940642
61,2012/06/10,H,-107,LA,7.5,8,2,-14.9601,beavb001,46.63,1484.61,0,0.471014351321,365,161,27,35,0.435483870968,0.812141437875
62,2012/06/12,H,-166,SD,6.5,5,4,23.7397,hernf002,54.55,1481.514,0,0.609727866567,370,165,27,36,0.428571428571,0.814794861348
63,2012/06/13,H,-134,SD,8,1,0,-16.0458,noesh001,45.927,1479.656,0,0.582131939076,371,165,27,37,0.421875,0.811789359382
64,2012/06/14,H,-128,SD,7.5,6,2,-9.4564,ramie004,47.4,1477.904,0,0.539743362509,377,167,27,38,0.415384615385,0.812534633921
65,2012/06/15,H,100,SF,7,4,2,4.5966,vargj001,50.219,1474.982,0,0.480342060089,381,169,27,39,0.409090909091,0.813633520465
66,2012/06/16,H,108,SF,7,7,4,13.6679240123,millk004,51.937,1473.186,1,0.505254196414,388,173,28,39,0.417910447761,0.813262522275
67,2012/06/17,H,-110,SF,6.5,2,1,21.0701,hernf002,53.509,1475.447,1,0.485643587465,390,174,29,39,0.426470588235,0.811832555634
68,2012/06/18,A,171,ARI,9,7,1,-12.9156,noesh001,46.451,1476.949,0,0.381226854179,397,175,29,40,0.420289855072,0.811660430026
69,2012/06/19,A,150,ARI,9,12,9,-11.5385,ramie004,46.649,1474.66,1,0.390851305985,409,184,30,40,0.428571428571,0.814974331755
70,2012/06/20,A,158,ARI,8.5,14,10,3.3699,vargj001,49.587,1477.485,0,0.409023472725,423,194,30,41,0.422535211268,0.809349774886
71,2012/06/22,A,104,SD,6,9,5,13.6679240123,millk004,51.3,1475.495,0,0.503058200506,432,199,30,42,0.416666666667,0.803911070533
72,2012/06/23,A,-126,SD,6.5,5,1,28.5431,hernf002,54.151,1472.756,1,0.555471544857,437,200,31,42,0.424657534247,0.802654535142
73,2012/06/24,A,113,SD,7.5,2,0,-10.0674,noesh001,46.113,1475.093,0,0.471282283017,439,200,31,43,0.418918918919,0.804510075563
74,2012/06/25,H,-106,OAK,7,1,0,-12.4409,ramie004,45.606,1473.277,0,0.473084518684,440,200,31,44,0.413333333333,0.805806648599
75,2012/06/26,H,-115,OAK,7,3,2,-7.1769,vargj001,46.983,1471.925,1,0.506950912653,443,202,32,44,0.421052631579,0.806450280946
76,2012/06/27,H,100,OAK,7,2,1,13.6679240123,millk004,49.761,1473.35,0,0.488707487481,445,203,32,45,0.415584415584,0.805557289595
77,2012/06/28,H,-108,BOS,7,1,0,28.5854,hernf002,54.732,1471.985,1,0.482284554145,446,203,33,45,0.423076923077,0.805434282579
78,2012/06/29,H,102,BOS,8.5,5,0,-13.3668,noesh001,46.212,1473.5,0,0.42016410089,451,203,33,46,0.417721518987,0.80607018179
79,2012/06/30,H,132,BOS,7.5,3,2,-8.3378,ramie004,47.02,1470.858,1,0.387154330617,454,205,34,46,0.425,0.809205051171
80,2012/07/01,H,119,BOS,8,2,1,-5.4238,vargj001,47.768,1472.728,0,0.449450075328,456,206,34,47,0.41975308642,0.808316461393
81,2012/07/02,H,125,BAL,7,6,3,-8.0746,iwakh001,47.4,1471.462,1,0.464845792472,462,209,35,47,0.426829268293,0.808184456315
82,2012/07/03,H,-144,BAL,6.5,5,4,34.686,hernf002,56.457,1473.95,0,0.546710211403,467,213,35,48,0.421686746988,0.80779525682
83,2012/07/04,H,101,BAL,8.5,4,2,-18.8846,noesh001,45.043,1472.33,0,0.495694847918,471,215,35,49,0.416666666667,0.805482154207
84,2012/07/06,A,150,OAK,7,4,1,13.6679240123,millk004,49.699,1470.462,0,0.429277040052,475,216,35,50,0.411764705882,0.805250347487
85,2012/07/07,A,132,OAK,6.5,7,1,-1.7437,vargj001,48.804,1468.689,1,0.381357885863,482,217,36,50,0.418604651163,0.806331322554
86,2012/07/08,A,-113,OAK,6.5,2,1,31.2785,hernf002,56.011,1473.015,0,0.472501808446,484,218,36,51,0.413793103448,0.809145074024
87,2012/07/13,H,144,TEX,7.5,3,2,13.6679240123,millk004,50.686,1471.698,0,0.442269538958,487,220,36,52,0.409090909091,0.809017325383
88,2012/07/14,H,108,TEX,6.5,7,0,32.4159,hernf002,56.365,1470.501,1,0.454852893231,494,220,37,52,0.415730337079,0.808190050106
89,2012/07/15,H,166,TEX,7.5,4,0,-12.3046,iwakh001,47.281,1474.574,0,0.384244712408,498,220,37,53,0.411111111111,0.81216253223
90,2012/07/16,A,105,KC,9,9,4,0.0282,vargj001,49.726,1472.695,1,0.461988794031,507,224,38,53,0.417582417582,0.814379208822
91,2012/07/17,A,123,KC,10,9,6,-20.4403,beavb001,45.219,1475.875,1,0.418555301897,516,230,39,53,0.423913043478,0.814349772354
92,2012/07/18,A,122,KC,9,8,7,13.6679240123,millk004,50.501,1478.416,0,0.48356794314,524,237,39,54,0.41935483871,0.811919280367
93,2012/07/19,A,-128,KC,9,6,1,41.6373,hernf002,58.172,1477.153,1,0.53408030843,530,238,40,54,0.425531914894,0.80785170944
94,2012/07/20,A,166,TB,7.5,4,3,-13.9026,iwakh001,46.521,1479.807,0,0.378417357856,534,241,40,55,0.421052631579,0.809859493724
95,2012/07/21,A,136,TB,7.5,2,1,-2.5803,vargj001,48.963,1478.807,1,0.411629443238,536,242,41,55,0.427083333333,0.808459919405
96,2012/07/22,A,173,TB,7.5,2,1,-19.6319,beavb001,45.388,1480.576,1,0.387553086672,538,243,42,55,0.432989690722,0.808347088407
97,2012/07/23,H,161,NYY,7.5,4,1,13.6679240123,millk004,49.23,1482.439,0,0.410983218533,542,244,42,56,0.428571428571,0.808235091084
98,2012/07/24,H,-126,NYY,7,4,2,40.8665,hernf002,58.556,1480.798,1,0.495003844464,546,246,43,56,0.434343434343,0.809159333358
99,2012/07/25,H,149,NYY,7.5,5,2,-14.7251,iwakh001,46.837,1482.71,0,0.400730238138,551,248,43,57,0.43,0.808932740741
100,2012/07/26,H,-109,KC,7,4,1,-3.2806,vargj001,49.254,1480.997,1,0.540627343068,555,249,44,57,0.435643564356,0.809217542978
101,2012/07/27,H,-115,KC,7,6,1,-15.4818,beavb001,46.903,1483.05,1,0.55477949899,561,250,45,57,0.441176470588,0.810112685812
102,2012/07/28,H,-109,KC,7,4,3,13.6679240123,millk004,49.432,1485.643,1,0.571686294998,565,253,46,57,0.446601941748,0.811983543181
103,2012/07/29,H,-185,KC,6.5,7,6,38.7045,hernf002,58.668,1486.925,1,0.617396785782,572,259,47,57,0.451923076923,0.810646985022
104,2012/07/30,H,-103,TOR,7.5,4,1,-16.6756,iwakh001,46.905,1487.945,1,0.489655922274,576,260,48,57,0.457142857143,0.807536663622
105,2012/07/31,H,-117,TOR,7,7,2,-0.8601,vargj001,50.513,1490.291,1,0.503448786039,583,262,49,57,0.462264150943,0.808411460586
106,2012/08/01,H,103,TOR,7,5,3,-13.6864,beavb001,47.916,1493.271,1,0.481752349784,588,265,50,57,0.467289719626,0.809646560518
107,2012/08/03,A,224,NYY,9,6,3,13.6679240123,millk004,49.809,1495.246,0,0.358841009305,594,268,50,58,0.462962962963,0.808851509783
108,2012/08/04,A,139,NYY,8,1,0,35.7482,hernf002,58.355,1493.963,1,0.387550627282,595,268,51,58,0.467889908257,0.808542150316
109,2012/08/05,A,167,NYY,10,6,2,-13.395,iwakh001,48.298,1495.721,0,0.379899288214,601,270,51,59,0.463636363636,0.809013013298
110,2012/08/06,A,122,BAL,8.5,3,1,0.7802,vargj001,51.185,1493.921,0,0.484520527322,604,271,51,60,0.459459459459,0.809738680465
111,2012/08/07,A,127,BAL,9,8,7,-13.4467,beavb001,48.209,1492.181,0,0.474344410165,612,278,51,61,0.455357142857,0.810096023787
112,2012/08/08,A,122,BAL,9.5,9,2,13.6679240123,millk004,49.318,1490.904,0,0.483355474553,621,280,51,62,0.451327433628,0.806634927724
113,2012/08/10,A,110,LAA,7.5,6,5,44.0155,hernf002,59.969,1487.729,0,0.502562268904,627,285,51,63,0.447368421053,0.808723967642
114,2012/08/11,A,213,LAA,8,7,4,-13.2963,iwakh001,47.795,1486.299,1,0.381822460318,634,289,52,63,0.452173913043,0.806450280946
115,2012/08/12,A,242,LAA,7.5,4,1,3.4733,vargj001,51.433,1489.25,1,0.349511056662,638,290,53,63,0.456896551724,0.805648051273
116,2012/08/13,H,122,TB,7,4,1,-16.0176,beavb001,47.504,1492.408,0,0.45714414757,642,291,53,64,0.452991452991,0.806450280946
117,2012/08/14,H,157,TB,7,3,2,13.6679240123,millk004,47.915,1490.368,1,0.480962977133,645,293,54,64,0.457627118644,0.807242269631
118,2012/08/15,H,-136,TB,6.5,1,0,40.7255,hernf002,59.6,1492.031,1,0.538287407053,646,293,55,64,0.46218487395,0.806625481001
119,2012/08/17,H,-130,MIN,7.5,5,3,-14.6358,iwakh001,48.284,1493.341,1,0.548167489118,651,296,56,64,0.466666666667,0.80706247963
120,2012/08/18,H,-113,MIN,7,3,2,4.3099,vargj001,52.487,1494.766,1,0.55107476189,654,298,57,64,0.471074380165,0.806363483887
121,2012/08/19,H,-121,MIN,7.5,5,1,-20.0032,beavb001,47.317,1496.03,1,0.534660825781,659,299,58,64,0.475409836066,0.8057590096
122,2012/08/20,H,-117,CLE,7.5,5,3,13.6679240123,millk004,48.536,1498.456,1,0.620128133392,664,302,59,64,0.479674796748,0.806964681041
123,2012/08/21,H,-200,CLE,6.5,5,1,47.0423,hernf002,61.483,1499.957,1,0.668926764599,669,303,60,64,0.483870967742,0.806280082769
124,2012/08/22,H,-122,CLE,7,3,1,-10.8241,iwakh001,49.297,1501.475,1,0.576662798109,672,304,61,64,0.488,0.807463603255
125,2012/08/24,A,157,CHW,8,9,8,3.9574,vargj001,52.456,1502.999,0,0.400563980244,681,312,61,65,0.484126984127,0.80779525682
126,2012/08/25,A,163,CHW,9,5,4,-17.6062,beavb001,47.542,1501.977,0,0.410178197355,686,316,61,66,0.48031496063,0.80420909169
127,2012/08/26,A,149,CHW,9.5,4,3,13.6679240123,millk004,48.183,1500.922,0,0.454777420009,690,319,61,67,0.4765625,0.802658735505
128,2012/08/27,A,-146,MIN,8,1,0,49.2842,hernf002,61.612,1499.847,1,0.614750104896,691,319,62,67,0.480620155039,0.801614529279
129,2012/08/28,A,134,MIN,8.5,5,2,-9.118,iwakh001,49.482,1500.815,1,0.484354582265,696,321,63,67,0.484615384615,0.802031059902
130,2012/08/29,A,-105,MIN,9,10,0,-3.6331,vargj001,50.785,1503.092,0,0.522372510458,706,321,63,68,0.480916030534,0.802306753689
131,2012/08/30,A,136,MIN,9.5,5,4,-20.1395,beavb001,47.005,1498.359,1,0.482464111534,711,325,64,68,0.484848484848,0.806370245802
132,2012/08/31,H,139,LAA,7.5,9,1,13.6679240123,millk004,48.245,1499.649,0,0.528214178786,720,326,64,69,0.481203007519,0.804860379828
133,2012/09/01,H,-140,LAA,7,5,2,54.0453,hernf002,62.569,1495.806,0,0.591705874706,725,328,64,70,0.477611940299,0.807548731906
134,2012/09/02,H,173,LAA,7,2,1,-3.8587,iwakh001,50.255,1492.986,1,0.43023205351,727,329,65,70,0.481481481481,0.807774855693
135,2012/09/03,H,-107,BOS,7,4,1,-8.7655,vargj001,49.487,1494.692,1,0.480282397539,731,330,66,70,0.485294117647,0.807693530126
136,2012/09/04,H,111,BOS,7,4,3,-18.9222,beavb001,47.483,1497.092,0,0.48272985735,735,333,66,71,0.481751824818,0.808381960553
137,2012/09/05,H,-121,BOS,7.5,2,1,13.6679240123,millk004,47.032,1495.705,1,0.546461638457,737,334,67,71,0.485507246377,0.807372627677
138,2012/09/07,H,-141,OAK,6,6,1,49.8294,hernf002,62.027,1497.054,0,0.542612780542,743,335,67,72,0.482014388489,0.807293484252
139,2012/09/08,H,124,OAK,6.5,6,1,2.5662,iwakh001,51.676,1493.726,0,0.454306260362,749,336,67,73,0.478571428571,0.80873069682
140,2012/09/09,H,109,OAK,7,4,2,-2.5662,vargj001,50.365,1491.064,0,0.467860280211,753,338,67,74,0.475177304965,0.810144037078
141,2012/09/11,A,149,TOR,8,4,3,-15.0729,ramie004,47.749,1489.328,1,0.39227284753,757,341,68,74,0.478873239437,0.809974576879
142,2012/09/12,A,123,TOR,9,3,2,13.6679240123,millk004,47.606,1491.072,1,0.506905048226,760,343,69,74,0.482517482517,0.808986821628
