,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2012/04/04,A,161,MIA,7,4,1,-10.0862,lohsk001,47.856,1538.449,1,0.361228239465,4,1,1,0,1.0,
1,2012/04/06,A,117,MIL,7.5,11,5,-3.2524,garcj004,49.549,1540.986,1,0.0809330724917,15,6,2,0,1.0,0.924783761496
2,2012/04/07,A,114,MIL,7,6,0,41.9992,waina001,59.261,1544.663,0,0.553393634219,21,6,2,1,0.666666666667,0.840034692058
3,2012/04/08,A,110,MIL,8.5,9,3,-13.8603,lynnl001,47.428,1540.885,1,0.485952028715,30,9,3,1,0.75,0.906149479605
4,2012/04/09,A,103,CIN,9,7,1,-15.2609,westj001,47.362,1544.333,1,0.499185402942,37,10,4,1,0.8,0.898365209575
5,2012/04/10,A,-105,CIN,9,3,1,-7.4777,lohsk001,49.156,1547.661,1,0.515786167969,40,11,5,1,0.833333333333,0.91436082223
6,2012/04/11,A,115,CIN,7.5,4,3,-4.1031,garcj004,50.005,1549.454,0,0.496039492562,44,14,5,2,0.714285714286,0.911869753224
7,2012/04/13,H,-180,CHC,7,9,5,39.057,waina001,59.076,1548.043,0,0.701607771732,53,19,5,3,0.625,0.888220264553
8,2012/04/14,H,-185,CHC,8,5,1,-7.5764,lynnl001,48.732,1543.956,1,0.597360678476,58,20,6,3,0.666666666667,0.864922802768
9,2012/04/15,H,-164,CHC,8,10,3,-10.4293,westj001,48.216,1545.742,1,0.62245744219,68,23,7,3,0.7,0.872931018308
10,2012/04/17,H,-115,CIN,7.5,2,1,-3.0033,lohsk001,49.89,1548.24,1,0.571946218495,70,24,8,3,0.727272727273,0.876756195934
11,2012/04/18,H,-118,CIN,7.5,11,1,-5.7763,garcj004,49.491,1549.381,1,0.576540533719,81,25,9,3,0.75,0.874077120165
12,2012/04/19,H,-147,CIN,7.5,6,3,27.1284,waina001,56.549,1553.027,0,0.670974902804,87,28,9,4,0.692307692308,0.893574806761
13,2012/04/20,A,-141,PIT,8,4,1,-6.4202,lynnl001,49.267,1549.759,1,0.588422929546,91,29,10,4,0.714285714286,0.886149907925
14,2012/04/21,A,-135,PIT,7.5,2,0,-9.1415,westj001,48.799,1551.537,0,0.590208631502,93,29,10,5,0.666666666667,0.887938062025
15,2012/04/22,A,-117,PIT,7.5,5,1,0.4089,lohsk001,50.876,1549.212,1,0.558736194801,98,30,11,5,0.6875,0.89179412389
16,2012/04/23,A,-108,CHC,7,3,2,-5.1277,garcj004,49.837,1551.479,0,0.527225125233,101,32,11,6,0.647058823529,0.89497749156
17,2012/04/24,A,-132,CHC,7.5,3,2,20.8915,waina001,55.54,1549.958,0,0.631304742226,104,34,11,7,0.611111111111,0.888982149412
18,2012/04/25,A,-160,CHC,8,5,1,-6.204,lynnl001,49.894,1548.048,1,0.550656009876,109,35,12,7,0.631578947368,0.883256350791
19,2012/04/27,H,-121,MIL,7,13,1,-10.5421,westj001,49.118,1550.158,1,0.548678631204,122,36,13,7,0.65,0.886568541568
20,2012/04/28,H,-149,MIL,7.5,7,3,0.2726,lohsk001,51.566,1554.612,1,0.608976815213,129,39,14,7,0.666666666667,0.901064508277
21,2012/04/29,H,-107,MIL,7,3,2,-3.196,garcj004,50.728,1556.505,0,0.584361597101,132,41,14,8,0.636363636364,0.897081921832
22,2012/05/01,H,-166,PIT,7,10,7,20.9949,waina001,55.912,1554.814,1,0.69452760906,142,48,15,8,0.652173913043,0.892477966745
23,2012/05/02,H,-167,PIT,7,12,3,-2.9986,lynnl001,50.693,1555.949,1,0.65652051581,154,51,16,8,0.666666666667,0.876875949351
24,2012/05/03,H,-150,PIT,7,6,3,-7.0829,westj001,49.967,1558.499,0,0.622438638186,160,54,16,9,0.64,0.880826453642
25,2012/05/04,A,-143,HOU,8.5,5,4,-1.3959,lohsk001,51.062,1555.551,0,0.607557499616,165,58,16,10,0.615384615385,0.87718119949
26,2012/05/05,A,-130,HOU,8,8,2,-1.2267,garcj004,50.948,1553.77,0,0.592238128431,173,60,16,11,0.592592592593,0.869024320537
27,2012/05/06,A,-135,HOU,8,8,1,19.0444,waina001,55.119,1549.693,1,0.618039076385,181,61,17,11,0.607142857143,0.871769332321
28,2012/05/07,A,-120,ARI,8.5,9,6,1.0622,lynnl001,51.439,1552.234,1,0.510643313759,190,67,18,11,0.620689655172,0.877460437566
29,2012/05/08,A,129,ARI,9,6,1,-8.0699,westj001,49.467,1554.383,1,0.465343614042,196,68,19,11,0.633333333333,0.868369656499
30,2012/05/09,A,-103,ARI,9.5,7,2,-5.1559,lohsk001,50.329,1557.576,1,0.528232730111,203,70,20,11,0.645161290323,0.87170050668
31,2012/05/11,H,-145,ATL,8,9,7,-5.5131,garcj004,50.251,1560.305,0,0.597477322941,212,77,20,12,0.625,0.872931018308
32,2012/05/12,H,-136,ATL,7.5,7,2,20.351,waina001,55.643,1558.01,0,0.580542749677,219,79,20,13,0.606060606061,0.862134574267
33,2012/05/13,H,-146,ATL,7,7,4,0.9447,lynnl001,51.286,1554.441,0,0.557617950763,226,83,20,14,0.588235294118,0.863600148984
34,2012/05/14,H,-156,CHC,7.5,6,4,-1.4288,westj001,50.763,1551.876,0,0.616258199202,232,87,20,15,0.571428571429,0.859732122306
35,2012/05/15,H,-164,CHC,8.5,7,6,-2.0257,lohsk001,50.371,1549.489,1,0.629566711789,239,93,21,15,0.583333333333,0.855115657802
