,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2013/04/01,A,115,PIT,7,3,1,19.5238,samaj001,52.565,1466.33,1,0.450622617684,3,1,1,0,1.0,
1,2013/04/03,A,122,PIT,6.5,3,0,4.5449,jacke001,49.7,1468.467,0,0.460306116684,6,1,1,1,0.5,0.879583109082
2,2013/04/04,A,132,PIT,7,3,2,3.7788,woodt004,49.629,1466.397,1,0.466268934588,9,3,2,1,0.666666666667,0.96242382229
3,2013/04/05,A,179,ATL,7.5,4,1,-4.9632,felds001,47.974,1467.985,0,0.357678113265,13,4,2,2,0.5,0.879583109082
4,2013/04/06,A,156,ATL,7.5,6,5,-5.6494,villc001,47.673,1466.545,0,0.39418097407,19,9,2,3,0.4,0.894104087513
5,2013/04/07,A,130,ATL,7,5,1,23.4812,samaj001,53.97,1465.514,0,0.394971265235,24,10,2,4,0.333333333333,0.794531201586
6,2013/04/08,H,-119,MIL,9,7,4,5.0055,jacke001,50.11,1463.586,0,0.477097269753,31,14,2,5,0.285714285714,0.829854780095
7,2013/04/09,H,-106,MIL,7.5,6,3,8.1216,woodt004,50.612,1461.442,1,0.487538831737,37,17,3,5,0.375,0.808272331465
8,2013/04/11,H,118,SF,8,7,6,-7.8302,felds001,47.254,1463.787,0,0.405911345745,44,23,3,6,0.333333333333,0.803394275085
9,2013/04/12,H,129,SF,9.5,4,3,-2.3312,villc001,48.226,1462.693,1,0.392219269667,48,26,4,6,0.4,0.763892291483
10,2013/04/13,H,108,SF,8,3,2,23.8995,samaj001,54.078,1464.523,0,0.442099770844,51,28,4,7,0.363636363636,0.752076738528
11,2013/04/14,H,-103,SF,9.5,10,7,0.9353,jacke001,49.249,1463.298,0,0.447575286945,61,35,4,8,0.333333333333,0.747498334383
12,2013/04/16,H,116,TEX,7.5,4,2,7.8584,woodt004,50.707,1461.323,0,0.439098726483,65,37,4,9,0.307692307692,0.732138903015
13,2013/04/18,H,134,TEX,10.5,6,2,2.2889,villc001,49.608,1459.736,1,0.423216352066,71,39,5,9,0.357142857143,0.734949133997
14,2013/04/19,A,103,MIL,7.5,5,4,22.9078,samaj001,54.105,1462.895,0,0.425816054706,76,43,5,10,0.333333333333,0.747326493979
15,2013/04/20,A,100,MIL,8.5,5,1,-0.1316,jacke001,49.165,1461.717,0,0.417280058452,81,44,5,11,0.3125,0.737081648292
16,2013/04/21,A,121,MIL,8.5,4,2,-13.3715,felds001,46.347,1459.615,0,0.386828771492,85,46,5,12,0.294117647059,0.751115356264
17,2013/04/22,A,145,CIN,8.5,5,4,8.9676,woodt004,51.054,1458.268,0,0.409552280349,90,50,5,13,0.277777777778,0.752382169345
18,2013/04/23,A,159,CIN,7.5,4,2,4.183,villc001,50.132,1457.16,1,0.401292309454,94,52,6,13,0.315789473684,0.743433964198
19,2013/04/24,A,150,CIN,7,1,0,19.8246,samaj001,53.675,1459.507,0,0.375121163171,95,52,6,14,0.3,0.744903433574
20,2013/04/25,A,-112,MIA,7.5,4,3,-1.6591,jacke001,49.16,1458.525,1,0.458748547646,99,55,7,14,0.333333333333,0.748525945081
21,2013/04/26,A,-101,MIA,7.5,4,2,-15.134,felds001,46.259,1460.141,1,0.472410271497,103,57,8,14,0.363636363636,0.743433964198
22,2013/04/27,A,-113,MIA,7.5,3,2,9.3765,woodt004,51.441,1462.173,1,0.502034178795,106,59,9,14,0.391304347826,0.744775004491
