,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2013/04/01,H,-148,COL,8,5,4,13.6676,gally001,53.532,1515.93,1,0.604487010971,5,4,1,0,1.0,
1,2013/04/02,H,-155,COL,8.5,8,4,5.2264,estrm001,51.548,1516.999,0,0.578887057127,13,8,1,1,0.5,0.599621873258
2,2013/04/03,H,-136,COL,8.5,7,3,-1.645,peraw001,49.961,1513.813,0,0.581707592169,20,11,1,2,0.333333333333,0.706567093106
3,2013/04/05,H,-126,ARI,8.5,3,1,11.3035,lohsk001,52.61,1510.607,0,0.545249147073,23,12,1,3,0.25,0.746888341996
4,2013/04/06,H,104,ARI,8.5,9,2,-3.9433,fierm001,49.473,1508.505,0,0.54060383111,32,14,1,4,0.2,0.764509430856
5,2013/04/07,H,101,ARI,7.5,8,7,11.2001,gally001,52.446,1504.475,0,0.507415507164,40,21,1,5,0.166666666667,0.8170202243
6,2013/04/08,A,110,CHC,9,7,4,4.2253,estrm001,50.872,1502.999,1,0.522902730247,47,25,2,5,0.285714285714,0.762473072963
7,2013/04/09,A,-102,CHC,7.5,6,3,-2.9187,peraw001,49.445,1505.143,0,0.512461168263,53,28,2,6,0.25,0.758157033585
8,2013/04/12,A,132,STL,7.5,2,0,13.7522,lohsk001,53.028,1502.798,0,0.45260444517,55,28,2,7,0.222222222222,0.760411743113
9,2013/04/13,A,150,STL,7.5,8,0,7.9571,gally001,51.878,1501.171,0,0.408886559037,63,28,2,8,0.2,0.772412315056
10,2013/04/14,A,143,STL,8,4,3,5.8844,estrm001,51.293,1498.14,1,0.422245812841,67,31,3,8,0.272727272727,0.812720284283
11,2013/04/16,H,-115,SF,8.5,10,8,-1.9082,peraw001,49.655,1499.82,1,0.47019841753,77,39,4,8,0.333333333333,0.801385572628
12,2013/04/17,H,-116,SF,8.5,4,3,16.3795,lohsk001,53.295,1501.848,1,0.485227317006,81,42,5,8,0.384615384615,0.774035745422
13,2013/04/18,H,-102,SF,7.5,7,2,5.3392,gally001,51.075,1503.35,1,0.461612733221,88,44,6,8,0.428571428571,0.766521179498
14,2013/04/19,H,-111,CHC,7.5,5,4,5.7763,estrm001,51.329,1506.645,1,0.574183945294,93,48,7,8,0.466666666667,0.778094505229
15,2013/04/20,H,-108,CHC,8.5,5,1,-12.2247,burgh001,47.4,1507.823,1,0.582719941548,98,49,8,8,0.5,0.768014056254
16,2013/04/21,H,-131,CHC,8.5,4,2,-7.6563,peraw001,48.42,1509.925,1,0.613171228508,102,51,9,8,0.529411764706,0.778094505229
17,2013/04/22,A,-115,SD,7,7,1,17.4088,lohsk001,53.766,1511.273,1,0.530618864865,109,52,10,8,0.555555555556,0.778094505229
18,2013/04/23,A,-124,SD,7,6,3,8.1028,gally001,51.825,1514.412,1,0.525938627992,115,55,11,8,0.578947368421,0.792422268226
19,2013/04/24,A,-114,SD,7.5,2,1,3.6613,estrm001,50.773,1516.616,0,0.523584414576,117,56,11,9,0.55,0.791675411205
20,2013/04/26,A,131,LA,7,7,5,-10.4481,burgh001,47.771,1514.989,0,0.477727927256,124,61,11,10,0.52380952381,0.791443459754
21,2013/04/27,A,115,LA,7.5,6,4,-6.3215,peraw001,48.563,1513.138,1,0.490604256411,130,65,12,10,0.545454545455,0.783134640765
22,2013/04/28,A,156,LA,6.5,2,0,18.2548,lohsk001,53.776,1515.144,0,0.442482729973,132,65,12,11,0.521739130435,0.778094505229
23,2013/04/29,H,-129,PIT,8,10,4,5.9831,gally001,51.205,1513.468,1,0.54876214742,142,69,13,11,0.541666666667,0.782829221296
24,2013/04/30,H,-143,PIT,8,12,8,3.1772,estrm001,50.736,1516.397,1,0.576536598617,154,77,14,11,0.56,0.786895734731
25,2013/05/01,H,-140,PIT,9,6,4,-11.0685,burgh001,47.449,1518.541,0,0.592456640254,160,81,14,12,0.538461538462,0.778094505229
26,2013/05/02,H,-105,STL,8.5,6,5,-5.8703,peraw001,48.554,1516.21,0,0.520698105116,166,86,14,13,0.518518518519,0.77418794618
27,2013/05/03,H,-108,STL,8.5,6,1,19.7917,lohsk001,53.782,1514.686,0,0.537659994825,172,87,14,14,0.5,0.766799952437
28,2013/05/04,H,116,STL,7.5,7,6,11.1155,gally001,51.778,1511.396,0,0.474722202772,179,93,14,15,0.48275862069,0.774460493058
29,2013/05/05,H,-118,STL,8.5,10,1,0.2867,estrm001,49.424,1510.039,0,0.497261821963,189,94,14,16,0.466666666667,0.765874895226
30,2013/05/07,H,106,TEX,8.5,6,3,-7.52,peraw001,47.454,1505.806,1,0.514977726888,195,97,15,16,0.483870967742,0.779748016514
31,2013/05/08,H,-115,TEX,8,4,1,17.3195,lohsk001,52.782,1508.005,0,0.505344959859,199,98,15,17,0.46875,0.779697140635
32,2013/05/10,A,133,CIN,7.5,4,3,11.3082,gally001,51.411,1505.689,0,0.469089930908,203,101,15,18,0.454545454545,0.782805432035
33,2013/05/11,A,170,CIN,8,13,7,-6.345,burgh001,47.562,1504.365,0,0.398094436153,216,108,15,19,0.441176470588,0.779633984228
34,2013/05/12,A,144,CIN,8.5,5,1,-2.8529,peraw001,47.749,1501.893,0,0.425400498719,221,109,15,20,0.428571428571,0.778094505229
