,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2013/04/02,H,-173,CLE,8.5,4,1,41.1767,dickr001,57.09,1491.038,0,0.629118515807,4,1,0,1,0.0,
1,2013/04/03,H,-170,CLE,9,3,2,30.2868,morrb001,54.715,1488.066,0,0.619924676368,7,3,0,2,0.0,0.924783761496
2,2013/04/04,H,-184,CLE,9,10,8,12.4597,buehm001,51.055,1486.264,1,0.553803336812,17,11,1,2,0.333333333333,0.822533759059
3,2013/04/05,H,-141,BOS,8.5,6,4,29.8215,johnj009,54.579,1487.841,0,0.57752452868,23,15,1,3,0.25,0.687385766638
4,2013/04/06,H,-141,BOS,9,5,0,4.7752,happj001,49.18,1485.659,1,0.55472589492,28,15,2,3,0.4,0.68431504534
5,2013/04/07,H,-121,BOS,8,13,0,37.5718,dickr001,56.36,1488.206,0,0.565509997949,41,15,2,4,0.333333333333,0.755787093077
6,2013/04/09,A,110,DET,8,7,3,32.9611,morrb001,55.057,1481.99,0,0.436944400325,48,18,2,5,0.285714285714,0.860565476289
7,2013/04/10,A,123,DET,9,8,6,10.9134,buehm001,50.075,1479.831,1,0.458984893479,56,24,3,5,0.375,0.855115657802
8,2013/04/11,A,124,DET,8,11,1,29.6382,johnj009,53.913,1481.797,0,0.425985103955,67,25,3,6,0.333333333333,0.822533759059
9,2013/04/12,A,-106,KC,8,8,4,13.2493,happj001,50.138,1478.152,1,0.445994698569,75,29,4,6,0.4,0.856230512943
10,2013/04/13,A,123,KC,7.5,3,2,33.1444,dickr001,54.349,1481.055,1,0.426821699331,78,31,5,6,0.454545454545,0.848109261028
11,2013/04/14,A,112,KC,8.5,3,2,27.2835,morrb001,53.251,1482.672,0,0.492166670843,81,33,5,7,0.416666666667,0.841592637659
12,2013/04/15,H,-118,CHW,8.5,4,3,7.9618,buehm001,49.231,1481.335,1,0.502886206112,85,36,6,7,0.461538461538,0.835521234148
13,2013/04/16,H,-152,CHW,9,4,3,21.6294,johnj009,52.157,1482.702,0,0.548885801366,89,39,6,8,0.428571428571,0.825638960594
14,2013/04/17,H,-120,CHW,8.5,7,0,10.2225,happj001,49.887,1481.155,0,0.532268559579,96,39,6,9,0.4,0.816585836451
15,2013/04/18,H,-108,CHW,7.5,3,1,33.5204,dickr001,54.739,1477.253,1,0.51852416167,99,40,7,9,0.4375,0.836227665912
16,2013/04/19,H,-124,NYY,8,9,4,26.0756,morrb001,53.417,1478.992,0,0.45893525556,108,44,7,10,0.411764705882,0.837575090011
17,2013/04/20,H,-102,NYY,8.5,5,3,7.5388,buehm001,49.236,1476.343,0,0.415828283861,113,47,7,11,0.388888888889,0.835521234148
18,2013/04/21,H,-149,NYY,8.5,8,4,23.4013,johnj009,52.714,1474.907,1,0.497712253763,121,51,8,11,0.421052631579,0.830307028599
19,2013/04/22,A,111,BAL,8.5,2,1,7.5764,happj001,49.253,1477.523,0,0.403173977205,123,52,8,12,0.4,0.826894587338
20,2013/04/23,A,-114,BAL,7.5,4,3,36.9843,dickr001,55.692,1476.486,0,0.428237907621,127,55,8,13,0.380952380952,0.826109645382
21,2013/04/24,A,-128,BAL,8.5,6,5,19.5708,morrb001,51.955,1475.362,1,0.431457026758,133,60,9,13,0.409090909091,0.819757524059
22,2013/04/25,A,123,NYY,8,5,3,8.5822,buehm001,49.671,1476.972,0,0.356591856795,138,63,9,14,0.391304347826,0.808573593399
23,2013/04/26,A,126,NYY,9,6,4,-13.4279,laffa001,44.859,1475.816,0,0.388731517547,144,67,9,15,0.375,0.805221646806
24,2013/04/27,A,136,NYY,7.5,5,4,11.421,happj001,50.08,1474.512,0,0.354301782616,149,71,9,16,0.36,0.799771753602
25,2013/04/28,A,-115,NYY,8.5,3,2,35.4615,dickr001,55.14,1473.649,0,0.437315971113,152,73,9,17,0.346153846154,0.792768091343
26,2013/04/30,H,102,BOS,8.5,9,7,20.2993,morrb001,52.016,1472.497,1,0.487390756103,161,80,10,17,0.37037037037,0.790425505124
27,2013/05/01,H,114,BOS,8.5,10,1,6.0912,buehm001,48.934,1474.379,0,0.45373006019,171,81,10,18,0.357142857143,0.780035573795
28,2013/05/02,H,107,BOS,8.5,3,1,10.669,happj001,49.685,1470.651,0,0.473700852636,174,82,10,19,0.344827586207,0.794531201586
29,2013/05/03,H,122,SEA,7.5,4,0,-14.1141,romer002,44.323,1468.948,0,0.43511594487,178,82,10,20,0.333333333333,0.796040440707
30,2013/05/04,H,-142,SEA,7.5,8,1,37.5483,dickr001,55.272,1466.771,0,0.528781689336,186,83,10,21,0.322580645161,0.802638347168
31,2013/05/05,H,-164,SEA,9,10,2,20.6894,morrb001,51.503,1462.901,1,0.544248851793,196,85,11,21,0.34375,0.811609133407
32,2013/05/06,A,126,TB,7.5,8,7,2.0821,buehm001,47.755,1466.384,1,0.370733391191,204,92,12,21,0.363636363636,0.819385354311
33,2013/05/07,A,125,TB,8.5,6,4,9.5457,happj001,49.13,1468.328,1,0.425023585296,210,96,13,21,0.382352941176,0.808665145904
34,2013/05/08,A,156,TB,7.5,10,4,-12.4268,romer002,44.257,1470.58,0,0.345176778952,220,100,13,22,0.371428571429,0.804835388165
35,2013/05/09,A,138,TB,7.5,5,4,34.1643,dickr001,53.961,1468.549,0,0.392392872234,225,104,13,23,0.361111111111,0.806450280946
36,2013/05/10,A,188,BOS,9.5,5,0,-21.4837,ortir002,42.141,1467.49,0,0.366803793838,230,104,13,24,0.351351351351,0.801674683749
37,2013/05/11,A,165,BOS,9.5,3,2,-0.4089,buehm001,46.668,1465.563,1,0.37151866328,233,106,14,24,0.368421052632,0.807923868724
38,2013/05/12,A,200,BOS,9.5,12,4,4.6436,jenkc001,47.924,1467.381,1,0.408977137549,245,110,15,24,0.384615384615,0.806207763429
39,2013/05/14,H,-135,SF,9,10,6,31.8002,dickr001,53.7,1472.157,1,0.488530730356,255,116,16,24,0.4,0.80990729234
40,2013/05/15,H,106,SF,10,11,3,-21.0513,ortir002,42.583,1474.833,1,0.421732479922,266,119,17,24,0.414634146341,0.806228687401
41,2013/05/17,A,119,NYY,8.5,5,0,1.9129,buehm001,47.579,1479.528,0,0.346031635154,271,119,17,25,0.404761904762,0.810907058206
