,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2014/03/22,A,-162,ARI,6.5,3,1,44.65,kersc001,61.694,1530.622,1,0.531528495401,3,1,1,0,1.0,
1,2014/03/22,A,-116,ARI,7.5,7,5,-2.5568,ryu-h001,51.794,1532.017,1,0.552579420131,10,6,2,0,1.0,0.879583109082
2,2014/03/30,A,-114,SD,6.5,3,1,0.1316,ryu-h001,52.503,1533.625,0,0.0867611241515,13,7,2,1,0.666666666667,0.715977316474
3,2014/04/01,A,-139,SD,6.5,3,2,27.1425,greiz001,58.336,1531.741,1,0.569556692773,16,9,3,1,0.75,0.754074211123
4,2014/04/02,A,-106,SD,7,5,1,-13.2399,hared001,49.718,1533.017,1,0.496279378988,21,10,4,1,0.8,0.739121801797
5,2014/04/04,H,-175,SF,7.5,8,4,1.3959,ryu-h001,52.932,1535.775,0,0.60889602023,29,14,4,2,0.666666666667,0.792967523401
6,2014/04/05,H,110,SF,7.5,7,2,-28.2846,mahop002,46.162,1532.287,0,0.486757476913,36,16,4,3,0.571428571429,0.788867368671
7,2014/04/06,H,-148,SF,6.5,6,2,28.3927,greiz001,57.919,1529.316,1,0.585173551253,42,18,5,3,0.625,0.812720284283
8,2014/04/08,H,105,DET,6.5,3,2,-7.1393,hared001,50.358,1531.457,1,0.46806838581,45,20,6,3,0.666666666667,0.822533759059
9,2014/04/09,H,104,DET,7,7,6,-16.6192,beckj002,48.423,1533.122,0,0.488323843293,52,26,6,4,0.6,0.812720284283
10,2014/04/11,A,-109,ARI,8.5,6,0,-5.4379,ryu-h001,50.642,1531.626,1,0.521858435324,58,26,7,4,0.636363636364,0.778094505229
11,2014/04/12,A,-119,ARI,8,8,5,26.085,greiz001,57.613,1534.733,1,0.549555060992,66,31,8,4,0.666666666667,0.810344026321
12,2014/04/13,A,-121,ARI,8.5,8,6,-5.7998,hared001,50.843,1536.682,1,0.541850922125,74,37,9,4,0.692307692308,0.797017722527
13,2014/04/15,A,-101,SF,8,3,2,-19.5473,beckj002,47.797,1538.313,0,0.488937788864,77,39,9,5,0.642857142857,0.778094505229
14,2014/04/16,A,101,SF,8,2,1,-32.9846,mahop002,44.954,1536.887,0,0.489008222589,79,40,9,6,0.6,0.774035745422
15,2014/04/17,A,115,SF,7,2,1,0.282,ryu-h001,52.024,1535.461,1,0.465746514929,81,41,10,6,0.625,0.774138496927
16,2014/04/18,H,-172,ARI,7,4,2,24.7972,greiz001,57.406,1537.054,0,0.634280734875,85,43,10,7,0.588235294118,0.774236174519
17,2014/04/19,H,-181,ARI,7,8,6,-8.9253,hared001,50.298,1534.396,1,0.605893254951,93,49,11,7,0.611111111111,0.7744177405
