,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2014/03/31,A,-106,TEX,8,14,10,49.6837,lee-c003,59.728,1475.318,1,0.488599525148,14,10,1,0,1.0,
1,2014/04/01,A,130,TEX,8.5,3,2,21.2675,burna001,53.397,1477.943,0,0.43245846387,17,12,1,1,0.5,0.647716020099
2,2014/04/02,A,156,TEX,9.5,4,3,-14.6593,kendk001,45.82,1476.81,0,0.400568233038,21,15,1,2,0.333333333333,0.652588117019
3,2014/04/04,A,131,CHC,11,7,2,-18.8094,carmf001,45.147,1475.789,1,0.430543661286,28,17,2,2,0.5,0.647716020099
4,2014/04/05,A,-115,CHC,6.5,2,0,40.2884,lee-c003,57.777,1479.318,1,0.537872627345,30,17,3,2,0.6,0.711601325815
5,2014/04/06,A,-118,CHC,7.5,8,3,19.6366,burna001,53.502,1481.023,0,0.52784194766,38,20,3,3,0.5,0.736537888066
6,2014/04/08,H,107,MIL,8.5,10,4,-9.6914,kendk001,47.029,1477.811,0,0.466128962916,48,24,3,4,0.428571428571,0.761651558155
7,2014/04/09,H,115,MIL,7.5,9,4,-15.0682,carmf001,45.625,1474.756,0,0.444551766266,57,28,3,5,0.375,0.778094505229
8,2014/04/10,H,-117,MIL,7.5,6,2,43.005,lee-c003,57.945,1472.169,0,0.510703945919,63,30,3,6,0.333333333333,0.783576681761
9,2014/04/11,H,121,MIA,6.5,6,3,15.7638,burna001,52.129,1469.442,1,0.478137375109,69,33,4,6,0.4,0.792967523401
10,2014/04/12,H,-108,MIA,8,5,4,-13.1882,pettj001,45.839,1471.853,1,0.503155219252,74,37,5,6,0.454545454545,0.791675411205
11,2014/04/13,H,-118,MIA,8.5,4,3,-13.0049,kendk001,45.83,1473.291,1,0.517142356772,78,40,6,6,0.5,0.778094505229
12,2014/04/14,H,115,ATL,8.5,9,6,-14.0013,carmf001,45.607,1474.678,0,0.417792784671,87,46,6,7,0.461538461538,0.770081448523
13,2014/04/16,H,-133,ATL,6.5,1,0,41.4681,lee-c003,57.388,1472.865,0,0.512846891856,88,46,6,8,0.428571428571,0.760141013752
14,2014/04/17,H,131,ATL,7,1,0,11.938,burna001,51.31,1471.37,1,0.475847425103,89,46,7,8,0.466666666667,0.763892291483
15,2014/04/18,A,134,COL,10.5,12,1,-15.3784,pettj001,45.74,1472.907,0,0.419383434937,101,47,7,9,0.4375,0.767561137636
16,2014/04/19,A,126,COL,10.5,3,1,-13.2728,kendk001,45.91,1469.163,0,0.459615624213,104,48,7,10,0.411764705882,0.799728920795
17,2014/04/20,A,141,COL,9.5,10,9,-15.0964,carmf001,45.655,1467.65,1,0.416600508802,114,57,8,10,0.444444444444,0.80210035905
18,2014/04/21,A,102,LA,7,7,0,43.428,lee-c003,57.972,1469.303,1,0.472740104602,121,57,9,10,0.473684210526,0.778094505229
19,2014/04/22,A,170,LA,6.5,3,2,15.651,burna001,52.393,1473.277,1,0.396598399799,124,59,10,10,0.5,0.796158911761
20,2014/04/23,A,151,LA,6.5,5,2,34.6954,hamec001,56.539,1475.225,0,0.397673262412,129,61,10,11,0.47619047619,0.793207152808
21,2014/04/24,A,155,LA,7,7,3,-11.6372,kendk001,46.714,1473.474,1,0.377420678925,136,64,11,11,0.5,0.795040190333
22,2014/04/25,A,119,ARI,9,5,4,-18.5509,carmf001,45.14,1477.064,0,0.440414524312,141,68,11,12,0.478260869565,0.796462042546
23,2014/04/26,A,-142,ARI,8,6,5,47.7191,lee-c003,59.164,1475.894,1,0.544932277312,147,73,12,12,0.5,0.789172797928
24,2014/04/27,A,121,ARI,8.5,2,0,17.86,burna001,52.698,1477.115,1,0.502613122466,149,73,13,12,0.52,0.780220430134
25,2014/04/29,H,-136,NYM,7,6,1,33.5862,hamec001,56.333,1478.925,0,0.551134347277,155,74,13,13,0.5,0.784385957913
26,2014/05/02,H,-106,WAS,6.5,5,3,42.9721,lee-c003,58.089,1475.534,0,0.519691186507,160,77,13,14,0.481481481481,0.792200631545
27,2014/05/03,H,-105,WAS,7.5,7,2,23.3919,burna001,53.953,1473.553,1,0.492341481433,167,79,14,14,0.5,0.789809380015
28,2014/05/04,H,119,WAS,7.5,1,0,-19.552,carmf001,44.961,1476.616,1,0.417478833055,168,79,15,14,0.51724137931,0.794924377725
29,2014/05/05,H,102,TOR,8.5,3,0,-14.0483,kendk001,46.323,1478.368,0,0.501347349279,171,79,15,15,0.5,0.796680354708
30,2014/05/06,H,-114,TOR,7.5,6,5,25.6667,hamec001,54.771,1476.075,0,0.536290436752,177,84,15,16,0.483870967742,0.801820316087
31,2014/05/07,A,102,TOR,8,10,0,40.5187,lee-c003,57.783,1474.494,0,0.469507766193,187,84,15,17,0.46875,0.793974698376
32,2014/05/08,A,131,TOR,9,12,6,25.6338,burna001,54.427,1470.324,0,0.441885247236,199,90,15,18,0.454545454545,0.809771817734
33,2014/05/09,A,114,NYM,7,3,2,-12.0179,carmf001,46.126,1467.51,1,0.443382404872,202,92,16,18,0.470588235294,0.807869581104
34,2014/05/10,A,120,NYM,7,5,4,-10.3729,kendk001,46.46,1469.173,1,0.40134804681,207,96,17,18,0.485714285714,0.80589077586
35,2014/05/11,A,116,NYM,6.5,5,4,24.2661,hamec001,53.76,1470.995,0,0.464780373509,212,100,17,19,0.472222222222,0.800712075329
