,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2014/03/31,A,-116,ARI,8,9,8,33.3935,bumgm001,56.284,1500.54,1,0.914201789015,9,8,1,0,1.0,
1,2014/04/01,A,100,ARI,8.5,5,4,14.3068,cainm001,52.045,1501.843,0,0.483182220773,14,12,1,1,0.5,0.553095880359
2,2014/04/02,A,-101,ARI,9,2,0,17.0939,hudst001,52.509,1500.525,1,0.509176066423,16,12,2,1,0.666666666667,0.569304165065
3,2014/04/03,A,111,ARI,8.5,8,5,-0.5264,linct001,49.073,1502.306,1,0.468189779841,24,17,3,1,0.75,0.627312499169
4,2014/04/04,A,161,LA,7.5,8,4,-17.437,voger001,45.378,1504.71,1,0.39110397977,32,21,4,1,0.8,0.651164374183
5,2014/04/05,A,-119,LA,7.5,7,2,29.0084,bumgm001,55.039,1508.198,1,0.513242523087,39,23,5,1,0.833333333333,0.681873785782
6,2014/04/06,A,136,LA,6.5,6,2,10.7724,cainm001,51.246,1511.169,0,0.414826448747,45,25,5,2,0.714285714286,0.722280518569
7,2014/04/08,H,-148,ARI,7.5,7,3,23.9277,hudst001,53.896,1509.028,1,0.608836438286,52,28,6,2,0.75,0.743433964198
8,2014/04/09,H,-122,ARI,7.5,7,3,-1.4711,linct001,48.593,1510.963,0,0.560394359943,59,31,6,3,0.666666666667,0.754074211123
9,2014/04/10,H,-115,ARI,8,6,5,-19.5426,voger001,44.456,1507.887,0,0.550306908926,65,36,6,4,0.6,0.762208505862
10,2014/04/11,H,-160,COL,6.5,6,5,31.1281,bumgm001,55.167,1506.235,1,0.601365716093,71,41,7,4,0.636363636364,0.744496430971
11,2014/04/12,H,-128,COL,7.5,1,0,9.1415,cainm001,50.386,1507.326,0,0.580530554205,72,41,7,5,0.583333333333,0.729854626234
12,2014/04/13,H,-153,COL,7.5,5,4,26.038,hudst001,54.146,1505.561,1,0.594201191061,77,45,8,5,0.615384615385,0.734816785605
13,2014/04/15,H,-107,LA,8,3,2,-6.9137,linct001,47.151,1506.678,1,0.511062211136,80,47,9,5,0.642857142857,0.725563503431
14,2014/04/16,H,-109,LA,8,2,1,-20.5625,voger001,44.31,1508.104,1,0.510991777411,82,48,10,5,0.666666666667,0.723662274218
15,2014/04/17,H,-124,LA,7,2,1,26.0521,bumgm001,54.325,1509.53,0,0.534253485071,84,49,10,6,0.625,0.724977559899
16,2014/04/18,A,-101,SD,6.5,2,1,11.0873,cainm001,51.112,1507.938,0,0.505920311389,86,50,10,7,0.588235294118,0.726231040839
17,2014/04/19,A,-125,SD,6.5,3,1,23.6927,hudst001,53.951,1506.367,0,0.548413821246,89,51,10,8,0.555555555556,0.727426957204
18,2014/04/20,A,102,SD,7,4,3,-6.5142,linct001,47.539,1504.151,1,0.472520890833,93,54,11,8,0.578947368421,0.732594759385
19,2014/04/21,A,127,COL,10.5,8,2,-18.0057,voger001,45.013,1505.805,0,0.461585852588,101,56,11,9,0.55,0.727890082545
20,2014/04/22,A,-118,COL,10.5,2,1,25.427,bumgm001,53.901,1502.931,0,0.529363994829,103,57,11,10,0.52380952381,0.744117686126
21,2014/04/23,A,-102,COL,9.5,12,10,14.8849,cainm001,51.782,1501.466,1,0.488029708703,115,67,12,10,0.545454545455,0.744775004491
22,2014/04/25,H,-152,CLE,7.5,5,1,25.1779,hudst001,53.773,1503.2,1,0.604386207273,120,68,13,10,0.565217391304,0.726678126168
23,2014/04/26,H,-110,CLE,7.5,5,3,-6.4578,linct001,47.204,1505.166,1,0.510122795433,125,71,14,10,0.583333333333,0.736537888066
24,2014/04/27,H,106,CLE,8,4,1,-23.5611,voger001,43.438,1507.02,1,0.509136647877,129,72,15,10,0.6,0.735711604684
25,2014/04/28,H,-169,SD,6.5,6,4,26.1132,bumgm001,54.249,1509.268,0,0.605634374732,135,76,15,11,0.576923076923,0.741828650317
