,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2015/04/06,H,124,SF,7.5,5,4,14.711,collj001,51.989,1469.081,0,0.507727186467,5,4,0,1,0.0,
1,2015/04/07,H,-103,SF,8.5,7,6,-9.7384,delar003,46.649,1468.042,1,0.463467069913,12,10,1,1,0.5,0.599621873258
2,2015/04/08,H,-114,SF,8.5,5,2,-13.1318,hellj001,45.743,1469.531,0,0.450803774562,17,12,1,2,0.333333333333,0.581759867803
3,2015/04/10,H,106,LA,8.5,4,3,-6.7915,andec001,46.986,1467.621,1,0.439779767582,21,15,2,2,0.5,0.652588117019
4,2015/04/11,H,169,LA,7.5,6,0,-4.8786,brada001,47.4,1469.193,1,0.369207637499,27,15,3,2,0.6,0.647716020099
5,2015/04/12,H,127,LA,7.5,7,4,11.5808,collj001,51.144,1473.543,0,0.444347091579,34,19,3,3,0.5,0.743433964198
6,2015/04/13,A,138,SD,6.5,8,4,-12.9814,delar003,45.83,1471.668,1,0.39148173971,42,23,4,3,0.571428571429,0.741403867649
7,2015/04/14,A,115,SD,6.5,5,1,-15.1246,hellj001,45.353,1475.106,0,0.421631826935,47,24,4,4,0.5,0.748369948173
8,2015/04/15,A,120,SD,6.5,3,2,-6.4813,andec001,47.093,1472.947,0,0.425345904907,50,26,4,5,0.444444444444,0.771445216551
9,2015/04/16,A,155,SF,6.5,7,6,0.8366,brada001,48.662,1471.735,1,0.346417477575,57,32,5,5,0.5,0.765595715189
10,2015/04/17,A,130,SF,7,9,0,9.2919,collj001,50.58,1473.717,1,0.421754380178,66,32,6,5,0.545454545455,0.739802213196
11,2015/04/18,A,131,SF,7,4,1,-14.1846,delar003,45.867,1478.795,0,0.40987824908,70,33,6,6,0.5,0.787562197813
12,2015/04/19,A,127,SF,7.5,5,1,-17.9117,hellj001,45.016,1477.053,1,0.404892744893,75,34,7,6,0.538461538462,0.795938045109
13,2015/04/21,H,-140,TEX,9,7,1,-7.8349,andec001,47.223,1480.315,0,0.51847021001,82,35,7,7,0.5,0.807203555936
14,2015/04/22,H,-104,TEX,8.5,8,5,1.0246,brada001,49.249,1476.917,1,0.530153708277,90,40,8,7,0.533333333333,0.823607411444
15,2015/04/24,H,117,PIT,8,4,1,13.1036,collj001,51.892,1478.931,0,0.476351426128,94,41,8,8,0.5,0.812720284283
16,2015/04/25,H,118,PIT,9,2,1,-16.1868,delar003,45.727,1476.881,0,0.461602289616,96,42,8,9,0.470588235294,0.817842505566
17,2015/04/26,H,121,PIT,8,8,0,-18.3864,hellj001,45.519,1475.648,0,0.418440887816,104,42,8,10,0.444444444444,0.8170202243
18,2015/04/27,H,-137,COL,8.5,5,4,-6.3873,andec001,48.013,1472.565,0,0.49394096466,109,46,8,11,0.421052631579,0.837693467311
