,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2015/04/06,H,-152,MIN,7.5,4,0,36.1477,pricd001,58.778,1514.379,1,0.569273005679,4,0,1,0,1.0,
1,2015/04/08,H,-159,MIN,8.5,11,0,18.095,sanca004,55.224,1516.301,1,0.620255293107,15,0,2,0,1.0,1.0
2,2015/04/09,H,-133,MIN,9,7,1,-8.6386,grees005,49.738,1519.596,1,0.583524423393,22,1,3,0,1.0,1.0
3,2015/04/10,A,111,CLE,8.5,8,4,-9.8371,simoa001,49.701,1522.142,1,0.499323508635,30,5,4,0,1.0,0.996296574736
4,2015/04/11,A,-107,CLE,6.5,9,6,37.9807,pricd001,59.829,1524.7,1,0.470686774462,39,11,5,0,1.0,0.96242382229
5,2015/04/12,A,-115,CLE,8,8,5,-17.4041,lobsk001,48.086,1527.036,1,0.474234034795,47,16,6,0,1.0,0.908116911501
6,2015/04/13,A,126,PIT,7.5,5,4,20.3604,sanca004,56.04,1529.353,0,0.48830443205,52,20,6,1,0.857142857143,0.875488242377
7,2015/04/14,A,102,PIT,7.5,2,0,-3.1913,grees005,50.918,1527.975,1,0.487411837558,54,20,7,1,0.875,0.849345346234
8,2015/04/15,A,133,PIT,7.5,1,0,-10.7771,simoa001,49.58,1529.895,1,0.446196663188,55,20,8,1,0.888888888889,0.857879177115
9,2015/04/17,H,-160,CHW,8,2,1,35.1231,pricd001,59.626,1531.506,1,0.646273482933,57,21,9,1,0.9,0.861880532457
10,2015/04/18,H,-111,CHW,7.5,12,3,13.7287,sanca004,55.269,1532.365,0,0.569374489032,69,24,9,2,0.818181818182,0.859039740626
11,2015/04/19,H,-139,CHW,8,9,1,2.4205,grees005,52.333,1527.475,1,0.591352727685,78,25,10,2,0.833333333333,0.871182559503
12,2015/04/20,H,-121,NYY,9,2,1,-3.76,simoa001,51.094,1530.445,1,0.579051034456,80,26,11,2,0.846153846154,0.886901793505
13,2015/04/21,H,-116,NYY,8.5,5,2,-19.5614,lobsk001,47.867,1531.538,0,0.572874364213,85,28,11,3,0.785714285714,0.884352961008
14,2015/04/22,H,-183,NYY,7.5,13,4,38.3191,pricd001,60.224,1528.99,0,0.642657151633,98,32,11,4,0.733333333333,0.881833499481
15,2015/04/23,H,-102,NYY,7.5,2,1,3.9386,sanca004,52.475,1523.277,0,0.531107701769,100,33,11,5,0.6875,0.88348035311
16,2015/04/24,H,-115,CLE,8,13,1,4.0608,grees005,52.686,1521.805,0,0.568987321933,113,34,11,6,0.647058823529,0.881496585142
17,2015/04/25,H,-104,CLE,8.5,4,1,1.4711,simoa001,51.81,1515.919,1,0.572975213004,117,35,12,6,0.666666666667,0.897877392778
18,2015/04/26,H,100,CLE,8,8,6,-15.5288,lobsk001,48.286,1517.675,1,0.511158920603,125,41,13,6,0.684210526316,0.898835745407
19,2015/04/27,A,-158,MIN,7.5,5,4,28.4867,pricd001,57.646,1519.368,1,0.572857287121,130,45,14,6,0.7,0.882641154071
20,2015/04/28,A,-138,MIN,9,3,2,8.1075,sanca004,53.357,1520.482,0,0.560217654655,133,47,14,7,0.666666666667,0.872158309423
21,2015/04/29,A,101,MIN,8.5,10,7,-3.0832,grees005,51.022,1518.911,1,0.479048246134,143,54,15,7,0.681818181818,0.867928370194
22,2015/04/30,A,112,KC,8,8,1,3.9151,simoa001,52.256,1521.186,0,0.426562041021,151,55,15,8,0.652173913043,0.853545950743
23,2015/05/01,A,106,KC,8.5,4,1,-12.7793,lobsk001,48.427,1518.301,0,0.428796431227,155,56,15,9,0.625,0.861523707811
24,2015/05/02,A,-122,KC,7.5,2,1,30.315,pricd001,57.579,1516.544,1,0.447505261876,157,57,16,9,0.64,0.863269241677
25,2015/05/03,A,-119,KC,8.5,6,4,10.0298,sanca004,53.501,1518.089,1,0.454138153591,163,61,17,9,0.653846153846,0.86222354777
26,2015/05/05,A,100,CHW,8.5,5,2,-8.0323,grees005,49.777,1520.017,0,0.512260504184,168,63,17,10,0.62962962963,0.855574104568
27,2015/05/06,A,137,CHW,8.5,7,6,-1.8753,simoa001,50.828,1517.767,0,0.476253904008,175,69,17,11,0.607142857143,0.855115657802
28,2015/05/07,A,106,CHW,9.5,4,1,-12.361,lobsk001,48.479,1516.484,1,0.496527901403,179,70,18,11,0.620689655172,0.843503425237
29,2015/05/08,H,-148,KC,7.5,6,5,33.8447,pricd001,58.449,1518.686,1,0.538287652875,185,75,19,11,0.633333333333,0.845455299546
30,2015/05/09,H,-150,KC,8.5,6,2,13.771,sanca004,53.986,1519.919,0,0.539381688792,191,77,19,12,0.612903225806,0.836742894786
31,2015/05/10,H,-102,KC,8,2,1,-10.7207,grees005,48.571,1517.138,0,0.490951396877,193,78,19,13,0.59375,0.838122865826
32,2015/05/12,H,-146,MIN,9,2,1,-3.9621,simoa001,50.258,1515.804,1,0.546144324769,195,79,20,13,0.606060606061,0.837511295966
