,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2015/04/06,H,101,CLE,7.5,2,0,18.1561,keucd001,53.706,1479.927,1,0.446561123392,2,0,1,0,1.0,
1,2015/04/08,H,110,CLE,8.5,2,0,0.2679,felds001,50.093,1481.958,0,0.478262053666,4,0,1,1,0.5,1.0
2,2015/04/09,H,-103,CLE,9,5,1,-13.019,wojca001,47.4,1480.246,0,0.487143616255,9,1,1,2,0.333333333333,1.0
3,2015/04/10,A,101,TEX,8,5,1,16.309,mchuc001,53.392,1477.74,1,0.43727649223,14,2,2,2,0.5,0.981602587235
4,2015/04/11,A,112,TEX,8.5,6,2,-25.8829,carmf001,44.544,1480.615,0,0.439451779943,20,4,2,3,0.4,0.971310009027
5,2015/04/12,A,-122,TEX,8.5,6,4,21.3427,keucd001,54.478,1478.511,1,0.491071236469,26,8,3,3,0.5,0.948489381408
6,2015/04/13,H,105,OAK,8.5,8,1,3.7224,felds001,50.762,1480.232,0,0.483588088929,34,9,3,4,0.428571428571,0.894104087513
7,2015/04/14,H,-111,OAK,9,4,0,-21.2346,peacb001,45.072,1476.781,0,0.475287797328,38,9,3,5,0.375,0.917263662596
8,2015/04/15,H,-105,OAK,7.5,6,1,20.0502,mchuc001,53.862,1474.352,1,0.498862524926,44,10,4,5,0.444444444444,0.931314215307
9,2015/04/17,H,104,LAA,9,6,3,-26.0521,carmf001,44.25,1477.303,0,0.427611015677,50,13,4,6,0.4,0.935938380644
10,2015/04/18,H,-115,LAA,8.5,4,0,21.2816,keucd001,54.416,1475.492,1,0.508150860829,54,13,5,6,0.454545454545,0.919694490022
11,2015/04/19,H,106,LAA,8.5,4,3,-6.0301,felds001,48.819,1478.029,1,0.413429502963,58,16,6,6,0.5,0.929399587613
12,2015/04/20,A,179,SEA,7.5,7,5,-18.1091,wojca001,46.299,1479.693,1,0.388516553098,65,21,7,6,0.538461538462,0.911413423018
13,2015/04/21,A,112,SEA,7,6,3,21.8456,mchuc001,54.631,1482.082,1,0.493766649463,71,24,8,6,0.571428571429,0.885447034688
14,2015/04/22,A,146,SEA,7.5,3,2,-23.4812,carmf001,45.006,1484.375,0,0.408886141639,74,26,8,7,0.533333333333,0.876875949351
15,2015/04/24,A,120,OAK,7,5,4,24.6656,keucd001,55.259,1483.285,1,0.438854656676,79,30,9,7,0.5625,0.869120313069
16,2015/04/25,A,104,OAK,8.5,9,3,-5.452,felds001,49.131,1484.876,1,0.442849565861,88,33,10,7,0.588235294118,0.852272046897
17,2015/04/26,A,149,OAK,8,7,6,-22.2921,wojca001,45.647,1488.639,1,0.411738052715,95,39,11,7,0.611111111111,0.855115657802
18,2015/04/27,A,107,SD,6.5,9,4,19.7776,mchuc001,54.496,1490.327,1,0.446372969715,104,43,12,7,0.631578947368,0.833615459005
19,2015/04/28,A,146,SD,7,14,3,-23.3402,carmf001,45.298,1493.775,1,0.403992456856,118,46,13,7,0.65,0.831819171983
20,2015/04/29,A,113,SD,6.5,7,2,29.1118,keucd001,56.395,1499.822,1,0.501146829277,125,48,14,7,0.666666666667,0.846199422338
21,2015/04/30,H,103,SEA,8.5,3,2,-3.3511,felds001,49.686,1502.851,1,0.54367046172,128,50,15,7,0.681818181818,0.849715833493
22,2015/05/01,H,100,SEA,8.5,4,3,-16.5957,dedus001,46.897,1504.066,1,0.53285494814,132,53,16,7,0.695652173913,0.845719208736
23,2015/05/02,H,-135,SEA,8,11,4,17.3712,mchuc001,54.168,1505.318,1,0.588137433162,143,57,17,7,0.708333333333,0.839112998652
24,2015/05/03,H,112,SEA,9,7,6,-23.97,carmf001,45.23,1508.117,1,0.50905766658,150,63,18,7,0.72,0.840884771015
25,2015/05/04,H,-194,TEX,8.5,2,1,32.2373,keucd001,57.074,1509.45,0,0.661131870279,152,64,18,8,0.692307692308,0.827808700937
26,2015/05/05,H,-153,TEX,9,7,1,-2.4205,felds001,49.869,1507.501,0,0.605698874537,159,65,18,9,0.666666666667,0.827161933787
27,2015/05/06,H,-126,TEX,8.5,11,3,-12.9391,dedus001,47.292,1503.338,0,0.546996648346,170,68,18,10,0.642857142857,0.83466761085
28,2015/05/07,A,-106,LAA,7.5,3,2,17.4229,mchuc001,53.274,1498.967,1,0.464764563987,173,70,19,10,0.655172413793,0.840034692058
29,2015/05/08,A,108,LAA,8.5,2,0,-22.5412,carmf001,44.914,1500.475,0,0.417965523936,175,70,19,11,0.633333333333,0.837219197892
30,2015/05/09,A,-102,LAA,7,6,5,36.3216,keucd001,57.574,1499.023,1,0.465156000518,181,75,20,11,0.645161290323,0.840034692058
31,2015/05/10,A,139,LAA,7.5,3,1,-7.5999,felds001,48.197,1500.53,0,0.386769924901,184,76,20,12,0.625,0.831265973578
32,2015/05/12,H,-160,SF,8,8,1,18.3253,mchuc001,53.806,1499.223,0,0.553553366927,192,77,20,13,0.606060606061,0.832075174031
33,2015/05/13,H,-127,SF,8.5,4,3,-5.2358,oberb001,48.555,1495.138,1,0.520009421889,196,80,21,13,0.617647058824,0.839401113566
34,2015/05/14,H,-107,TOR,9,6,4,-17.8647,carmf001,45.831,1496.435,1,0.488701647681,202,84,22,13,0.628571428571,0.835059658045
