,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2015/04/06,H,-167,NYM,7,3,1,14.8379,schem001,56.082,1535.956,0,0.573154025868,3,1,0,1,0.0,
1,2015/04/08,H,-137,NYM,6.5,2,1,26.2166,zimmj003,58.653,1533.593,1,0.586506699566,5,2,1,1,0.5,0.879583109082
2,2015/04/09,H,-108,NYM,6,6,3,10.3541,stras001,55.39,1534.695,0,0.537996680471,11,5,1,2,0.333333333333,0.840034692058
3,2015/04/10,A,-160,PHI,7.5,4,1,5.8468,gonzg003,54.231,1532.227,0,0.561575593124,15,6,1,3,0.25,0.806450280946
4,2015/04/11,A,-106,PHI,6.5,3,2,7.7409,fistd001,54.584,1529.639,0,0.496205124813,18,8,1,4,0.2,0.840034692058
5,2015/04/12,A,-182,PHI,7,4,3,17.1879,schem001,56.674,1528.259,1,0.610808787143,22,11,2,4,0.333333333333,0.812720284283
6,2015/04/13,A,126,BOS,8.5,9,4,27.4151,zimmj003,58.934,1529.262,0,0.541124787974,31,15,2,5,0.285714285714,0.778094505229
7,2015/04/14,A,116,BOS,8,8,7,7.5106,stras001,54.278,1526.09,0,0.528812384256,39,22,2,6,0.25,0.788172711334
8,2015/04/15,A,110,BOS,9,10,5,6.4625,gonzg003,53.918,1524.627,1,0.501107397707,49,27,3,6,0.333333333333,0.738127675725
9,2015/04/16,H,-135,PHI,6.5,5,2,11.3646,fistd001,54.905,1527.494,1,0.568444237344,54,29,4,6,0.4,0.746253574694
10,2015/04/17,H,-240,PHI,7,7,2,20.6095,schem001,56.908,1529.359,1,0.682116590422,61,31,5,6,0.454545454545,0.754962287797
11,2015/04/18,H,-171,PHI,7,5,3,17.8224,zimmj003,56.54,1530.961,0,0.635813152389,66,34,5,7,0.416666666667,0.772971190394
12,2015/04/19,H,-228,PHI,7.5,4,1,3.8352,stras001,53.51,1528.454,1,0.631172219291,70,35,6,7,0.461538461538,0.768624839967
13,2015/04/21,H,-115,STL,7,2,1,3.4639,gonzg003,53.572,1529.959,1,0.526351589691,72,36,7,7,0.5,0.778094505229
14,2015/04/22,H,-101,STL,7,7,5,9.9734,fistd001,54.963,1531.275,0,0.550746912114,79,41,7,8,0.466666666667,0.778094505229
