,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2016/04/04,A,161,ARI,8,10,5,18.5514889838,delaj001,53.070981718,1468.53880769,1,0.371552539035,10,5,1,0,1.0,
1,2016/04/05,A,116,ARI,9,11,6,6.41898436487,bettc001,50.3767436335,1472.41702713,0,0.444312851238,21,11,1,1,0.5,0.778094505229
2,2016/04/06,A,135,ARI,8.5,4,3,6.75283945549,chatt001,50.2875838424,1469.913451,1,0.42488278746,25,14,2,1,0.666666666667,0.763216436866
3,2016/04/08,H,-145,SD,11,13,6,-10.7033190206,lylej001,46.6816609525,1471.5372024,0,0.547240074019,38,20,2,2,0.5,0.740673395231
4,2016/04/09,H,-122,SD,11.5,16,3,16.3014300936,delaj001,52.3093548371,1467.65769558,0,0.569436639491,54,23,2,3,0.4,0.761651558155
5,2016/04/10,H,-131,SD,11,6,3,4.61652024388,bettc001,49.5074926203,1461.52778482,1,0.525289482608,60,26,3,3,0.5,0.824163825615
6,2016/04/12,H,-109,SF,11,7,2,9.33094751303,chatt001,50.7565120328,1463.44869388,0,0.479182762675,67,28,3,4,0.428571428571,0.819595433437
7,2016/04/13,H,-106,SF,11.5,10,6,-11.5449652393,lylej001,46.2055389669,1460.7964186,1,0.420432420198,77,34,4,4,0.5,0.829091681412
8,2016/04/14,H,-109,SF,11.5,11,6,8.98468934915,delaj001,50.5573794432,1463.72438597,1,0.490404287354,88,40,5,4,0.555555555556,0.814508418272
9,2016/04/15,A,214,CHC,7.5,6,1,8.54284845539,bettc001,50.6881296068,1466.5901081,1,0.33485747504,94,41,6,4,0.6,0.806450280946
10,2016/04/16,A,274,CHC,7,6,2,-20.511157489,bergc001,44.6934685284,1470.85753727,0,0.241614468112,100,43,6,5,0.545454545455,0.817842505566
11,2016/04/17,A,210,CHC,7,2,0,4.72275426041,chatt001,50.110799126,1469.94221115,1,0.315163971415,102,43,7,5,0.583333333333,0.821652817299
12,2016/04/18,A,118,CIN,8.5,5,1,-14.9284877368,lylej001,46.2475020547,1472.70228339,1,0.458351381276,107,44,8,5,0.615384615385,0.826844781911
13,2016/04/19,A,104,CIN,8.5,4,3,9.21550585983,delaj001,51.5855919633,1475.58655833,0,0.529542358965,111,47,8,6,0.571428571429,0.833194264798
14,2016/04/20,A,118,CIN,7.5,6,5,9.66019539471,bettc001,51.5324598106,1474.0932676,0,0.48052083973,117,52,8,7,0.533333333333,0.82570416591
15,2016/04/22,H,118,LAD,11,7,5,-11.330040841,grayj003,47.1318777763,1472.77095856,1,0.442256209765,124,57,9,7,0.5625,0.812720284283
16,2016/04/23,H,109,LAD,11,4,1,9.99627035303,chatt001,51.6496482957,1474.63883277,0,0.427767744901,128,58,9,8,0.529411764706,0.803258649081
17,2016/04/24,H,116,LAD,11,12,10,-9.90165366693,lylej001,47.4116657263,1472.96092397,0,0.438024884888,140,68,9,9,0.5,0.807333002512
18,2016/04/25,H,-134,PIT,12,6,1,11.7635536587,bettc001,51.7568201516,1471.58448481,0,0.520453515739,146,69,9,10,0.473684210526,0.787021415055
