,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2016/04/04,A,105,BAL,9,3,2,6.3711147651,sante001,51.769051396,1495.4446983,0,0.468270280581,3,2,0,1,0.0,
1,2016/04/06,A,103,BAL,8.5,4,2,4.68972145027,gibsk002,51.425768886,1494.18878693,0,0.456589500299,7,4,0,2,0.0,0.67565872963
2,2016/04/07,A,123,BAL,8.5,4,2,1.37615242013,hughp001,50.5504197306,1492.60410304,0,0.447459903251,11,6,0,3,0.0,0.733588194604
3,2016/04/08,A,145,KC,7.5,4,3,6.94776471403,sante001,51.7735773217,1491.06039023,0,0.439151966862,15,9,0,4,0.0,0.749717427842
4,2016/04/09,A,115,KC,7.5,7,0,-12.0292561085,milot001,47.8331747712,1489.9047033,0,0.450226714066,22,9,0,5,0.0,0.715977316474
5,2016/04/10,A,151,KC,8.5,4,3,-19.6279460689,nolar001,46.1418024608,1486.80782715,0,0.401010675821,26,12,0,6,0.0,0.83449292967
6,2016/04/11,H,105,CHW,7.5,4,1,-0.0270551825709,gibsk002,50.5242058916,1485.78435693,0,0.469437506412,30,13,0,7,0.0,0.80210035905
7,2016/04/13,H,-102,CHW,8,3,0,0.984413887229,hughp001,50.7243206457,1483.78863001,0,0.498214504147,33,13,0,8,0.0,0.819595433437
8,2016/04/14,H,-116,CHW,8.5,3,1,7.59037260645,sante001,52.1859722025,1481.63677793,0,0.505808746509,36,14,0,9,0.0,0.84371326642
9,2016/04/15,H,135,LAA,8,5,4,-14.2801949647,milot001,47.5879967528,1479.85915936,1,0.471558011508,41,18,1,9,0.1,0.846768243357
10,2016/04/16,H,-122,LAA,9,6,4,-14.5636893231,nolar001,47.4106159704,1481.32112751,1,0.48571874127,47,22,2,9,0.181818181818,0.816077155716
11,2016/04/17,H,-102,LAA,9,3,2,-0.190171943057,gibsk002,50.4490365577,1483.1359696,1,0.510953185293,50,24,3,9,0.25,0.798022472766
12,2016/04/18,H,-137,MIL,8,7,4,1.85310814128,hughp001,50.9944902828,1484.4630803,1,0.554885887444,57,28,4,9,0.307692307692,0.790589794298
13,2016/04/19,H,-173,MIL,8.5,6,5,8.25919386131,sante001,52.3819075553,1486.32629062,0,0.60203278128,63,33,4,10,0.285714285714,0.783576681761
14,2016/04/20,A,123,MIL,8.5,10,5,-15.8804083451,milot001,47.1545995517,1484.60634215,0,0.45344040741,73,38,4,11,0.266666666667,0.763216436866
15,2016/04/21,A,-102,MIL,9,8,1,-14.2836626516,nolar001,47.4666758357,1481.98152593,1,0.469443677123,81,39,5,11,0.3125,0.765253445459
16,2016/04/22,A,145,WAS,8,8,4,1.55660361347,gibsk002,51.0046260713,1485.8867511,0,0.404736077682,89,43,5,12,0.294117647059,0.789664847748
17,2016/04/23,A,114,WAS,8,2,0,3.2499118151,hughp001,51.0968779204,1483.89220604,0,0.430125591845,91,43,5,13,0.277777777778,0.788625417462
18,2016/04/24,A,156,WAS,7,6,5,1.32503570993,dufft001,50.7843411126,1482.36555755,0,0.356916925117,97,48,5,14,0.263157894737,0.795252717494
19,2016/04/25,H,133,CLE,8,4,3,-15.4016606989,milot001,47.185255855,1481.46695446,1,0.432396931494,101,51,6,14,0.3,0.781316192952
20,2016/04/26,H,-104,CLE,8.5,6,5,-9.45731686019,nolar001,48.4570337811,1483.06433992,1,0.498472916116,107,56,7,14,0.333333333333,0.775000194097
21,2016/04/27,H,-104,CLE,8,6,5,-14.9278497569,berrj0,47.4,1484.43415192,0,0.464748281694,113,61,7,15,0.318181818182,0.763494350606
22,2016/04/29,H,-121,DET,8.5,9,2,5.01111548339,hughp001,51.5473608889,1483.19033234,0,0.530970125878,122,63,7,16,0.304347826087,0.753225605972
23,2016/04/30,H,111,DET,8,4,1,0.0971894738404,dufft001,50.3931328743,1479.35751443,0,0.458028159797,126,64,7,17,0.291666666667,0.767848850083
24,2016/05/01,H,-139,DET,8.5,6,5,-6.41001664018,nolar001,49.092190477,1477.42386684,0,0.512030937247,132,69,7,18,0.28,0.77313382835
25,2016/05/02,A,154,HOU,8,6,2,-19.9873277191,berrj0,46.1357848308,1476.0181187,1,0.351444915878,138,71,8,18,0.307692307692,0.763892291483
26,2016/05/03,A,142,HOU,8.5,6,4,-13.9741671662,meyea0,47.4,1479.61832309,0,0.412353853198,144,75,8,19,0.296296296296,0.769036473259
27,2016/05/04,A,144,HOU,8.5,16,4,3.29892038525,hughp001,50.950491938,1478.20844692,0,0.424511387245,160,79,8,20,0.285714285714,0.765075185624
28,2016/05/06,A,118,CHW,9,10,4,-5.23562623991,nolar001,48.8223018687,1474.1130877,0,0.396372369365,170,83,8,21,0.275862068966,0.782000735578
29,2016/05/07,A,196,CHW,7,7,2,9.97132391534,sante001,51.837931652,1471.7126956,0,0.353427343151,177,85,8,22,0.266666666667,0.785446575763
30,2016/05/08,A,177,CHW,7.5,3,1,7.24644345314,dufft001,51.0878225053,1469.88079174,0,0.35830396102,180,86,8,23,0.258064516129,0.790448710092
31,2016/05/10,H,116,BAL,7.5,5,3,-14.0604784409,berrj0,46.6826955518,1468.74242906,0,0.430463477737,185,89,8,24,0.25,0.791976933015
32,2016/05/11,H,107,BAL,9,9,2,-1.17321522078,hughp001,49.3537516141,1467.29710305,0,0.477971374556,194,91,8,25,0.242424242424,0.789914847355
33,2016/05/13,A,134,CLE,8.5,7,6,-7.75708309029,nolar001,47.7785423885,1463.93721874,0,0.385426657318,201,97,8,26,0.235294117647,0.797407224238
34,2016/05/14,A,174,CLE,7,6,3,7.04825402304,sante001,50.8801170071,1462.96802331,1,0.359441115719,207,100,9,26,0.257142857143,0.788974498471
35,2016/05/15,A,114,CLE,7.5,5,1,11.3394826626,dufft001,51.9558434181,1465.94248047,1,0.427839998743,212,101,10,26,0.277777777778,0.788659314536
