,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2016/04/03,A,-116,KC,7.5,4,3,19.6434643965,harvm001,57.6335022285,1535.41515773,0,0.535382940469,4,3,0,1,0.0,
1,2016/04/05,A,-125,KC,8.5,2,0,-0.219655839485,syndn001,53.3101149285,1533.94510454,1,0.505314963092,6,3,1,1,0.5,0.627312499169
2,2016/04/08,H,-260,PHI,7,7,2,19.1295517696,degrj001,57.6566373115,1535.65148061,1,0.68637922537,13,5,2,1,0.666666666667,0.778094505229
3,2016/04/09,H,-156,PHI,7,1,0,-25.3108612413,colob001,48.2988373203,1537.21719092,0,0.641734216762,14,5,2,2,0.5,0.849345346234
4,2016/04/10,H,-245,PHI,6.5,5,2,14.9903658675,harvm001,56.9385716775,1535.29913457,0,0.691521301079,19,7,2,3,0.4,0.865717301441
5,2016/04/11,H,-147,MIA,7.5,10,3,-18.7716667025,matzs001,49.6588368919,1531.86884348,0,0.595915567165,29,10,2,4,0.333333333333,0.859039740626
6,2016/04/12,H,-126,MIA,6,2,1,5.75591167178,syndn001,54.4608001938,1527.35940824,0,0.547136018215,31,11,2,5,0.285714285714,0.872931018308
7,2016/04/13,H,-115,MIA,7.5,2,1,-24.5795205774,verrl001,48.16796561,1525.79386442,1,0.565777469654,33,12,3,5,0.375,0.867073383817
8,2016/04/15,A,104,CLE,8,6,5,-21.8445966723,colob001,48.8931277272,1526.96180636,1,0.460695168617,39,17,4,5,0.444444444444,0.861880532457
9,2016/04/16,A,-123,CLE,7,7,5,12.9558631655,harvm001,56.2974816977,1528.46109983,0,0.505847893309,46,22,4,6,0.4,0.81801113227
10,2016/04/17,A,143,CLE,7.5,6,0,-35.5514489222,matzs001,45.8915301082,1526.66727226,1,0.38960558183,52,22,5,6,0.454545454545,0.791675411205
11,2016/04/18,A,-170,PHI,7.5,5,2,7.02847222135,syndn001,55.2071306073,1530.83062667,1,0.577389645581,57,24,6,6,0.5,0.825917316717
12,2016/04/19,A,-113,PHI,7.5,11,1,-8.35191654095,verrl001,52.0791709354,1532.6337088,1,0.545400913988,68,25,7,6,0.538461538462,0.827161933787
13,2016/04/20,A,-160,PHI,8,5,4,-22.6401339916,colob001,49.1255211211,1536.63593128,0,0.592511650776,73,29,7,7,0.5,0.859500044356
14,2016/04/22,A,-194,ATL,8,6,3,8.44041307367,harvm001,55.7334189162,1534.91530189,1,0.621707545769,79,32,8,7,0.533333333333,0.841699260094
15,2016/04/23,A,-144,ATL,7.5,8,2,-23.4880986167,matzs001,48.9068409233,1536.44819487,1,0.54469105952,87,34,9,7,0.5625,0.836951528342
16,2016/04/24,A,-164,ATL,7.5,3,2,18.7989397445,degrj001,57.9411666036,1539.35849593,1,0.639386107854,90,36,10,7,0.588235294118,0.84561062058
17,2016/04/25,H,-208,CIN,6.5,5,3,8.96537723076,syndn001,55.8546769711,1540.24114744,1,0.634739655099,95,39,11,7,0.611111111111,0.840034692058
18,2016/04/26,H,-154,CIN,7,4,3,-21.8844011762,colob001,49.3414508146,1541.45551908,1,0.622828057029,99,42,12,7,0.631578947368,0.833615459005
19,2016/04/27,H,-203,CIN,7.5,5,2,7.68573845851,harvm001,55.4772391214,1542.42011579,1,0.677953450045,104,44,13,7,0.65,0.825200231033
20,2016/04/29,H,-144,SF,7,13,1,-19.6549097723,matzs001,49.6323255373,1543.65181663,1,0.553031696911,117,45,14,7,0.666666666667,0.825917316717
21,2016/04/30,H,-163,SF,7,6,5,18.391511159,degrj001,57.7699664371,1548.05349813,1,0.640780228114,123,50,15,7,0.681818181818,0.849345346234
22,2016/05/01,H,-123,SF,6.5,6,1,9.93317083708,syndn001,56.0120830338,1548.95386218,0,0.545152065853,129,51,15,8,0.652173913043,0.836072632738
23,2016/05/02,H,-199,ATL,7,4,1,-23.7291474582,colob001,48.7956097714,1545.64719962,1,0.688677252077,133,52,16,8,0.666666666667,0.842858981976
24,2016/05/03,H,-225,ATL,7,3,0,5.76850024122,harvm001,55.2567040159,1546.81801168,0,0.697730785673,136,52,16,9,0.64,0.845506102851
25,2016/05/04,H,-183,ATL,7,8,0,-16.9342698978,matzs001,50.2821461522,1543.33809324,1,0.636641902812,144,52,17,9,0.653846153846,0.850706652269
26,2016/05/05,A,-185,SD,7,5,3,17.0115967702,degrj001,57.7831294313,1545.90971902,0,0.614077147212,149,55,17,10,0.62962962963,0.863375207688
27,2016/05/06,A,-151,SD,6.5,2,0,7.81650025523,syndn001,55.6350216013,1543.41887482,0,0.581294048086,151,55,17,11,0.607142857143,0.858619344481
28,2016/05/07,A,-134,SD,7.5,6,3,-18.6842805293,colob001,49.9730424572,1541.09552905,1,0.53881357274,157,58,18,11,0.620689655172,0.861523707811
29,2016/05/08,A,-151,SD,7.5,4,3,2.6751970292,harvm001,54.4744307999,1543.19109021,1,0.600007574469,161,61,19,11,0.633333333333,0.858441206152
30,2016/05/09,A,-102,LAD,7,4,2,-6.6018763435,matzs001,52.5284948497,1544.30680134,1,0.503666055214,165,63,20,11,0.645161290323,0.852790881029
31,2016/05/10,A,107,LAD,7,3,2,12.7718299731,degrj001,56.6436334167,1546.2100428,0,0.527153299829,168,65,20,12,0.625,0.851028100322
32,2016/05/11,A,-104,LAD,6.5,4,3,6.86449181565,syndn001,55.4342916061,1544.62246236,1,0.450932580064,172,68,21,12,0.636363636364,0.847965675587
33,2016/05/12,A,235,LAD,6,5,0,-19.1261477744,colob001,49.9559046462,1546.29218743,0,0.365541851514,177,68,21,13,0.617647058824,0.842858981976
34,2016/05/13,A,-113,COL,10,5,2,3.59616714503,harvm001,54.585518498,1544.29217958,0,0.560517591088,182,70,21,14,0.6,0.849607006113
35,2016/05/14,A,-131,COL,11.5,7,4,0.214564171273,verrl001,53.8152790522,1541.92837382,0,0.60125413187,189,74,21,15,0.583333333333,0.849345346234
36,2016/05/15,A,-119,COL,10,4,3,15.6069209971,degrj001,56.7454561275,1539.34745212,0,0.554339445042,193,77,21,16,0.567567567568,0.845169244797
37,2016/05/17,H,100,WAS,6.5,2,0,10.0469841281,syndn001,55.6189468832,1537.79623997,1,0.528936556131,195,77,22,16,0.578947368421,0.840664609822
38,2016/05/18,H,-103,WAS,7,7,1,-21.5486215916,colob001,49.1347681162,1539.50594309,0,0.52196634988,202,78,22,17,0.564102564103,0.843148207232
39,2016/05/19,H,108,WAS,6.5,9,1,3.26873888701,harvm001,54.2935141438,1536.01990932,0,0.51116393846,211,79,22,18,0.55,0.848427625795
40,2016/05/20,H,-228,MIL,7.5,3,2,-2.69356935814,matzs001,52.5759611074,1531.97671936,1,0.658023781072,214,81,23,18,0.560975609756,0.855469836989
41,2016/05/21,H,-200,MIL,7,5,4,16.7682074349,degrj001,56.8617052879,1532.81545897,1,0.656313642731,219,85,24,18,0.571428571429,0.853017134671
42,2016/05/22,H,-220,MIL,7,3,1,16.5785164378,syndn001,56.703516749,1533.66030302,1,0.659154528956,222,86,25,18,0.581395348837,0.847227718717
43,2016/05/23,A,146,WAS,7.5,7,1,-21.6408700365,colob001,48.7562915917,1534.75972637,1,0.431374099729,229,87,26,18,0.590909090909,0.847674553688
44,2016/05/24,A,157,WAS,7,7,4,-6.87188681345,harvm001,52.0138562558,1538.64431901,0,0.423362039323,236,91,26,19,0.577777777778,0.852172526958
45,2016/05/25,A,-109,WAS,7.5,2,0,1.54307771579,matzs001,53.5176586456,1536.82585204,1,0.480551943253,238,91,27,19,0.586956521739,0.848756325921
46,2016/05/27,H,-110,LAD,7,6,5,12.3191315194,degrj001,56.0941763409,1538.76881713,1,0.60023256871,244,96,28,19,0.595744680851,0.850706652269
47,2016/05/28,H,-141,LAD,7,9,1,17.9161363985,syndn001,57.4499455475,1539.8141717,0,0.572339201273,253,97,28,20,0.583333333333,0.844014189414
48,2016/05/29,H,226,LAD,6.5,4,2,-19.253762608,colob001,49.5626526541,1535.1622397,0,0.395084025713,257,99,28,21,0.571428571429,0.850077382191
49,2016/05/30,H,107,CHW,7,1,0,-14.1495593905,harvm001,50.6538834589,1533.80738525,1,0.5075571929,258,99,29,21,0.58,0.84898479951
50,2016/05/31,H,-177,CHW,7.5,6,4,6.0704407941,matzs001,55.1674065645,1535.18054716,0,0.602842614911,264,103,29,22,0.56862745098,0.849883793183
51,2016/06/01,H,-164,CHW,7.5,2,1,14.3082849094,degrj001,56.7877072734,1532.85288911,0,0.614238673017,266,104,29,23,0.557692307692,0.846005426355
52,2016/06/03,A,-173,MIA,7,6,2,16.5549395039,syndn001,57.3653296367,1531.04270579,1,0.575887529249,272,106,30,23,0.566037735849,0.845506102851
53,2016/06/04,A,-107,MIA,9,6,4,-19.4524597564,colob001,49.793630517,1533.17233821,1,0.523090134527,278,110,31,23,0.574074074074,0.846274727532
54,2016/06/05,A,151,MIA,7,1,0,-9.43795317675,harvm001,51.8613877198,1534.92530358,0,0.454787574555,279,110,31,24,0.563636363636,0.842656057892
55,2016/06/07,A,117,PIT,7.5,3,1,1.56490926351,matzs001,54.3599181588,1533.6675039,0,0.497934626175,282,111,31,25,0.553571428571,0.84351583645
56,2016/06/07,A,-127,PIT,7.5,3,1,14.6970362101,degrj001,57.1335452139,1531.81625299,0,0.520227755437,285,112,31,26,0.543859649123,0.843908556826
