,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2016/04/03,H,-117,TOR,7,5,3,5.87410940593,archc001,54.2788577428,1512.43837853,0,0.574418410329,5,3,0,1,0.0,
1,2016/04/04,H,-116,TOR,8,5,3,8.87027659423,smyld001,54.9770364277,1510.52829493,0,0.51108096245,10,6,0,2,0.0,0.715977316474
2,2016/04/05,H,-102,TOR,8,3,2,-5.89317657007,odorj001,51.7404153562,1508.62337333,1,0.511178635865,13,8,1,2,0.333333333333,0.715977316474
3,2016/04/06,H,115,TOR,8.5,5,3,-21.8178153914,moorm003,48.493338692,1509.99459423,1,0.46442208641,18,11,2,2,0.5,0.706567093106
4,2016/04/08,A,-127,BAL,8,6,1,6.60855816286,archc001,54.5198487393,1512.01357534,0,0.487721769071,24,12,2,3,0.4,0.709175376839
5,2016/04/10,A,-110,BAL,8,5,3,-1.16874174056,odorj001,52.508830532,1509.18645072,0,0.490992316411,29,15,2,4,0.333333333333,0.778094505229
6,2016/04/12,H,109,CLE,7,5,1,-19.1098273797,moorm003,48.6171704173,1507.44797345,1,0.453704179544,34,16,3,4,0.428571428571,0.767319068565
7,2016/04/13,H,104,CLE,7,4,1,7.55692572634,smyld001,54.4053676642,1510.38043976,0,0.512451771887,38,17,3,5,0.375,0.796462042546
8,2016/04/14,H,-138,CLE,7,6,0,-1.51276754619,archc001,52.6681771942,1508.0556401,0,0.503773742514,44,17,3,6,0.333333333333,0.810907058206
9,2016/04/15,H,-102,CHW,6.5,1,0,-3.50039952976,odorj001,52.1492246996,1504.71262442,0,0.481721826862,45,17,3,7,0.3,0.848291972863
10,2016/04/16,H,-148,CHW,8,7,2,-8.23459002562,ramie004,51.337844424,1503.3665348,1,0.544501339907,52,19,4,7,0.363636363636,0.85345283447
11,2016/04/17,H,-102,CHW,7.5,3,2,-18.0912665891,moorm003,49.3925664047,1506.01132344,1,0.471192340109,55,21,5,7,0.416666666667,0.86084386595
