,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/02,H,133,SF,6,5,22.9720580737,greiz001,52.9365554598,1482.63930477,W,0.503497898054,6,5,1,0,1.0,
1,2017/04/04,H,128,SF,8,4,-21.2984847393,corbp001,43.5481060006,1484.09381456,L,0.412585196582,14,9,1,1,0.5,0.581759867803
2,2017/04/05,H,-104,SF,8,6,5.01397848351,walkt004,49.0522512378,1482.10093706,W,0.478175798375,22,15,2,1,0.666666666667,0.689914001678
3,2017/04/06,H,-110,SF,9,3,6.24183789469,ray-r002,49.3218348467,1483.96954309,W,0.495222648058,31,18,3,1,0.75,0.666681954497
4,2017/04/07,H,124,CLE,7,3,-7.6020267095,mills001,46.4294812454,1487.25669461,W,0.439581509863,38,21,4,1,0.8,0.727890082545
5,2017/04/08,H,101,CLE,11,2,22.5466916449,greiz001,52.8462467089,1490.20249752,W,0.49115551272,49,23,5,1,0.833333333333,0.745251571286
6,2017/04/09,H,160,CLE,3,2,-23.3021943541,corbp001,43.3034296595,1494.47685826,W,0.3751329056,52,25,6,1,0.857142857143,0.797210491048
7,2017/04/10,A,118,SF,4,1,2.91763511701,walkt004,49.0405956697,1496.28153906,L,0.438486768957,56,26,6,2,0.75,0.790109551463
8,2017/04/11,A,104,SF,4,3,5.4868815037,ray-r002,49.5211798459,1494.37627763,W,0.450856698026,60,29,7,2,0.777777777778,0.800389709283
9,2017/04/12,A,103,SF,6,2,-9.3682571549,mills001,46.5210765548,1495.9609948,L,0.4802565604,66,31,7,3,0.7,0.788508471249
10,2017/04/14,A,219,LAD,7,1,24.3265684468,greiz001,53.6677136773,1493.46455375,L,0.353394499736,73,32,7,4,0.636363636364,0.797017722527
11,2017/04/15,A,160,LAD,8,4,-18.5968289755,corbp001,44.3437197879,1491.35035945,L,0.369575566196,81,36,7,5,0.583333333333,0.816490614528
