,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,161,NYM,6,0,26.9686083986,tehej001,55.0615667737,1475.19714049,L,0.405150071528,6,0,0,1,0.0,
1,2017/04/05,A,183,NYM,3,1,2.8541604547,colob001,50.0725061051,1472.76453595,W,0.382566268121,9,1,1,1,0.5,1.0
2,2017/04/06,A,136,NYM,6,2,-13.4198043442,garcj004,46.7590547885,1475.16488071,L,0.388149080739,15,3,1,2,0.333333333333,0.981602587235
3,2017/04/07,A,124,PIT,5,4,-4.05377528596,foltm001,48.6481505469,1473.28703542,L,0.409978252553,20,7,1,3,0.25,0.948489381408
4,2017/04/08,A,137,PIT,6,4,1.39925826972,dickr001,49.7056106761,1472.19022877,L,0.429920746283,26,11,1,4,0.2,0.869911675528
5,2017/04/09,A,120,PIT,6,5,29.402757129,tehej001,55.4830313667,1470.65772834,L,0.458251970828,32,16,1,5,0.166666666667,0.825917316717
6,2017/04/11,A,121,MIA,8,4,6.75676203299,colob001,50.7876146226,1469.38740133,L,0.41220629163,40,20,1,6,0.142857142857,0.778094505229
7,2017/04/12,A,100,MIA,5,4,-12.7090710253,garcj004,46.3834367563,1467.33744632,W,0.398929800115,45,24,2,6,0.25,0.778094505229
8,2017/04/14,H,-139,SD,5,2,32.2373948747,tehej001,55.784636502,1469.12232351,W,0.589728570913,50,26,3,6,0.333333333333,0.75727211882
9,2017/04/15,H,101,SD,4,2,-0.795234977391,dickr001,48.7868721699,1470.83595885,W,0.565677199275,54,28,4,6,0.4,0.765595715189
10,2017/04/16,H,-121,SD,9,2,2.19591142805,colob001,49.4031778845,1472.3472628,W,0.576962780329,63,30,5,6,0.454545454545,0.766521179498
11,2017/04/17,H,-150,SD,5,4,-16.1782801517,garcj004,45.709249113,1475.24895413,W,0.546402878785,68,34,6,6,0.5,0.792967523401
12,2017/04/18,H,168,WAS,3,1,-4.63228785515,foltm001,48.1774769344,1476.454436,L,0.392557299039,71,35,6,7,0.461538461538,0.778094505229
13,2017/04/19,H,102,WAS,14,4,29.8510117767,tehej001,55.5939594196,1475.13547713,L,0.508826487145,85,39,6,8,0.428571428571,0.782495832652
14,2017/04/20,H,141,WAS,3,2,-1.13166701377,dickr001,48.6947900454,1470.53671092,L,0.404340653282,88,41,6,9,0.4,0.803789947632
15,2017/04/21,A,-106,PHI,4,3,6.70619007616,colob001,50.4571855857,1469.50165876,L,0.458765016667,92,44,6,10,0.375,0.799378450441
16,2017/04/22,A,107,PHI,4,3,-14.3382309017,garcj004,45.9395270552,1468.25294166,L,0.427442311443,96,47,6,11,0.352941176471,0.791675411205
17,2017/04/23,A,-100,PHI,5,2,-2.2593945021,foltm001,48.6248077081,1467.11452683,L,0.491948152022,101,49,6,12,0.333333333333,0.784604359972
18,2017/04/26,A,130,NYM,8,2,20.7599071151,tehej001,53.7408451789,1464.91984762,W,0.451025820737,109,51,7,12,0.368421052632,0.787374802228
19,2017/04/27,A,147,NYM,7,5,-0.95802545846,dickr001,49.1806609177,1468.63075498,W,0.409836627993,116,56,8,12,0.4,0.798144130693
20,2017/04/28,A,123,MIL,10,8,4.04876071824,colob001,50.1852323766,1470.89658935,W,0.423928718812,126,64,9,12,0.428571428571,0.788867368671
21,2017/04/29,A,105,MIL,11,3,-11.3286035859,garcj004,46.6686387339,1473.09911432,W,0.452741575612,137,67,10,12,0.454545454545,0.77313382835
22,2017/04/30,A,-102,MIL,4,3,2.80154165449,foltm001,49.7404124323,1477.50240975,L,0.49196733603,141,70,10,13,0.434782608696,0.784936895899
23,2017/05/01,H,-108,NYM,7,5,21.8319164403,tehej001,53.8232573861,1476.12696586,L,0.560634814326,148,75,10,14,0.416666666667,0.780310891174
24,2017/05/02,H,102,NYM,9,7,-0.847380697664,dickr001,48.8873416995,1474.0397091,W,0.493480481772,157,82,11,14,0.44,0.773871204721
25,2017/05/03,H,123,NYM,16,5,-0.427863874,colob001,48.9180904363,1475.87992363,L,0.462844320511,173,87,11,15,0.423076923077,0.764163512065
26,2017/05/05,H,-113,STL,10,0,4.92775610367,foltm001,49.8797540072,1471.54417205,L,0.497599082651,183,87,11,16,0.407407407407,0.776288002823
27,2017/05/06,H,-119,STL,5,3,21.3398702354,tehej001,53.0383363718,1467.07204378,L,0.50091883476,188,90,11,17,0.392857142857,0.793454626447
28,2017/05/07,H,101,STL,6,4,1.44458338551,dickr001,48.6038055785,1465.25725108,L,0.487966351332,194,94,11,18,0.379310344828,0.79138670416
29,2017/05/09,A,173,HOU,8,3,-0.565753565175,colob001,48.0334919728,1463.50126352,L,0.354415717947,202,97,11,19,0.366666666667,0.787757316
30,2017/05/10,A,182,HOU,4,2,-3.66078711473,garcj004,47.1159548806,1461.64465299,L,0.353707921246,206,99,11,20,0.354838709677,0.790466171194
31,2017/05/12,A,113,MIA,8,4,1.47967047743,foltm001,48.160547008,1460.50580268,W,0.421631101394,214,103,12,20,0.375,0.790226118856
32,2017/05/13,A,115,MIA,3,1,18.1904131267,tehej001,51.8038612857,1463.66108671,W,0.475890239928,217,104,13,20,0.393939393939,0.789772909577
33,2017/05/14,A,121,MIA,3,1,-1.10203536395,dickr001,47.8755259724,1465.63436783,L,0.455564428142,220,105,13,21,0.382352941176,0.791050081729
34,2017/05/15,A,120,TOR,10,6,-6.40948730535,colob001,46.7444140494,1463.98134222,W,0.430668206575,230,111,14,21,0.4,0.792292141791
35,2017/05/16,A,123,TOR,9,5,-5.35721653057,garcj004,46.9092881545,1466.9967523,W,0.36075582254,239,116,15,21,0.416666666667,0.788960990897
36,2017/05/17,H,-113,TOR,8,4,2.7145073336,foltm001,48.5839914243,1470.49493941,W,0.499852359369,247,120,16,21,0.432432432432,0.787245425977
37,2017/05/18,H,104,TOR,9,0,21.2449897494,tehej001,52.4925510589,1473.08588196,L,0.508700028884,256,120,16,22,0.421052631579,0.786949161836
38,2017/05/19,H,154,WAS,7,4,1.71091192189,dickr001,47.8779156073,1468.78537376,W,0.434730526467,263,124,17,22,0.435897435897,0.797608045576
39,2017/05/20,H,199,WAS,5,2,-4.19111615643,colob001,46.5175336159,1471.36513612,W,0.364395020679,268,126,18,22,0.45,0.795904172241
40,2017/05/21,H,170,WAS,3,2,-3.33155763464,garcj004,46.7528558875,1474.36158562,L,0.401489962855,271,128,18,23,0.439024390244,0.796735745439
41,2017/05/22,H,114,PIT,5,2,3.55568041313,foltm001,48.3846326941,1473.33644802,W,0.483264486483,276,130,19,23,0.452380952381,0.79537917008
42,2017/05/23,H,-104,PIT,6,5,-1.29787964038,dickr001,47.3365577347,1475.64450755,W,0.557379026538,282,135,20,23,0.46511627907,0.796196255185
43,2017/05/24,H,-141,PIT,12,5,11.8056385153,tehej001,49.9742971305,1476.81216701,L,0.558896202329,294,140,20,24,0.454545454545,0.79138670416
44,2017/05/25,H,-105,PIT,9,4,-3.17780293985,colob001,46.8243073565,1472.67831463,L,0.473144138163,303,144,20,25,0.444444444444,0.792967523401
