,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-131,TOR,3,2,20.9781082741,gausk001,54.7053270462,1497.58476501,W,0.555430291325,3,2,1,0,1.0,
1,2017/04/05,H,-111,TOR,3,1,1.10685943425,bundd0,50.4966571246,1498.91821549,W,0.491732755018,6,3,2,0,1.0,0.67565872963
2,2017/04/07,H,-104,NYY,6,5,3.24981121996,jimeu001,51.2164290296,1500.73372663,W,0.573636284307,12,8,3,0,1.0,0.778094505229
3,2017/04/08,H,-116,NYY,5,4,19.9112108612,gausk001,54.578432499,1501.84519873,W,0.529026820462,17,12,4,0,1.0,0.67565872963
4,2017/04/09,H,-114,NYY,7,3,-5.9952470985,milew001,48.9418875843,1503.11038472,L,0.507649882554,24,15,4,1,0.8,0.652588117019
5,2017/04/11,A,111,BOS,8,1,9.11487025156,bundd0,52.2397884345,1500.49864067,L,0.447433366403,32,16,4,2,0.666666666667,0.700715340425
6,2017/04/12,A,127,BOS,12,5,-0.349978320212,jimeu001,50.2669806817,1497.42872203,W,0.422255816518,44,21,5,2,0.714285714286,0.778094505229
7,2017/04/13,A,109,TOR,2,1,16.8827276843,gausk001,53.7439481923,1501.6619477,W,0.506651590207,46,22,6,2,0.75,0.792292141791
8,2017/04/14,A,124,TOR,6,4,-3.88993218673,milew001,49.4205781342,1503.00377929,W,0.42869429153,52,26,7,2,0.777777777778,0.791675411205
9,2017/04/15,A,123,TOR,2,1,-2.62251863484,ashea001,49.7748768711,1505.10778361,L,0.440576375541,54,27,7,3,0.7,0.778094505229
10,2017/04/16,A,-103,TOR,11,4,8.71473275777,bundd0,52.3747664013,1503.94717954,W,0.459824446889,65,31,8,3,0.727272727273,0.778094505229
11,2017/04/18,A,-153,CIN,9,3,15.7747326548,gausk001,54.0460687466,1507.88756298,L,0.536411454008,74,34,8,4,0.666666666667,0.792510351924
12,2017/04/19,A,-102,CIN,2,0,-4.55631064137,jimeu001,49.3228754464,1504.28863046,W,0.484174623098,76,34,9,4,0.692307692308,0.803394275085
13,2017/04/20,A,-116,CIN,2,1,-2.97041567558,milew001,49.8851417866,1506.19663751,W,0.497032327567,78,35,10,4,0.714285714286,0.810907058206
14,2017/04/21,H,-105,BOS,2,0,11.4567800843,bundd0,53.260841243,1507.59721408,W,0.51618650823,80,35,11,4,0.733333333333,0.810069677601
15,2017/04/22,H,-108,BOS,4,2,-16.9984609774,aquij0,47.4,1509.30365939,W,0.499108592166,84,37,12,4,0.75,0.8170202243
16,2017/04/23,H,-107,BOS,6,2,4.1372739595,gausk001,51.8910554047,1511.08628171,L,0.518532681324,90,39,12,5,0.705882352941,0.815178555864
17,2017/04/24,H,113,TB,6,3,-1.36157305923,jimeu001,50.495556233,1508.40458999,W,0.507475830025,96,42,13,5,0.722222222222,0.819595433437
18,2017/04/25,H,-147,TB,2,0,3.74407549361,milew001,51.4471586399,1510.54942688,L,0.567046888014,98,42,13,6,0.684210526316,0.8170202243
19,2017/04/26,H,-148,TB,5,4,16.1520121981,bundd0,54.2002258987,1508.46987883,W,0.556680310212,103,46,14,6,0.7,0.822533759059
20,2017/04/28,A,100,NYY,14,11,-0.350847280112,gausk001,50.7193832477,1509.63994865,L,0.441395381032,117,57,14,7,0.666666666667,0.811382517299
21,2017/04/29,A,159,NYY,12,4,-3.74349559111,jimeu001,49.8365120738,1507.77986385,L,0.424817965466,129,61,14,8,0.636363636364,0.786106159571
22,2017/04/30,A,111,NYY,7,4,7.65027569532,milew001,51.9727316789,1504.63218213,W,0.471031025116,136,65,15,8,0.652173913043,0.795040190333
23,2017/05/01,A,124,BOS,5,2,18.480105288,bundd0,54.1793735992,1506.97245746,W,0.446993640409,141,67,16,8,0.666666666667,0.791874949623
24,2017/05/02,A,206,BOS,5,2,4.35238262456,ashea001,51.2617092534,1509.39557383,L,0.379353070281,146,69,16,9,0.64,0.793599711406
25,2017/05/03,A,131,BOS,4,2,-1.92236687932,gausk001,49.9179601269,1507.91027074,L,0.436779574777,150,71,16,10,0.615384615385,0.795205773185
26,2017/05/04,A,113,BOS,8,3,-19.1097454943,wilst004,46.2470262342,1506.45861204,W,0.440731413394,158,74,17,10,0.62962962963,0.794750073962
27,2017/05/05,H,-176,CHW,4,2,5.02831003153,milew001,51.4034600573,1509.76253219,W,0.554308795965,162,76,18,10,0.642857142857,0.797854609063
28,2017/05/06,H,-213,CHW,6,5,19.5660151286,bundd0,54.4239472007,1511.29829838,W,0.638663378005,168,81,19,10,0.655172413793,0.797367554572
29,2017/05/07,H,-116,CHW,4,0,8.35289777431,tillc001,52.0267203484,1512.18347065,W,0.547991667371,172,81,20,10,0.666666666667,0.78925187994
30,2017/05/08,H,-115,WAS,6,4,-2.27938878397,gausk001,49.86818671,1514.43700884,W,0.48106508166,178,85,21,10,0.677419354839,0.796248795932
31,2017/05/09,H,141,WAS,5,4,-10.0177405138,jimeu001,48.4364012372,1516.30011164,W,0.411149353436,183,89,22,10,0.6875,0.792132768964
32,2017/05/10,A,155,WAS,7,6,1.68716096465,milew001,50.9867593938,1517.97255329,L,0.388094691999,190,95,22,11,0.666666666667,0.786631318783
33,2017/05/12,A,-108,KC,3,2,16.5495107391,bundd0,54.1585120914,1516.96160843,L,0.556728924657,193,97,22,12,0.647058823529,0.778094505229
34,2017/05/13,A,116,KC,4,3,8.19157482169,tillc001,52.456134689,1515.40210776,L,0.552462904746,197,100,22,13,0.628571428571,0.776475206387
35,2017/05/14,A,-137,KC,9,8,1.80019783839,gausk001,50.9657972373,1513.85739686,L,0.588095833919,206,108,22,14,0.611111111111,0.773335269549
36,2017/05/16,A,103,DET,13,11,3.46358960404,milew001,51.0165639621,1512.18765068,W,0.508494019073,219,119,23,14,0.621621621622,0.762927742153
37,2017/05/17,A,131,DET,5,4,-5.78655324345,jimeu001,48.8427408784,1513.89221907,L,0.423444462439,224,123,23,15,0.605263157895,0.751010014248
38,2017/05/18,A,-126,DET,6,5,21.0552548205,bundd0,54.3619876435,1512.79085735,L,0.554101126691,230,128,23,16,0.589743589744,0.747443866136
39,2017/05/19,H,-122,TOR,5,3,9.62484277532,tillc001,51.716640234,1511.24047124,W,0.526628181327,235,131,24,16,0.6,0.742833610496
40,2017/05/20,H,-155,TOR,7,5,-1.37294764818,gausk001,49.4309141122,1512.90027857,W,0.591279653585,242,136,25,16,0.609756097561,0.742258921845
41,2017/05/21,H,-107,TOR,3,1,1.19956063924,milew001,49.9511793431,1514.26924083,L,0.512506379431,245,137,25,17,0.595238095238,0.739442304149
42,2017/05/22,H,-126,MIN,14,7,-8.45476536314,jimeu001,47.945418819,1512.43482308,L,0.597616637664,259,144,25,18,0.581395348837,0.741180232875
