,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-148,PIT,5,3,20.0606894675,porcr001,58.4772809868,1536.49464799,W,0.580688708386,5,3,1,0,1.0,
1,2017/04/05,H,-160,PIT,3,0,21.6688214232,salec001,58.871072938,1537.76178157,W,0.587070423089,8,3,2,0,1.0,0.715977316474
2,2017/04/07,A,111,DET,6,5,-10.3051380033,wrigs001,52.3184860314,1539.43019936,L,0.464425426947,14,8,2,1,0.666666666667,0.855115657802
3,2017/04/08,A,108,DET,4,1,-10.7719791825,rodre004,52.1301691132,1538.1874886,L,0.531202174211,18,9,2,2,0.5,0.733588194604
4,2017/04/09,A,103,DET,7,5,19.9879438332,porcr001,58.5220504766,1535.86699432,W,0.547173842906,25,14,3,2,0.6,0.778094505229
5,2017/04/10,A,-104,DET,2,1,26.9701264979,salec001,59.8924694819,1537.40219563,L,0.482644564779,27,15,3,3,0.5,0.740673395231
6,2017/04/11,H,-120,BAL,8,1,-11.0902033643,pomed001,51.9566211099,1536.09700482,W,0.552566633597,35,16,4,3,0.571428571429,0.743433964198
7,2017/04/12,H,-138,BAL,12,5,-11.6242032712,wrigs001,51.9831701201,1539.16692346,L,0.577744183482,47,21,4,4,0.5,0.804835388165
8,2017/04/13,H,-170,PIT,4,3,-11.3870715172,rodre004,51.4808490966,1534.93369779,W,0.586221601266,51,24,5,4,0.555555555556,0.811254389539
9,2017/04/14,H,-126,TB,10,5,18.1032566276,porcr001,57.7336539042,1536.00153895,L,0.571926715734,61,29,5,5,0.5,0.796462042546
10,2017/04/15,H,-210,TB,2,1,34.4879612104,salec001,60.4160240019,1532.60447918,W,0.601771587554,63,30,6,5,0.545454545455,0.793454626447
11,2017/04/16,H,-173,TB,7,5,-2.53692414854,pomed001,52.775432055,1533.6182678,W,0.563266793897,70,35,7,5,0.583333333333,0.792967523401
12,2017/04/17,H,-129,TB,4,3,-18.0693790433,wrigs001,49.3429589163,1535.06972386,W,0.554535096988,74,38,8,5,0.615384615385,0.778094505229
13,2017/04/18,A,166,TOR,8,7,-29.0284410868,johnb004,46.9807747578,1536.24719174,W,0.459681406241,82,45,9,5,0.642857142857,0.769648385767
