,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-115,PHI,4,3,0.534947851042,felds001,49.24388909,1466.2563289,L,0.533360383886,4,3,0,1,0.0,
1,2017/04/05,H,-103,PHI,2,0,7.01885392309,finnb001,50.5109963489,1464.7496826,W,0.528954263378,6,3,1,1,0.5,0.627312499169
2,2017/04/06,H,-130,PHI,7,4,-9.1767629994,davir0,47.4,1466.45152123,W,0.525937237718,13,7,2,1,0.666666666667,0.778094505229
3,2017/04/07,A,153,STL,2,0,-8.23093286043,garra0,47.4,1468.54354998,W,0.413305353003,15,7,3,1,0.75,0.754074211123
4,2017/04/08,A,182,STL,10,4,1.50865733219,arrob001,49.656731338,1470.74748264,L,0.443505977805,25,11,3,2,0.6,0.7989064278
5,2017/04/09,A,165,STL,8,0,-1.78905006783,felds001,48.6759620333,1467.9375719,W,0.376380542901,33,11,4,2,0.666666666667,0.815473343161
6,2017/04/10,A,126,PIT,7,1,13.477823393,finnb001,52.1107256502,1473.09032567,W,0.457828397354,40,12,5,2,0.714285714286,0.879583109082
7,2017/04/11,A,165,PIT,6,2,-15.2501868216,davir0,45.8857047713,1476.75931723,W,0.374879746337,46,14,6,2,0.75,0.898365209575
8,2017/04/12,A,138,PIT,9,2,-0.360973365445,garra0,49.083256072,1480.24360337,W,0.427097369287,55,16,7,2,0.777777777778,0.895962501183
9,2017/04/13,H,102,MIL,5,1,-4.86257288056,arrob001,48.24503463,1484.55104576,L,0.564177160921,60,17,7,3,0.7,0.903338964346
10,2017/04/14,H,-106,MIL,10,4,2.15874191718,felds001,49.6274578201,1481.51741854,L,0.576221304491,70,21,7,4,0.636363636364,0.907429680106
11,2017/04/15,H,-110,MIL,7,5,10.5747664098,finnb001,51.4039531499,1477.58428684,W,0.544539303939,77,26,8,4,0.666666666667,0.898365209575
12,2017/04/16,H,-112,MIL,4,2,-7.709163627,romas0,47.4,1479.21412125,L,0.523109027131,81,28,8,5,0.615384615385,0.877087396561
13,2017/04/18,H,141,BAL,9,3,-5.26125475648,arrob001,47.7393962517,1477.27256409,W,0.463588545992,90,31,9,5,0.642857142857,0.872435077061
14,2017/04/19,H,-106,BAL,2,0,5.86109562164,garra0,50.0860370497,1480.87149661,L,0.515825376902,92,31,9,6,0.6,0.873154052269
15,2017/04/20,H,107,BAL,2,1,2.32490650986,felds001,49.5337515846,1478.96348956,L,0.502967672433,94,32,9,7,0.5625,0.877495115291
16,2017/04/21,H,156,CHC,6,5,3.0782925556,adlet0,49.8810234074,1477.56291298,L,0.366281507174,100,37,9,8,0.529411764706,0.875488242377
17,2017/04/22,H,165,CHC,12,8,-33.2725994974,reedc0,42.2160719756,1476.64353178,L,0.33906041061,112,45,9,9,0.5,0.858099824185
18,2017/04/23,H,160,CHC,7,5,-5.813255403,arrob001,47.6962834007,1475.0982869,W,0.39298000114,119,50,10,9,0.526315789474,0.838948326809
19,2017/04/24,A,-104,MIL,11,7,11.9451043415,garra0,51.6495768898,1477.43587957,L,0.505735046835,130,57,10,10,0.5,0.827705455773
20,2017/04/25,A,115,MIL,9,1,8.75855533054,felds001,50.4439031337,1474.77681109,L,0.471304654162,139,58,10,11,0.47619047619,0.816425421324
21,2017/04/26,A,108,MIL,9,4,-9.94321797156,davir0,46.4030443549,1471.12452566,L,0.438862795894,148,62,10,12,0.454545454545,0.82948701027
22,2017/04/28,A,137,STL,7,5,10.3678169745,adlet0,50.3291045592,1468.60918145,L,0.422983691048,155,67,10,13,0.434782608696,0.82847263335
23,2017/04/30,A,154,STL,5,4,3.36491130285,arrob001,48.63272192,1467.15322091,W,0.408079349703,160,71,11,13,0.458333333333,0.820259383666
24,2017/05/01,H,104,PIT,4,3,-3.49648426101,garra0,47.0404125531,1468.83665158,W,0.478681710547,164,74,12,13,0.48,0.813150697342
25,2017/05/02,H,-145,PIT,12,3,10.0596003919,felds001,50.0419366319,1470.30121484,L,0.557328786039,176,77,12,14,0.461538461538,0.808516650439
26,2017/05/03,H,102,PIT,7,2,-20.7628281385,davir0,43.2840376066,1465.46529912,W,0.423499730182,183,79,13,14,0.481481481481,0.8170202243
27,2017/05/04,H,-110,PIT,4,2,4.68004255841,adlet0,48.8060252652,1469.00140299,W,0.470517332426,187,81,14,14,0.5,0.820607580493
28,2017/05/05,H,-119,SF,13,3,0.0150907028612,arrob001,47.9347351394,1470.97235455,W,0.532155427803,200,84,15,14,0.51724137931,0.819705518055
29,2017/05/06,H,-137,SF,14,2,0.630166337887,garra0,48.0794965252,1475.12374554,W,0.522011287756,214,86,16,14,0.533333333333,0.827808700937
30,2017/05/07,H,111,SF,4,0,4.49271267042,felds001,48.9352420656,1479.91700943,W,0.49352133259,218,86,17,14,0.548387096774,0.838897535083
31,2017/05/08,H,115,NYY,10,4,-17.6726335678,davir0,44.5572638115,1482.57049557,L,0.409071325121,228,90,17,15,0.53125,0.843376343612
32,2017/05/09,H,-102,NYY,5,3,6.14245824809,adlet0,49.5016207954,1480.02959833,W,0.470449019344,233,93,18,15,0.545454545455,0.8432300122
33,2017/05/11,A,-101,SF,3,2,-0.754719136072,arrob001,48.0040457471,1482.00086517,W,0.490474097421,236,95,19,15,0.558823529412,0.84055649643
34,2017/05/12,A,141,SF,3,2,11.5137704429,felds001,50.5777115518,1483.4449634,L,0.448132487568,239,97,19,16,0.542857142857,0.83848767047
35,2017/05/13,A,104,SF,3,1,-3.51309445921,bonil0,47.4,1482.21844869,L,0.466129654558,242,98,19,17,0.527777777778,0.836466985388
36,2017/05/14,A,135,SF,8,3,5.05638815681,adlet0,49.2477410389,1480.52288992,L,0.460037691024,250,101,19,18,0.513513513514,0.837015317657
37,2017/05/16,A,174,CHC,9,5,-0.525832700422,arrob001,47.8288190391,1477.84426742,L,0.352715482073,259,106,19,19,0.5,0.837599713531
38,2017/05/17,A,172,CHC,7,5,13.2662373369,felds001,50.5526933648,1476.2085159,L,0.339689325939,266,111,19,20,0.487179487179,0.834385680203
39,2017/05/18,A,190,CHC,9,5,3.96073576883,garra0,48.3510497951,1475.12001982,L,0.329802803878,275,116,19,21,0.475,0.829470416743
40,2017/05/19,H,-103,COL,12,6,1.76221857396,bonil0,47.6660127861,1473.63672074,L,0.481298271328,287,122,19,22,0.463414634146,0.826691370184
41,2017/05/20,H,-117,COL,12,8,3.68770653052,adlet0,47.9034426662,1470.49391941,W,0.490298658539,299,130,20,22,0.47619047619,0.824680312705
42,2017/05/21,H,-111,COL,6,4,-0.887741058357,arrob001,46.7813696993,1473.16850284,L,0.502249678152,305,134,20,23,0.46511627907,0.818700135649
43,2017/05/22,H,113,CLE,5,1,12.2592886924,felds001,49.3028150848,1471.32296682,W,0.46760392837,310,135,21,23,0.477272727273,0.815879205542
44,2017/05/23,H,156,CLE,8,7,-1.86556658463,garra0,46.4702623752,1474.14634852,L,0.39005216877,318,142,21,24,0.466666666667,0.818266761656
45,2017/05/24,A,174,CLE,4,3,-1.79736252186,bonil0,46.1993643715,1473.14251515,W,0.382131920603,322,145,22,24,0.478260869565,0.811420390101
46,2017/05/26,A,122,PHI,5,2,2.61114653715,adlet0,47.0801812766,1474.92083654,W,0.49899741592,327,147,23,24,0.489361702128,0.809081068326
47,2017/05/27,A,111,PHI,4,3,-6.65250237755,arrob001,45.4118388179,1477.1663639,L,0.479088053874,331,150,23,25,0.479166666667,0.809558646574
