,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,-125,MIL,7,5,12.4338070891,grayj003,53.8126235923,1479.61037984,W,0.441454626161,7,5,1,0,1.0,
1,2017/04/04,A,-104,MIL,6,5,28.9212984581,andet0,57.2044890964,1481.74999683,W,0.505356179828,13,10,2,0,1.0,0.647716020099
2,2017/04/05,A,-124,MIL,6,1,5.8922302348,chatt001,52.2158041937,1483.13486149,L,0.495966880446,19,11,2,1,0.666666666667,0.616537973579
3,2017/04/06,A,-104,MIL,2,1,-16.3106694583,senza0,47.4,1480.19233337,W,0.450509297702,21,12,3,1,0.75,0.728938593779
4,2017/04/07,H,136,LAD,2,1,-16.944711428,freek0,47.4,1481.77075643,W,0.426908863015,23,13,4,1,0.8,0.733588194604
5,2017/04/08,H,186,LAD,4,2,8.81081321839,grayj003,53.0997921342,1483.38738163,W,0.372494745392,27,15,5,1,0.833333333333,0.737436339012
6,2017/04/09,H,110,LAD,10,6,24.2149397972,andet0,56.4523999432,1485.55604028,L,0.494033575441,37,21,5,2,0.714285714286,0.743433964198
7,2017/04/10,H,-178,SD,5,3,2.23281283019,chatt001,51.6942059813,1483.15541977,L,0.599571311971,42,24,5,3,0.625,0.735979557551
8,2017/04/11,H,-176,SD,3,2,-10.9472533585,senza0,48.8133841565,1481.11069638,W,0.562408572824,45,26,6,3,0.666666666667,0.733588194604
9,2017/04/12,H,-159,SD,6,0,-8.31758415947,freek0,49.5328820901,1482.26099445,L,0.569624615874,51,26,6,4,0.6,0.729661208489
10,2017/04/13,A,155,SF,3,1,10.6327867732,grayj003,53.3817304227,1478.56820572,W,0.375344863583,54,27,7,4,0.636363636364,0.771966685557
11,2017/04/14,A,129,SF,8,2,21.8681888376,andet0,55.7890658452,1481.01788513,L,0.412281780917,62,29,7,5,0.583333333333,0.778094505229
12,2017/04/15,A,119,SF,5,0,1.64652144732,chatt001,51.2876905388,1478.43916487,W,0.403180596849,67,29,8,5,0.615384615385,0.798236352572
13,2017/04/16,A,120,SF,4,3,-4.30964872687,senza0,50.340766466,1482.15076447,W,0.421176619,71,32,9,5,0.642857142857,0.819902666708
14,2017/04/18,A,155,LAD,4,3,-14.794505183,freek0,48.1541446293,1483.84255665,W,0.372341720337,75,35,10,5,0.666666666667,0.808836636207
15,2017/04/19,A,217,LAD,4,2,16.8805569446,andet0,54.5619611234,1485.81980932,L,0.324869795165,79,37,10,6,0.625,0.7989064278
16,2017/04/21,H,114,SF,6,5,9.36086450357,chatt001,52.8719052386,1484.75234213,W,0.470481680106,85,42,11,6,0.647058823529,0.797854609063
17,2017/04/22,H,101,SF,12,3,-0.239602146959,senza0,50.7855010594,1486.21800349,W,0.495975967797,97,45,12,6,0.666666666667,0.781770978935
18,2017/04/23,H,-110,SF,8,0,-25.402764375,freek0,45.6534716622,1490.3445541,W,0.479512066052,105,45,13,6,0.684210526316,0.800619024465
19,2017/04/24,H,-154,WAS,8,4,12.4366534979,andet0,53.9317741159,1494.32079249,W,0.572544540661,113,49,14,6,0.7,0.822533759059
20,2017/04/25,H,107,WAS,15,12,-16.4986392332,marqg0,47.822278402,1496.31256724,L,0.460158875824,128,61,14,7,0.666666666667,0.819413242405
21,2017/04/26,H,-113,WAS,11,4,6.86122060175,chatt001,52.5535630722,1494.46673887,L,0.466065054544,139,65,14,8,0.636363636364,0.792735371255
22,2017/04/27,H,108,WAS,16,5,7.91520006284,senza0,52.6383735465,1491.29446834,L,0.472774690937,155,70,14,9,0.608695652174,0.798308668823
23,2017/04/28,A,151,ARI,3,1,-13.7428501331,freek0,47.998562625,1486.94798064,W,0.414913779863,158,71,15,9,0.625,0.808272331465
24,2017/04/29,A,127,ARI,7,6,14.3265751978,andet0,54.0342170316,1489.10187736,W,0.439213062439,165,77,16,9,0.64,0.809666776543
25,2017/04/30,A,110,ARI,2,0,-21.4760685549,marqg0,46.1239885211,1490.67548252,L,0.453082008616,167,77,16,10,0.615384615385,0.7989064278
26,2017/05/02,A,101,SD,6,2,4.28843643223,chatt001,51.7833689897,1489.11271629,L,0.532736401975,173,79,16,11,0.592592592593,0.802387083153
27,2017/05/03,A,-113,SD,11,3,7.43009853018,senza0,52.2337403265,1486.2016592,W,0.528511678357,184,82,17,11,0.607142857143,0.805143506416
28,2017/05/04,A,112,SD,3,2,-8.44944300805,freek0,48.7708656065,1489.90944219,W,0.51084178226,187,84,18,11,0.620689655172,0.811971528975
29,2017/05/05,H,-107,ARI,6,3,-12.5785070007,marqg0,47.9845273527,1491.36160198,L,0.477210633616,193,87,18,12,0.6,0.809771817734
30,2017/05/06,H,-128,ARI,9,1,8.52482165065,andet0,52.4185829904,1489.42781136,W,0.55067669213,202,88,19,12,0.612903225806,0.808791321319
31,2017/05/07,H,-114,ARI,5,2,-0.903087866474,chatt001,50.6474102884,1492.72798663,W,0.517419994425,207,90,20,12,0.625,0.818168057642
32,2017/05/09,H,134,CHC,10,4,1.38798545226,senza0,51.3999271509,1494.68942747,W,0.429788450841,217,94,21,12,0.636363636364,0.818700135649
33,2017/05/09,H,130,CHC,8,1,-7.23256133943,freek0,49.6888950917,1498.38695019,L,0.442974166223,225,95,21,13,0.617647058824,0.819690299408
34,2017/05/10,H,115,CHC,3,0,-16.6245323104,marqg0,47.7407647922,1495.41661097,W,0.386489147418,228,95,22,13,0.628571428571,0.826442954175
35,2017/05/11,H,119,LAD,10,7,-29.9227351383,hoffj0,45.3003549153,1498.06513737,W,0.44078248875,238,102,23,13,0.638888888889,0.829854780095
36,2017/05/12,H,182,LAD,6,2,1.15744898637,chatt001,51.9822898772,1500.42214643,L,0.386787079767,244,104,23,14,0.621621621622,0.822533759059
37,2017/05/13,H,115,LAD,4,0,8.5667654903,andet0,53.5017208641,1498.6827507,L,0.466958904715,248,104,23,15,0.605263157895,0.823976856666
38,2017/05/14,H,114,LAD,9,6,2.90689013506,senza0,52.4013744189,1496.44780485,W,0.459043226808,257,110,24,15,0.615384615385,0.828204957365
39,2017/05/16,A,106,MIN,7,3,-6.85827157291,freek0,50.2351436315,1498.70987408,W,0.490893837633,264,113,25,15,0.625,0.822876405596
40,2017/05/18,A,121,MIN,5,1,-1.70495325977,marqg0,51.277150838,1501.30778929,W,0.429296687437,269,114,26,15,0.634146341463,0.822867321238
41,2017/05/18,A,134,MIN,2,0,-0.0741430950308,chatt001,51.6848799245,1504.30123987,L,0.537516517224,271,114,26,16,0.619047619048,0.825477510353
42,2017/05/19,A,-105,CIN,12,6,10.6686104855,andet0,53.92999683,1502.38407712,W,0.518701728672,283,120,27,16,0.627906976744,0.827400628191
43,2017/05/20,A,108,CIN,12,8,-0.603223883145,senza0,51.6120270888,1505.52687846,L,0.509701341461,295,128,27,17,0.613636363636,0.825332018724
44,2017/05/21,A,103,CIN,6,4,-8.13478028871,freek0,49.9030483715,1502.85229503,W,0.497750321848,301,132,28,17,0.622222222222,0.819246474311
45,2017/05/22,A,-100,PHI,8,1,-24.1195834891,hoffj0,46.4069817729,1504.69783105,W,0.481675377117,309,133,29,17,0.630434782609,0.816377986963
46,2017/05/23,A,-136,PHI,8,2,0.214397524207,marqg0,51.8136155087,1508.48414079,W,0.55815123047,317,135,30,17,0.63829787234,0.821393289167
47,2017/05/24,A,-123,PHI,7,2,-1.47872681796,chatt001,51.4827919522,1511.30093134,W,0.529547212733,324,137,31,17,0.645833333333,0.824199801218
48,2017/05/25,A,-102,PHI,2,1,10.3269051703,andet0,54.217965426,1514.04589836,L,0.571472537826,326,138,31,18,0.632653061224,0.826063346379
49,2017/05/26,H,104,STL,10,0,-6.41258852994,senza0,50.735056651,1512.40143125,W,0.494383881348,336,138,32,18,0.64,0.82577216834
50,2017/05/27,H,-103,STL,3,0,-14.8006130486,freek0,49.2552433894,1516.84247203,L,0.545630103606,339,138,32,19,0.627450980392,0.833500504683
51,2017/05/28,H,-126,STL,8,4,-1.59204291063,marqg0,52.0549446781,1514.55618673,W,0.531080118877,347,142,33,19,0.634615384615,0.835721329609
