,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,-105,OAK,8,4,2,6.19226791692,nolar001,52.256072423,1502.55647697,0,0.488412908263,4,2,0,1,0.0,
1,2017/04/04,A,-116,OAK,7.5,7,6,18.9352896442,shoem001,54.8479105249,1500.80234707,1,0.481047979556,11,8,1,1,0.5,0.778094505229
2,2017/04/05,A,-113,OAK,8,5,0,8.66108480442,richg002,52.5847183024,1502.24674296,1,0.498279218438,16,8,2,1,0.666666666667,0.640238915069
3,2017/04/06,A,105,OAK,8,5,1,-4.90127597464,skagt001,49.8089164095,1505.21410142,0,0.482300524191,21,9,2,2,0.5,0.778094505229
4,2017/04/07,H,-128,SEA,8.5,5,1,-16.4032359855,chavj001,47.2391517017,1502.72721576,1,0.493569857487,26,10,3,2,0.6,0.822533759059
5,2017/04/08,H,115,SEA,8,5,4,3.3579281388,nolar001,51.592981649,1505.37682916,1,0.511878006998,31,14,4,2,0.666666666667,0.849345346234
6,2017/04/09,H,-123,SEA,8.5,10,9,15.6070511517,shoem001,54.2605153097,1506.72120716,1,0.53243058456,41,23,5,2,0.714285714286,0.808272331465
7,2017/04/11,H,-116,TEX,8,6,5,-6.89389659519,skagt001,49.2483617754,1507.99405865,1,0.509936984908,47,28,6,2,0.75,0.740067787315
8,2017/04/12,H,-141,TEX,8.5,8,3,-11.0344488522,chavj001,48.1602889228,1509.34518279,0,0.544531961765,55,31,6,3,0.666666666667,0.718589740694
9,2017/04/13,H,112,TEX,8,8,3,7.27916814957,nolar001,51.863945384,1506.05446391,0,0.495127154739,63,34,6,4,0.6,0.738416836249
10,2017/04/14,A,118,KC,9,7,1,-13.0471820479,ramij0,47.4,1503.13110874,0,0.469895342234,70,35,6,5,0.545454545455,0.753313152326
11,2017/04/15,A,-120,KC,9,3,2,13.639237074,shoem001,52.9708936335,1500.15828289,0,0.532309587226,73,37,6,6,0.5,0.778094505229
12,2017/04/16,A,103,KC,8.5,1,0,-8.47304556563,skagt001,48.2861796646,1498.68303912,0,0.473676425593,74,37,6,7,0.461538461538,0.773813352683
13,2017/04/17,A,134,HOU,8,3,0,-14.1491642502,chavj001,47.3133877038,1497.40858142,0,0.397634546606,77,37,6,8,0.428571428571,0.778094505229
14,2017/04/18,A,134,HOU,8.5,5,2,3.24588605572,nolar001,51.0905573109,1495.76666146,1,0.411826458464,82,39,7,8,0.466666666667,0.790265478758
15,2017/04/19,A,156,HOU,8.5,5,1,-16.9689040833,ramij0,46.7391006666,1498.47693772,0,0.341170215612,87,40,7,9,0.4375,0.793329885233
16,2017/04/20,A,146,HOU,7.5,2,1,11.8723364118,shoem001,52.9259304579,1496.93053921,0,0.398032007096,89,41,7,10,0.411764705882,0.803200967148
17,2017/04/21,H,-140,TOR,8.5,8,7,-12.9980351933,meyea0,47.7291725586,1495.91743418,0,0.544342018617,97,48,7,11,0.388888888889,0.802638347168
18,2017/04/22,H,-150,TOR,9,5,4,-4.23319370558,skagt001,49.5507827757,1494.37737856,1,0.556557688957,102,52,8,11,0.421052631579,0.781316192952
19,2017/04/23,H,111,TOR,8,6,2,-21.3915475223,wrigd0,45.9573510768,1495.56593592,0,0.494588038956,108,54,8,12,0.4,0.771966685557
20,2017/04/24,H,-127,TOR,7.5,2,1,-12.9754034819,chavj001,47.8443860974,1492.99373611,1,0.517286169999,110,55,9,12,0.428571428571,0.778094505229
21,2017/04/25,H,-128,OAK,8.5,2,1,-15.0136713126,ramij0,47.4599314554,1494.31931123,1,0.540192173865,112,56,10,12,0.454545454545,0.778094505229
22,2017/04/26,H,-137,OAK,8,8,5,11.1460371976,shoem001,53.2736816431,1495.56509016,1,0.53900523677,120,61,11,12,0.478260869565,0.778094505229
23,2017/04/27,H,-115,OAK,8.5,2,1,-0.38092338507,nolar001,50.8038392795,1497.58018848,1,0.542922292149,122,62,12,12,0.5,0.772885805859
24,2017/04/28,A,-121,TEX,9.5,6,3,-5.19717026491,skagt001,49.8822261472,1498.81643513,1,0.482243636993,128,65,13,12,0.52,0.772971190394
25,2017/04/29,A,141,TEX,8.5,6,3,-13.7570114928,chavj001,48.2285191272,1501.00923552,0,0.392161202738,134,68,13,13,0.5,0.773211335833
26,2017/04/30,A,-117,TEX,9,5,2,-6.0780380585,ramij0,49.7915876352,1499.48209004,1,0.458813789367,139,70,14,13,0.518518518519,0.773429977449
27,2017/05/02,A,124,SEA,7,6,4,8.8539694135,shoem001,53.0686189853,1501.79861882,1,0.407791408993,145,74,15,13,0.535714285714,0.775846121669
28,2017/05/03,A,106,SEA,8,8,7,0.874223454425,nolar001,51.3234928877,1504.09177411,0,0.445439006409,153,81,15,14,0.51724137931,0.771628628182
29,2017/05/04,A,142,SEA,8.5,11,3,-15.7277561472,meyea0,47.5992202261,1502.87042479,0,0.419089697284,164,84,15,15,0.5,0.75971902035
30,2017/05/05,H,122,HOU,7.5,7,6,-12.6952683352,chavj001,48.0210921789,1499.73138229,0,0.395864829146,171,90,15,16,0.483870967742,0.770472272484
31,2017/05/06,H,107,HOU,7.5,2,1,-0.0578459801586,ramij0,50.732758298,1498.71030233,1,0.438918388469,173,91,16,16,0.5,0.761651558155
32,2017/05/07,H,108,HOU,8,5,3,9.33306035622,shoem001,52.7378887791,1500.30923492,0,0.498924054435,178,94,16,17,0.484848484848,0.761841494347
