,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-341,SD,14,3,49.9752937546,kersc001,65.1338533327,1556.1010139,W,0.663813048428,14,3,1,0,1.0,
1,2017/04/04,H,-223,SD,4,0,-14.2804223175,maedk0,51.5924736029,1558.20960449,L,0.673549995628,18,3,1,1,0.5,0.942035135167
2,2017/04/05,H,-245,SD,3,1,17.3230415509,hillr001,58.1636203535,1554.26966703,W,0.704270896646,21,4,2,1,0.666666666667,0.96242382229
3,2017/04/06,H,-249,SD,10,2,-18.9877180076,mccab001,50.4180752012,1555.19608331,W,0.650362528976,31,6,3,1,0.75,0.952637010068
4,2017/04/07,A,-147,COL,2,1,-17.7749986983,ryu-h001,50.6610333773,1557.66460736,L,0.573091136985,33,7,3,2,0.6,0.951313051837
5,2017/04/08,A,-203,COL,4,2,50.7490991333,kersc001,65.2524473799,1556.04798216,L,0.627505254608,37,9,3,3,0.5,0.943030431646
6,2017/04/09,A,-119,COL,10,6,-15.9622502172,maedk0,50.9794204995,1553.87932351,W,0.505966424559,47,15,4,3,0.571428571429,0.928161482206
7,2017/04/10,A,140,CHC,3,2,-13.8402238147,wooda002,51.4182751508,1556.27994402,L,0.380141140554,50,17,4,4,0.5,0.887673710274
8,2017/04/12,A,115,CHC,2,0,-17.5293223431,mccab001,50.5447361568,1555.31198901,W,0.413593087035,52,17,5,4,0.555555555556,0.875734818849
9,2017/04/13,A,111,CHC,4,0,-16.2062605708,ryu-h001,50.9092227044,1557.54841526,L,0.494915400915,56,17,5,5,0.5,0.883256350791
10,2017/04/14,H,-240,ARI,7,1,47.6288455571,kersc001,64.3169495305,1554.97135685,W,0.646605500264,63,18,6,5,0.545454545455,0.896392662846
11,2017/04/15,H,-174,ARI,8,4,-15.5601062248,maedk0,51.086030032,1557.08555115,W,0.630424433804,71,22,7,5,0.583333333333,0.906149479605
12,2017/04/16,H,-190,ARI,3,1,17.0570073047,hillr001,57.8800745314,1558.88382487,L,0.650343227433,74,23,7,6,0.538461538462,0.892895421341
