,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,183,WAS,4,2,-11.8675059931,volqe001,45.2877056,1499.58141828,L,0.401739281086,4,2,0,1,0.0,
1,2017/04/05,A,146,WAS,6,4,17.4714960178,strad003,51.7129400797,1498.37054922,L,0.423753516512,10,6,0,2,0.0,0.778094505229
2,2017/04/06,A,151,WAS,4,3,-5.16890688384,koeht001,46.5705338443,1496.87384889,W,0.416529690656,14,9,1,2,0.333333333333,0.715977316474
3,2017/04/07,A,-113,NYM,7,2,6.33049200529,chenw001,49.0737908036,1498.58195756,W,0.453915549615,21,11,2,2,0.5,0.689914001678
4,2017/04/08,A,108,NYM,8,1,9.10668341668,conla001,49.7607506681,1501.89562233,W,0.465155776735,29,12,3,2,0.6,0.763216436866
5,2017/04/09,A,167,NYM,5,2,-7.49154959896,volqe001,46.3284237953,1505.83707613,L,0.398895627062,34,14,3,3,0.5,0.831616098828
6,2017/04/11,H,-131,ATL,8,4,9.70706145445,strad003,49.9005769254,1504.16511583,W,0.58779370837,42,18,4,3,0.571428571429,0.83285791286
7,2017/04/12,H,-108,ATL,5,4,-4.37520856325,koeht001,46.9084039382,1506.21507085,L,0.601070199885,47,22,4,4,0.5,0.822533759059
8,2017/04/13,H,-129,NYM,9,8,8.07949732681,chenw001,49.487849348,1504.43019365,L,0.539046616585,56,30,4,5,0.444444444444,0.798022472766
9,2017/04/14,H,143,NYM,3,2,-7.22367359821,volqe001,45.9724920445,1502.87205368,W,0.445168941591,59,32,5,5,0.5,0.755787093077
10,2017/04/15,H,111,NYM,5,4,12.6408592011,conla001,50.1599313908,1504.48687857,W,0.503058429125,64,36,6,5,0.545454545455,0.751636753663
11,2017/04/16,H,-102,NYM,4,2,10.741207966,strad003,49.8175836949,1505.89498722,W,0.528090087872,68,38,7,5,0.583333333333,0.739121801797
12,2017/04/17,A,121,SEA,6,1,-5.17320361739,koeht001,46.6024886422,1507.62457568,L,0.443636111656,74,39,7,6,0.538461538462,0.741403867649
13,2017/04/18,A,-110,SEA,5,0,2.89646394243,chenw001,48.1050798,1505.06597385,W,0.463904023235,79,39,8,6,0.571428571429,0.761207540891
