,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,115,COL,7,5,33.3367024613,guerj0,56.8308634891,1475.57643919,L,0.558545373839,7,5,0,1,0.0,
1,2017/04/04,H,-104,COL,6,5,9.5124757634,daviz001,51.7869379168,1473.4368222,L,0.494643820172,13,10,0,2,0.0,0.647716020099
2,2017/04/05,H,115,COL,6,1,-4.22230651279,peraw001,48.599250391,1472.05195753,W,0.504033119554,19,11,1,2,0.333333333333,0.616537973579
3,2017/04/06,H,-104,COL,2,1,-0.610185800639,andec001,49.5381524658,1474.99448565,L,0.549490702298,21,12,1,3,0.25,0.728938593779
4,2017/04/07,H,165,CHC,2,1,-19.7784188891,nelsj004,45.5717597602,1473.4160626,W,0.445567241554,23,13,2,3,0.4,0.733588194604
5,2017/04/08,H,215,CHC,11,6,-20.7621535474,milot001,45.4962329891,1475.01208456,L,0.338084011641,34,19,2,4,0.333333333333,0.737436339012
6,2017/04/09,H,156,CHC,7,4,2.79210231243,daviz001,50.3587742438,1473.26029469,L,0.376561705288,41,23,2,5,0.285714285714,0.741403867649
7,2017/04/11,A,142,TOR,4,3,-0.742768300855,peraw001,49.4959973107,1471.71413127,W,0.387085915023,45,26,3,5,0.375,0.740067787315
8,2017/04/12,A,199,TOR,2,0,1.90858948619,andec001,50.104417604,1473.47401512,W,0.411210231103,47,26,4,5,0.444444444444,0.729661208489
9,2017/04/13,A,-110,CIN,5,1,-16.4786751278,nelsj004,46.4510608488,1475.65885289,W,0.435822839079,52,27,5,5,0.5,0.744903433574
10,2017/04/14,A,-102,CIN,10,4,-24.3963962629,milot001,44.9720942365,1478.69248011,W,0.423778695509,62,31,6,5,0.545454545455,0.766076232591
11,2017/04/15,A,102,CIN,7,5,-1.49788910588,daviz001,49.7756870147,1482.62561181,L,0.455460696061,69,36,6,6,0.5,0.778094505229
12,2017/04/16,A,104,CIN,4,2,-1.56006491668,peraw001,49.7254071772,1480.99577739,W,0.476890972869,73,38,7,6,0.538461538462,0.764509430856
13,2017/04/17,A,178,CHC,6,3,6.07368226923,andec001,51.3782494865,1482.93733455,W,0.354324672572,79,41,8,6,0.571428571429,0.765253445459
14,2017/04/18,A,165,CHC,9,7,-11.4007922128,nelsj004,47.6546404328,1486.02830146,L,0.407783099129,88,48,8,7,0.533333333333,0.766228300574
15,2017/04/19,A,183,CHC,7,4,-23.2201181067,milot001,44.8894802608,1484.6208685,L,0.300829134331,95,52,8,8,0.5,0.749717427842
16,2017/04/20,H,118,STL,7,5,-1.6111500207,daviz001,49.6063672972,1483.51352122,W,0.484582111403,102,57,9,8,0.529411764706,0.748525945081
17,2017/04/21,H,-103,STL,6,3,0.237283431516,peraw001,49.8852075142,1485.43209123,L,0.539700471686,108,60,9,9,0.5,0.741403867649
18,2017/04/22,H,-110,STL,4,1,8.14413983339,andec001,51.2854570472,1482.95921432,L,0.521636058756,112,61,9,10,0.473684210526,0.743433964198
19,2017/04/23,H,104,STL,6,4,-14.8135945404,nelsj004,46.5238755474,1480.58853859,L,0.479636977492,118,65,9,11,0.45,0.750222866395
20,2017/04/24,H,-104,CIN,11,7,-19.5735751151,garzm001,45.4221166698,1478.83572503,W,0.494264953165,129,72,10,11,0.47619047619,0.746361153458
21,2017/04/25,H,-124,CIN,9,1,-1.99792356067,daviz001,49.0512897099,1481.49479351,W,0.528695345838,138,73,11,11,0.5,0.741828650317
22,2017/04/26,H,-117,CIN,9,4,-5.26965190463,peraw001,48.4723815236,1485.14707894,W,0.561137204106,147,77,12,11,0.521739130435,0.759985055963
23,2017/04/28,H,-133,ATL,10,8,11.4472754235,andec001,51.8140314371,1487.66242315,L,0.576071281188,157,85,12,12,0.5,0.763216436866
24,2017/04/29,H,-114,ATL,11,3,-14.752556327,nelsj004,46.2364817128,1485.45989818,L,0.547258424388,168,88,12,13,0.48,0.752242096178
25,2017/04/30,H,-106,ATL,4,3,-19.1705044479,garzm001,45.0787097389,1481.05660275,W,0.50803266397,172,91,13,13,0.5,0.763216436866
26,2017/05/01,A,151,STL,7,5,1.9256155942,daviz001,49.6585653527,1482.43204664,W,0.444955752855,179,96,14,13,0.518518518519,0.759932466521
27,2017/05/02,A,175,STL,2,1,-7.92894541339,peraw001,47.4527259749,1484.4889049,L,0.410677872077,181,97,14,14,0.5,0.755413838145
28,2017/05/04,A,139,STL,5,4,11.6052448558,andec001,51.6766647263,1483.43182948,W,0.475663504671,186,101,15,14,0.51724137931,0.755664046117
29,2017/05/05,A,120,PIT,4,0,-17.9001612053,nelsj004,45.3045087413,1484.87971876,L,0.441797485496,190,101,15,15,0.5,0.751239391815
30,2017/05/06,A,149,PIT,2,1,-16.4420267051,garzm001,45.7392484489,1482.63200804,L,0.408344790485,192,102,15,16,0.483870967742,0.758366641557
31,2017/05/07,A,-101,PIT,6,2,-1.30321272671,daviz001,49.0924587317,1481.54110325,W,0.481279574226,198,104,16,16,0.5,0.758571891003
32,2017/05/09,H,114,BOS,11,7,-7.2539377892,peraw001,47.8757167369,1484.29791746,W,0.453892639155,209,111,17,16,0.515151515152,0.762315400366
33,2017/05/10,H,-116,BOS,7,4,8.27492597119,andec001,51.0811546019,1487.22310812,W,0.530479292849,216,115,18,16,0.529411764706,0.758665188899
