,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,101,KC,7,1,30.4894990009,sante001,54.9671563714,1475.68417159,W,0.559363022822,7,1,1,0,1.0,
1,2017/04/05,H,-105,KC,9,1,0.0744197162089,santh001,48.6689064568,1478.40903396,W,0.524071875231,16,2,2,0,1.0,0.971310009027
2,2017/04/06,H,-106,KC,5,3,-4.05983383166,gibsk002,47.8790316546,1482.04294074,W,0.557364315854,21,5,3,0,1.0,0.977330161545
3,2017/04/07,A,103,CHW,3,1,-5.30871645426,hughp001,47.5518477418,1483.542258,W,0.470019244022,24,6,4,0,1.0,0.930700703392
4,2017/04/08,A,108,CHW,6,2,-6.74002636727,mejia0,47.4,1485.45201023,L,0.452596949877,30,8,4,1,0.8,0.924783761496
5,2017/04/09,A,117,CHW,4,1,31.9092938561,sante001,55.5080177501,1483.19656208,W,0.490693322126,34,9,5,1,0.833333333333,0.916244243694
6,2017/04/11,A,132,DET,2,1,0.873072857789,santh001,49.116882819,1485.43100914,L,0.482012060847,36,10,5,2,0.714285714286,0.917263662596
7,2017/04/12,A,122,DET,5,3,-6.66805818734,gibsk002,47.6149003466,1484.12798469,L,0.384307159127,41,13,5,3,0.625,0.910396860813
8,2017/04/13,A,116,DET,11,5,-2.94984444666,hughp001,48.3717548601,1482.89595595,W,0.453862899234,52,18,6,3,0.666666666667,0.888845974187
9,2017/04/14,H,-155,CHW,2,1,-11.1474078974,mejia0,46.5591550814,1486.49516956,L,0.549520472501,54,19,6,4,0.6,0.872158309423
10,2017/04/15,H,-116,CHW,6,0,33.9331211903,sante001,56.2301389029,1484.96063939,W,0.558395403791,60,19,7,4,0.636363636364,0.868826955393
11,2017/04/16,H,-152,CHW,3,1,0.853360690244,santh001,49.620162283,1487.71894329,L,0.586967296275,63,20,7,5,0.583333333333,0.889075178127
12,2017/04/17,H,132,CLE,3,1,-10.1249327043,gibsk002,47.5145631706,1485.58019025,L,0.441193145489,66,21,7,6,0.538461538462,0.888627573326
13,2017/04/18,H,112,CLE,11,4,-7.13766202314,hughp001,48.0609494724,1484.08726399,L,0.469742757211,77,25,7,7,0.5,0.888220264553
14,2017/04/20,H,-100,CLE,6,2,40.6471540468,sante001,58.0104997269,1480.80091759,L,0.519608279483,83,27,7,8,0.466666666667,0.884537853671
15,2017/04/21,H,125,DET,6,3,5.93495396661,santh001,50.7621239418,1478.13609083,W,0.462043735411,89,30,8,8,0.5,0.884181369426
16,2017/04/22,H,-115,DET,5,4,-10.0107689753,mejia0,47.4183198902,1480.50364249,L,0.52350386386,94,34,8,9,0.470588235294,0.877424588548
17,2017/04/23,H,-110,DET,13,4,-10.409365321,gibsk002,47.1762591967,1479.05860708,L,0.448874936006,107,38,8,10,0.444444444444,0.863025682607
