,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-175,ATL,6,0,23.4212241751,syndn001,58.1883439688,1525.53709449,W,0.594849928472,6,0,1,0,1.0,
1,2017/04/05,H,-200,ATL,3,1,6.80246851639,degrj001,54.7936230454,1527.96969903,L,0.617433731879,9,1,1,1,0.5,1.0
2,2017/04/06,H,-148,ATL,6,2,-8.76545593621,harvm001,51.6495262926,1525.56935427,W,0.611850919261,15,3,2,1,0.666666666667,0.981602587235
3,2017/04/07,H,104,MIA,7,2,-16.272198778,wheez001,50.087033027,1527.44719956,L,0.546084450385,22,5,2,2,0.5,0.948489381408
4,2017/04/08,H,-117,MIA,8,1,-12.8796727922,gselr0,50.596506318,1524.13353479,L,0.534844223265,30,6,2,3,0.4,0.935938380644
5,2017/04/09,H,-182,MIA,5,2,25.3896903719,syndn001,58.6451046891,1520.19208099,W,0.601104372938,35,8,3,3,0.5,0.948489381408
6,2017/04/10,A,-142,PHI,4,3,10.2046371577,degrj001,55.5623943531,1521.86404129,W,0.53918480837,39,11,4,3,0.571428571429,0.935317224295
7,2017/04/11,A,-142,PHI,14,4,-6.960729356,harvm001,51.916206136,1523.11995262,W,0.541081660759,53,15,5,3,0.625,0.908116911501
8,2017/04/12,A,108,PHI,5,4,-19.831094769,wheez001,49.1984377821,1527.17135866,W,0.534919197059,58,19,6,3,0.666666666667,0.907598383566
9,2017/04/13,A,119,MIA,9,8,-16.0038193789,gselr0,50.043041616,1528.44222933,W,0.460953383415,67,27,7,3,0.7,0.882877627501
10,2017/04/14,A,-155,MIA,3,2,27.9023736098,syndn001,59.1157618498,1530.0003693,L,0.554831058409,70,29,7,4,0.636363636364,0.838218061534
11,2017/04/15,A,-120,MIA,5,4,10.6169526254,degrj001,55.4839215038,1528.38554441,L,0.496941570875,75,33,7,5,0.583333333333,0.83131432995
12,2017/04/16,A,-106,MIA,4,2,-5.88080716286,harvm001,52.093292778,1526.97743576,L,0.471909912128,79,35,7,6,0.538461538462,0.815473343161
13,2017/04/18,H,-190,PHI,6,2,-17.7452818869,wheez001,49.5608564811,1525.2478473,L,0.631458395371,85,37,7,7,0.5,0.813591913495
14,2017/04/19,H,-136,PHI,5,4,-24.6647716366,gselr0,48.0849393178,1521.7367857,W,0.588992802716,90,41,8,7,0.533333333333,0.81838403809
15,2017/04/20,H,-178,PHI,6,4,26.648320713,syndn001,59.048472086,1522.82221985,L,0.660648921765,96,45,8,8,0.5,0.805822383716
16,2017/04/21,H,-117,WAS,4,3,-6.00954316035,harvm001,52.1154546932,1520.19190469,L,0.492041485683,100,48,8,9,0.470588235294,0.797608045576
17,2017/04/22,H,-110,WAS,3,1,12.2436702038,degrj001,55.9686398556,1518.8201514,L,0.532798414336,103,49,8,10,0.444444444444,0.790589794298
18,2017/04/23,H,142,WAS,6,3,-16.6468418857,wheez001,49.7312095671,1516.82480731,L,0.41541137062,109,52,8,11,0.421052631579,0.793256007837
19,2017/04/26,H,-141,ATL,8,2,-20.6328036343,gselr0,48.9043708383,1515.05840157,L,0.548974179263,117,54,8,12,0.4,0.792422268226
20,2017/04/27,H,-160,ATL,7,5,-4.33017180163,harvm001,52.0269997262,1511.34749421,L,0.590163372007,124,59,8,13,0.380952380952,0.80210035905
21,2017/04/28,A,144,WAS,7,5,12.9350841644,degrj001,55.3858239315,1509.08165984,W,0.369792903775,131,64,9,13,0.409090909091,0.793207152808
22,2017/04/29,A,159,WAS,5,3,-12.6923253467,wheez001,50.0144948245,1511.55942693,W,0.362116590195,136,67,10,13,0.434782608696,0.785250201779
23,2017/04/30,A,-113,WAS,23,5,28.9674719014,syndn001,58.8423007242,1514.07758996,L,0.478952661872,159,72,10,14,0.416666666667,0.782689983531
24,2017/05/01,A,-100,ATL,7,5,-28.3724608374,gselr0,46.3867324993,1507.80604361,W,0.439365185674,166,77,11,14,0.44,0.807516170176
25,2017/05/02,A,-110,ATL,9,7,-8.17048994842,harvm001,50.4998928292,1509.89330038,L,0.506519518228,175,84,11,15,0.423076923077,0.800657702555
26,2017/05/03,A,-133,ATL,16,5,17.2650671324,degrj001,55.654772726,1508.05308584,W,0.537155679489,191,89,12,15,0.444444444444,0.790589794298
27,2017/05/05,H,-104,MIA,8,7,-34.6452269734,montr004,44.4024202069,1512.38883742,W,0.524176452496,199,96,13,15,0.464285714286,0.799341382908
28,2017/05/06,H,-150,MIA,11,3,-29.1114757395,gselr0,45.3470290771,1513.70362206,W,0.517481420942,210,99,14,15,0.48275862069,0.789083779826
29,2017/05/07,H,-122,MIA,7,0,-18.6704836456,wilka1,47.4,1517.46428666,L,0.550608465774,217,99,14,16,0.466666666667,0.795938045109
30,2017/05/08,H,-153,SF,4,3,16.149879586,degrj001,54.4330563376,1513.37850005,W,0.607000293262,221,102,15,16,0.483870967742,0.805408526408
31,2017/05/09,H,-115,SF,6,1,-4.76241778131,wheez001,49.9696158181,1514.39968772,W,0.560835384931,227,103,16,16,0.5,0.80210035905
32,2017/05/10,H,-130,SF,6,5,-24.8453788789,milot001,45.7326740547,1516.91482712,L,0.587946339782,233,108,16,17,0.484848484848,0.806948064744
33,2017/05/12,A,-121,MIL,7,4,-7.73967147446,harvm001,49.3021091412,1515.20268622,L,0.513061314869,240,112,16,18,0.470588235294,0.800867021086
34,2017/05/13,A,-108,MIL,11,4,-28.9570235813,gselr0,44.5272025648,1512.88039286,L,0.458284421783,251,116,16,19,0.457142857143,0.7989064278
35,2017/05/14,A,-145,MIL,11,9,17.5941288293,degrj001,54.1911713691,1509.63333803,L,0.528019992152,262,125,16,20,0.444444444444,0.801718780315
36,2017/05/15,A,100,ARI,7,3,-1.04118090861,wheez001,50.2004232514,1507.65631787,L,0.499052981108,269,128,16,21,0.432432432432,0.792400415163
37,2017/05/16,A,148,ARI,5,4,-22.7412407965,milot001,45.6466009602,1505.10578331,L,0.399626414756,274,132,16,22,0.421052631579,0.793188446105
38,2017/05/17,A,114,ARI,5,4,-10.7627527899,harvm001,48.0815643669,1504.08712947,L,0.48460958707,279,136,16,23,0.410256410256,0.789496046669
39,2017/05/19,H,-158,LAA,3,0,16.8255902931,degrj001,53.875056791,1502.77520933,W,0.559767636754,282,136,17,23,0.425,0.785933922805
40,2017/05/20,H,-129,LAA,7,5,0.201543047003,wheez001,50.5275582814,1504.68297249,W,0.561748416288,289,141,18,23,0.439024390244,0.789172797928
41,2017/05/21,H,-107,LAA,12,5,-24.0629796033,milot001,45.3202737398,1506.24012213,L,0.521720704443,301,146,18,24,0.428571428571,0.785662747291
42,2017/05/23,H,-141,SD,9,3,-9.85626899922,harvm001,47.8142227052,1502.41826146,W,0.607513109629,310,149,19,24,0.441860465116,0.78743643784
43,2017/05/24,H,-163,SD,6,5,-31.308143392,gselr0,43.2491952786,1504.8244925,L,0.600672633443,316,154,19,25,0.431818181818,0.79018701263
44,2017/05/25,H,-196,SD,4,3,-31.5632807453,montr004,43.1787912805,1503.06538084,L,0.581139466999,320,157,19,26,0.422222222222,0.78600478012
45,2017/05/26,A,-145,PIT,8,1,23.0773353009,degrj001,54.6437252466,1501.37805986,W,0.519081874647,328,158,20,26,0.434782608696,0.783953508406
46,2017/05/27,A,129,PIT,5,4,1.61484892486,wheez001,50.3023134668,1504.84135856,L,0.460799730653,333,162,20,27,0.425531914894,0.789523837405
47,2017/05/28,A,108,PIT,7,2,-9.4476990329,harvm001,47.9150824691,1503.56192291,W,0.508359561779,340,164,21,27,0.4375,0.786539063505
48,2017/05/29,H,-140,MIL,4,2,-29.9670308261,gselr0,43.5858193862,1506.48316983,W,0.524559911243,344,166,22,27,0.448979591837,0.789120696305
49,2017/05/30,H,-127,MIL,5,4,-12.5600314845,pillt0,47.4,1508.21315036,W,0.541401667895,349,170,23,27,0.46,0.788992560881
