,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/02,A,-114,TB,7,3,30.5720997089,tanam001,58.1246514997,1506.05604801,L,0.476596098306,7,3,0,1,0.0,
1,2017/04/04,A,-104,TB,5,0,11.2317460375,sabac001,53.5961061582,1503.61214418,W,0.456058550236,12,3,1,1,0.5,0.822533759059
2,2017/04/05,A,-127,TB,4,1,9.5613130081,pinem001,53.3204463039,1506.91864392,L,0.477064951171,16,4,1,2,0.333333333333,0.924783761496
3,2017/04/07,A,-104,BAL,6,5,-25.398105218,sevel001,45.7205056815,1504.79393521,L,0.426363715693,22,9,1,3,0.25,0.924783761496
4,2017/04/08,A,107,BAL,5,4,21.881340783,tanam001,55.7315340203,1503.68246311,L,0.470973179538,27,13,1,4,0.2,0.83449292967
5,2017/04/09,A,105,BAL,7,3,13.3817628314,sabac001,53.875376641,1502.41727712,W,0.492350117446,34,16,2,4,0.333333333333,0.789664847748
6,2017/04/10,H,-129,TB,8,1,6.5966168203,pinem001,52.4098975495,1505.02902117,W,0.531406780953,42,17,3,4,0.428571428571,0.796462042546
7,2017/04/12,H,-125,TB,8,4,-18.4228616067,montj0,47.4,1508.32010882,W,0.515062485154,50,21,4,4,0.5,0.837135292494
8,2017/04/13,H,-136,TB,3,2,-26.0551825642,sevel001,45.7485570046,1510.78221428,W,0.519920173984,53,23,5,4,0.555555555556,0.827808700937
9,2017/04/14,H,-128,STL,4,3,17.8602444967,tanam001,55.2600711061,1512.07861969,W,0.590888145658,57,26,6,4,0.6,0.819206965035
10,2017/04/15,H,111,STL,3,2,10.0535919016,sabac001,53.6238624419,1513.13025516,W,0.539765950303,60,28,7,4,0.636363636364,0.805458795899
11,2017/04/16,H,-136,STL,9,3,10.4474392658,pinem001,53.9066994391,1514.35856491,W,0.587355769839,69,31,8,4,0.666666666667,0.7989064278
12,2017/04/17,H,-164,CHW,7,4,-20.1018700146,montj0,47.4971054876,1516.89258507,W,0.559397276966,76,35,9,4,0.692307692308,0.809723712508
13,2017/04/18,H,-185,CHW,4,1,-22.8430317453,sevel001,46.864770879,1518.74829618,L,0.54560698196,80,36,9,5,0.642857142857,0.802730361852
14,2017/04/19,H,-231,CHW,9,1,15.5912481505,tanam001,55.1939747534,1516.31651156,W,0.622496757334,89,37,10,5,0.666666666667,0.809273880196
15,2017/04/21,A,-104,PIT,6,3,11.7605386706,sabac001,54.5121077648,1518.9959269,L,0.555893297937,95,40,10,6,0.625,0.830428956455
16,2017/04/22,A,-115,PIT,11,5,11.4083975091,pinem001,54.2468519025,1516.4164645,W,0.469822806307,106,45,11,6,0.647058823529,0.827161933787
17,2017/04/23,A,104,PIT,2,1,-20.1539891595,montj0,47.4442823858,1519.98518672,L,0.4575026615,108,46,11,7,0.611111111111,0.825024288531
18,2017/04/26,A,106,BOS,3,1,-18.26220622,sevel001,47.8662694228,1518.71753949,W,0.410262468104,111,47,12,7,0.631578947368,0.824163825615
19,2017/04/27,A,161,BOS,3,0,17.3153700864,tanam001,55.6939983195,1520.83730388,W,0.409935110877,114,47,13,7,0.65,0.82570416591
20,2017/04/28,H,-108,BAL,14,11,5.04190881266,sabac001,53.4353345966,1523.46439472,W,0.558604618968,128,58,14,7,0.666666666667,0.832542130357
21,2017/04/29,H,-173,BAL,12,4,7.35286392324,pinem001,53.6896454823,1525.32447952,W,0.575182034534,140,62,15,7,0.681818181818,0.807333002512
22,2017/04/30,H,-120,BAL,7,4,-20.0374285959,montj0,47.963956191,1528.47216124,L,0.528968974884,147,66,15,8,0.652173913043,0.813703953176
23,2017/05/01,H,-181,TOR,7,1,-13.6348148035,sevel001,49.3507072634,1526.1318859,L,0.51919418656,154,67,15,9,0.625,0.80990729234
24,2017/05/02,H,-199,TOR,11,5,24.5385459982,tanam001,57.2733473357,1522.72524879,W,0.625857668116,165,72,16,9,0.64,0.818525673253
25,2017/05/03,H,105,TOR,8,6,1.07294926062,sabac001,52.1947888139,1524.9399633,W,0.555276942282,173,78,17,9,0.653846153846,0.817722924275
26,2017/05/05,A,121,CHC,3,2,11.3496589346,pinem001,54.1215861318,1526.46751029,W,0.391400642966,176,80,18,9,0.666666666667,0.808735527813
27,2017/05/06,A,115,CHC,11,6,-15.2863115777,montj0,48.5233365705,1528.24299882,W,0.464049633145,187,86,19,9,0.678571428571,0.806450280946
