,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,106,CIN,4,3,10.7876448382,hellj001,52.9487018123,1459.25172039,W,0.466639616114,4,3,1,0,1.0,
1,2017/04/05,A,-105,CIN,2,0,14.8681520355,eickj001,53.8445450306,1460.75836669,L,0.471045736622,6,3,1,1,0.5,0.627312499169
2,2017/04/06,A,120,CIN,7,4,4.17899883926,buchc001,51.6722798433,1459.05652806,L,0.474062762282,13,7,1,2,0.333333333333,0.778094505229
3,2017/04/07,H,156,WAS,7,6,2.91977337398,velav001,51.319753,1456.96449931,L,0.369583752057,20,13,1,3,0.25,0.754074211123
4,2017/04/08,H,-111,WAS,17,3,-5.87801734573,nolaa001,49.3493857431,1456.03153771,W,0.479760621675,37,16,2,3,0.4,0.685619134594
5,2017/04/09,H,154,WAS,4,3,10.899329881,hellj001,52.9721906211,1461.92342934,W,0.415205074097,41,19,3,3,0.5,0.820151733816
6,2017/04/10,H,131,NYM,4,3,15.7740521308,eickj001,54.1964868343,1463.61592071,L,0.46081519163,45,22,3,4,0.428571428571,0.800932209466
7,2017/04/11,H,131,NYM,14,4,1.18825345706,buchc001,51.204789751,1462.36000938,L,0.458918339241,59,26,3,5,0.375,0.785038237937
8,2017/04/12,H,-117,NYM,5,4,0.72775237405,velav001,50.7962071264,1458.30860334,L,0.465080802941,64,30,3,6,0.333333333333,0.81505363242
9,2017/04/14,A,160,WAS,3,2,-4.04018308143,nolaa001,49.6777005016,1457.03773267,L,0.322878296769,67,32,3,7,0.3,0.797608045576
10,2017/04/15,A,141,WAS,4,2,14.7857501249,hellj001,53.7918466356,1456.26138631,W,0.369530944032,71,34,4,7,0.363636363636,0.792080436517
11,2017/04/16,A,158,WAS,6,4,18.0240607406,eickj001,54.5869994525,1458.74051952,L,0.399707958974,77,38,4,8,0.333333333333,0.791293176049
12,2017/04/18,A,174,NYM,6,2,-20.7417605697,efliz0,46.3183332666,1457.35717459,W,0.368541604629,83,40,5,8,0.384615384615,0.782152910101
13,2017/04/19,A,126,NYM,5,4,-2.30044648401,velav001,50.2682037169,1460.86823619,L,0.411007197284,88,44,5,9,0.357142857143,0.789386221836
14,2017/04/20,A,164,NYM,6,4,-2.04086031237,nolaa001,50.2638233256,1459.78280204,W,0.339351078235,94,48,6,9,0.4,0.778094505229
15,2017/04/21,H,-102,ATL,4,3,17.2014793886,hellj001,54.1653042123,1462.4131172,W,0.541234983333,98,51,7,9,0.4375,0.771445216551
16,2017/04/22,H,-116,ATL,4,3,17.0295729759,eickj001,54.2921586325,1463.66183429,W,0.572557688557,102,54,8,9,0.470588235294,0.765340757821
17,2017/04/23,H,-108,ATL,5,2,-18.3496360325,efliz0,46.9043166646,1464.80024912,W,0.508051847978,107,56,9,9,0.5,0.75971902035
18,2017/04/26,H,-100,MIA,7,4,-4.61008186503,velav001,49.9946190934,1466.99492833,W,0.463982504979,114,60,10,9,0.526315789474,0.763494350606
19,2017/04/27,H,-104,MIA,3,2,18.0416997799,hellj001,54.7994610141,1469.4373751,W,0.525919203687,117,62,11,9,0.55,0.761651558155
20,2017/04/28,A,165,LAD,5,3,17.7573918198,eickj001,54.8092395152,1470.73977123,L,0.407929500812,122,65,11,10,0.52380952381,0.759405251239
21,2017/04/29,A,206,LAD,6,5,-11.1428135444,efliz0,48.4891998206,1469.26519371,L,0.35072580457,128,70,11,11,0.5,0.757613009857
22,2017/04/30,A,186,LAD,5,3,-16.6021521783,piven0,47.4,1468.34134696,L,0.363872549,133,73,11,12,0.478260869565,0.748833084904
23,2017/05/01,A,150,CHC,10,2,-4.10073503251,velav001,49.9702320731,1467.08286069,W,0.380583179325,143,75,12,12,0.5,0.747590072419
24,2017/05/02,A,199,CHC,8,3,19.0551839627,hellj001,54.9588758196,1472.21643273,L,0.33151505088,151,78,12,13,0.48,0.762800558851
25,2017/05/03,A,216,CHC,5,4,15.0178127306,eickj001,53.7650319423,1470.5203402,L,0.340033410554,156,82,12,14,0.461538461538,0.767747101862
26,2017/05/04,A,174,CHC,5,4,-6.62977860107,efliz0,49.1754119977,1469.69472824,L,0.3262944712,161,86,12,15,0.444444444444,0.762072834617
27,2017/05/05,H,146,WAS,4,2,-17.2222360528,piven0,46.9473317724,1468.91767615,L,0.357710458547,165,88,12,16,0.428571428571,0.756755534778
28,2017/05/06,H,-125,WAS,6,2,-0.656350087467,velav001,50.3231192687,1467.74268394,L,0.451638529462,171,90,12,17,0.413793103448,0.75727211882
29,2017/05/07,H,102,WAS,6,5,12.3853453938,hellj001,53.082017489,1465.44710321,W,0.417018989555,177,95,13,17,0.433333333333,0.761651558155
30,2017/05/09,H,-115,SEA,10,9,15.6542320497,eickj001,53.6865207342,1467.13301721,L,0.47716712817,187,104,13,18,0.41935483871,0.755157990355
31,2017/05/10,H,110,SEA,11,6,-3.01024030492,efliz0,49.4403455848,1465.8198206,L,0.449465078222,198,110,13,19,0.40625,0.743064747912
32,2017/05/13,A,161,WAS,6,4,-19.0529770686,piven0,46.0121148006,1463.23160569,L,0.308925238263,204,114,13,20,0.393939393939,0.743433964198
33,2017/05/14,A,169,WAS,4,3,11.8861049795,hellj001,52.4952357257,1462.2767836,W,0.36745707676,208,117,14,20,0.411764705882,0.741403867649
34,2017/05/14,A,193,WAS,6,5,1.67741694284,velav001,50.2504486888,1464.17166371,L,0.295105669645,214,122,14,21,0.4,0.739121801797
35,2017/05/16,A,161,TEX,5,1,10.542866533,eickj001,52.1449322578,1463.49391521,L,0.363037248347,219,123,14,22,0.388888888889,0.734414838575
36,2017/05/17,A,124,TEX,9,3,-2.58849191329,efliz0,49.3873595222,1461.87314315,L,0.419825411408,228,126,14,23,0.378378378378,0.739653066827
37,2017/05/18,A,129,TEX,8,4,-19.4294260205,piven0,45.519412798,1459.33498117,L,0.37396126654,236,130,14,24,0.368421052632,0.745251571286
38,2017/05/19,A,117,PIT,7,2,10.627843262,hellj001,52.005159038,1457.64489668,W,0.453451383317,243,132,15,24,0.384615384615,0.746361153458
39,2017/05/20,A,112,PIT,6,3,1.88945947051,velav001,50.2736923213,1460.97782433,L,0.401460473858,249,135,15,25,0.375,0.751115356264
40,2017/05/21,A,-113,PIT,1,0,-2.04310692671,nolaa001,49.3223648892,1459.2792261,L,0.436063235607,250,135,15,26,0.365853658537,0.751763972995
41,2017/05/22,H,-108,COL,8,1,10.7410610468,eickj001,52.2144406874,1458.08843278,L,0.518324622883,258,136,15,27,0.357142857143,0.75311530027
42,2017/05/23,H,126,COL,8,2,-10.1948793658,efliz0,47.7446429043,1454.30212304,L,0.44184876953,266,138,15,28,0.348837209302,0.761142145732
43,2017/05/24,H,114,COL,7,2,13.7814158086,hellj001,52.5309162621,1451.48533249,L,0.470452787267,273,140,15,29,0.340909090909,0.76634721268
44,2017/05/25,H,-106,COL,2,1,1.6257555545,velav001,49.6805358014,1448.74036547,W,0.428527462174,275,141,16,29,0.355555555556,0.770081448523
45,2017/05/26,H,-132,CIN,5,2,3.94058817556,nolaa001,50.2043003652,1450.38483257,L,0.50100258408,280,143,16,30,0.347826086957,0.770139716164
46,2017/05/27,H,-120,CIN,4,3,12.9141465006,eickj001,52.0234621998,1448.13930521,W,0.520911946126,284,146,17,30,0.36170212766,0.771397726335
47,2017/05/28,H,110,CIN,8,4,-14.6334678303,efliz0,46.114782858,1449.45922161,L,0.453313429688,292,150,17,31,0.354166666667,0.769291576897
48,2017/05/29,A,146,MIA,4,1,10.1844651728,hellj001,51.0639566138,1447.1525988,L,0.442104163759,296,151,17,32,0.34693877551,0.769532706944
49,2017/05/30,A,111,MIA,7,2,4.68603676151,velav001,49.8194754537,1445.22071649,L,0.438804958998,303,153,17,33,0.34,0.771759681832
50,2017/05/31,A,106,MIA,10,2,4.7124927549,nolaa001,49.7118497438,1442.69642384,L,0.38087592072,313,155,17,34,0.333333333333,0.775000194097
51,2017/06/02,H,-125,SF,10,0,14.5038464656,eickj001,51.6486536459,1439.93999247,L,0.501863407235,323,155,17,35,0.326923076923,0.781089763971
52,2017/06/03,H,126,SF,5,3,-4.20198686398,liveb0,47.4,1435.40135387,W,0.417253387604,328,158,18,35,0.339622641509,0.790667105236
53,2017/06/04,H,-101,SF,9,7,10.2317331602,hellj001,50.5825973661,1437.62429461,W,0.48043857609,337,165,19,35,0.351851851852,0.789523837405
54,2017/06/05,A,115,ATL,11,4,-7.71056034192,piven0,46.618760858,1439.55207058,W,0.431669085165,348,169,20,35,0.363636363636,0.784585047456
55,2017/06/06,A,-107,ATL,3,1,3.3125261703,nolaa001,48.9294026178,1443.77272208,W,0.421767283447,351,170,21,35,0.375,0.787072697823
56,2017/06/07,A,119,ATL,14,1,7.92109170777,eickj001,50.1509118687,1445.94179343,L,0.436193408442,365,171,21,36,0.368421052632,0.78788572426
57,2017/06/08,A,111,ATL,3,1,-0.15247620495,liveb0,48.40444586,1441.47024242,L,0.438640522612,368,172,21,37,0.362068965517,0.797768144808
58,2017/06/09,A,166,STL,3,2,6.12581315445,hellj001,49.7421128792,1439.93914676,L,0.427941601587,371,174,21,38,0.35593220339,0.798454869034
59,2017/06/10,A,216,STL,7,0,-8.93870951662,piven0,46.4663412874,1438.82221252,L,0.338150039044,378,174,21,39,0.35,0.797450528928
60,2017/06/11,A,125,STL,6,5,8.48223821624,nolaa001,50.098979937,1436.70196885,L,0.408503163916,384,179,21,40,0.344262295082,0.80286034602
61,2017/06/12,A,210,BOS,6,5,7.66699781227,eickj001,49.9232169272,1435.65244824,L,0.339326652222,390,184,21,41,0.338709677419,0.799230950204
62,2017/06/13,A,245,BOS,4,3,0.641066560888,liveb0,48.4226557766,1434.84395472,L,0.317064902592,394,187,21,42,0.333333333333,0.795709615017
63,2017/06/14,H,110,BOS,7,3,4.83766262291,hellj001,49.3241746428,1434.11261819,L,0.420865217704,401,190,21,43,0.328125,0.793947860212
64,2017/06/15,H,232,BOS,1,0,-9.64369631569,piven0,46.0086125913,1432.02063136,W,0.312891324106,402,190,22,43,0.338461538462,0.794449326361
65,2017/06/16,H,-125,ARI,5,4,7.78735241604,nolaa001,49.9972053368,1434.1274308,L,0.47592718097,407,194,22,44,0.333333333333,0.795184519623
66,2017/06/17,H,113,ARI,5,1,7.33028270507,eickj001,49.8132423162,1432.81857274,L,0.428457962676,412,195,22,45,0.328358208955,0.792675477661
67,2017/06/18,H,158,ARI,5,4,0.634278701981,liveb0,48.483173407,1430.67622613,L,0.368276606765,417,199,22,46,0.323529411765,0.794770260674
68,2017/06/20,H,143,STL,8,1,-1.03689962747,hellj001,48.1006008877,1429.74791952,L,0.436423728989,425,200,22,47,0.31884057971,0.792326155975
69,2017/06/21,H,119,STL,7,6,0.386269039421,piven0,48.5117582214,1426.70711841,L,0.46346457379,432,206,22,48,0.314285714286,0.796462042546
70,2017/06/22,H,131,STL,5,1,4.55975482197,nolaa001,49.4807904323,1425.44191439,W,0.381468592699,437,207,23,48,0.323943661972,0.792554800985
71,2017/06/23,A,161,ARI,6,1,-6.15782701019,leitm0,47.4,1428.85214554,W,0.362533725089,443,208,24,48,0.333333333333,0.794531201586
72,2017/06/24,A,201,ARI,9,2,-3.23823597748,liveb0,48.2469051481,1432.80579514,L,0.307458628769,452,210,24,49,0.328767123288,0.797124333843
73,2017/06/25,A,156,ARI,2,1,-0.816994137406,hellj001,48.6534091833,1430.97859164,L,0.339005693053,454,211,24,50,0.324324324324,0.800192850822
74,2017/06/26,A,192,ARI,6,1,0.563873334623,piven0,49.180380417,1430.17121421,L,0.299291723264,460,212,24,51,0.32,0.800095718134
75,2017/06/27,A,170,SEA,8,2,7.99526854149,nolaa001,50.4300130408,1428.74121995,W,0.314923530763,468,214,25,51,0.328947368421,0.802516723433
76,2017/06/28,A,204,SEA,5,4,2.66624987633,leitm0,49.3901443858,1433.73196657,W,0.348833347263,473,218,26,51,0.337662337662,0.804759450565
77,2017/06/30,A,241,NYM,2,1,-5.90381117938,liveb0,47.3988723199,1435.71098874,L,0.326578283863,475,219,26,52,0.333333333333,0.802505280778
78,2017/07/01,A,163,NYM,7,6,5.33954332013,hellj001,49.8279488301,1434.9270972,L,0.386259686453,482,225,26,53,0.329113924051,0.802402776746
79,2017/07/02,A,132,NYM,7,1,-10.3409465765,piven0,46.4077552245,1433.92999793,W,0.381587521274,489,226,27,53,0.3375,0.798820242565
80,2017/07/03,H,-123,PIT,4,0,9.6295685326,nolaa001,50.8147825103,1438.24068868,W,0.453296618557,493,226,28,53,0.345679012346,0.801708635454
81,2017/07/04,H,135,PIT,3,0,-5.16016767265,leitm0,47.9440802852,1441.16066902,L,0.430974125235,496,226,28,54,0.341463414634,0.804042330915
82,2017/07/05,H,143,PIT,5,2,-5.99946010318,liveb0,47.8108283663,1439.31005902,L,0.456590031445,501,228,28,55,0.33734939759,0.805766675905
83,2017/07/06,H,100,PIT,6,3,1.4559613507,hellj001,49.3515493801,1437.31442199,L,0.473572271667,507,231,28,56,0.333333333333,0.806111911951
84,2017/07/07,H,-119,SD,4,3,-5.40212028037,piven0,47.9076179905,1435.2230547,L,0.528814136771,511,234,28,57,0.329411764706,0.80578150946
85,2017/07/08,H,-150,SD,2,1,14.0345710397,nolaa001,52.0925910869,1433.72935783,L,0.518624582902,513,235,28,58,0.325581395349,0.80434851918
