,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,136,BOS,8.5,5,3,6.08124003818,coleg001,51.325927171,1502.64813034,0,0.419311291614,5,3,0,1,0.0,
1,2017/04/05,A,147,BOS,7.5,3,0,20.9239223271,tailj0,54.3835543497,1501.38099676,0,0.412929576911,8,3,0,2,0.0,0.715977316474
2,2017/04/07,H,-134,ATL,8,5,4,6.76110653849,novai001,51.5920041581,1499.71257897,1,0.590021747447,13,7,1,2,0.333333333333,0.855115657802
3,2017/04/08,H,-149,ATL,8.5,6,4,-2.20116516837,kuhlc0,49.7892237265,1500.80938562,1,0.570079253717,19,11,2,2,0.5,0.754074211123
4,2017/04/09,H,-130,ATL,8,6,5,2.79579887523,coleg001,50.7592814802,1502.34188605,1,0.541748029172,25,16,3,2,0.6,0.728938593779
5,2017/04/10,H,-136,CIN,8.5,7,1,-14.222599367,glast0,47.0220323838,1503.61221306,0,0.542171602646,32,17,3,3,0.5,0.691636160693
6,2017/04/11,H,-180,CIN,8,6,2,26.394545997,tailj0,55.3685314948,1499.9432215,0,0.625120253663,38,19,3,4,0.428571428571,0.758571891003
7,2017/04/12,H,-150,CIN,8,9,2,10.4452626732,novai001,52.040506938,1496.45893537,0,0.572902630713,47,21,3,5,0.375,0.778094505229
8,2017/04/13,A,156,BOS,9.5,4,3,-2.69356548037,kuhlc0,49.199605358,1492.15149298,0,0.413778398734,51,24,3,6,0.333333333333,0.811254389539
9,2017/04/14,A,149,CHC,7,4,2,0.740876086052,coleg001,50.1479724382,1491.08365181,1,0.320742231587,55,26,4,6,0.4,0.796462042546
10,2017/04/15,A,224,CHC,10,8,7,-24.7644604806,glast0,44.8121502052,1493.80946192,1,0.30512337244,63,33,5,6,0.454545454545,0.795128100566
11,2017/04/16,A,152,CHC,8,6,1,25.6248503289,tailj0,55.4173808195,1495.94833016,1,0.357351640393,69,34,6,6,0.5,0.763216436866
12,2017/04/17,A,106,STL,7.5,2,1,7.61616490286,novai001,51.7023559814,1500.01532941,0,0.490011002799,71,35,6,7,0.461538461538,0.782623391035
13,2017/04/18,A,127,STL,8,2,1,1.80094128369,kuhlc0,50.5956417482,1498.68491867,0,0.468797978064,73,36,6,8,0.428571428571,0.782495832652
14,2017/04/19,A,124,STL,8,2,1,1.66221008165,coleg001,50.5943163856,1497.42719624,0,0.485048077611,75,37,6,9,0.4,0.78237526267
15,2017/04/21,H,-104,NYY,7.5,6,3,-27.9293786702,glast0,44.2854085075,1496.11377467,1,0.444106702063,81,40,7,9,0.4375,0.782261122121
16,2017/04/22,H,106,NYY,7,11,5,26.1264039045,tailj0,55.7278278234,1498.69323706,0,0.530177193693,92,45,7,10,0.411764705882,0.781952515339
17,2017/04/23,H,-113,NYY,7.5,2,1,10.3082775105,novai001,52.2741698899,1495.12451484,1,0.5424973385,94,46,8,10,0.444444444444,0.784887326037
18,2017/04/24,H,128,CHC,8,14,3,2.29963747899,kuhlc0,50.7389365981,1496.39216208,0,0.508621919099,108,49,8,11,0.421052631579,0.784742833735
19,2017/04/25,H,115,CHC,7.5,1,0,3.59401898289,coleg001,50.5125074749,1491.47291164,0,0.401702651398,109,49,8,12,0.4,0.806973412246
20,2017/04/26,H,136,CHC,8,6,5,-27.0500538139,glast0,44.2905184311,1490.40602286,1,0.341275014505,115,54,9,12,0.428571428571,0.809558646574
21,2017/04/28,A,104,MIA,8,12,2,23.9537610542,tailj0,55.0093917251,1492.42240826,1,0.467418363218,127,56,10,12,0.454545454545,0.797099859852
22,2017/04/29,A,124,MIA,7.5,4,0,14.3571849308,novai001,53.0081707246,1497.32641195,1,0.455428441096,131,56,11,12,0.478260869565,0.814888367018
23,2017/04/30,A,112,MIA,8.5,10,3,-11.2289712265,kuhlc0,47.9238127711,1500.25443692,0,0.466835654029,141,59,11,13,0.458333333333,0.823205903161
24,2017/05/01,A,-112,CIN,8.5,4,3,8.19765577795,coleg001,51.9644054547,1496.91995168,0,0.521318289453,145,62,11,14,0.44,0.82876682632
25,2017/05/02,A,134,CIN,9,12,3,-31.1066505404,glast0,43.6617775661,1495.45538842,1,0.442671213961,157,65,12,14,0.461538461538,0.823141019124
26,2017/05/03,A,-110,CIN,8.5,7,2,21.98971762,tailj0,54.9575830126,1500.29130413,0,0.576500269818,164,67,12,15,0.444444444444,0.831481561062
27,2017/05/04,A,102,CIN,8,4,2,21.4366941128,novai001,54.6529600085,1496.75520026,0,0.529482667574,168,69,12,16,0.428571428571,0.834831617222
28,2017/05/05,H,-130,MIL,8.5,4,0,-11.7584860394,kuhlc0,47.5614928614,1494.78424871,1,0.558202514504,172,69,13,16,0.448275862069,0.833500504683
29,2017/05/06,H,-162,MIL,8,2,1,9.57469128258,coleg001,52.1771487354,1497.03195943,1,0.591655209515,174,70,14,16,0.466666666667,0.839327417135
