,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,306,LAD,14,3,14.2605668866,chacj001,49.1453471522,1450.09950423,L,0.336186951572,14,3,0,1,0.0,
1,2017/04/04,A,204,LAD,4,0,-5.88299502621,richc002,44.4586104033,1447.99091364,W,0.326450004372,18,3,1,1,0.5,0.942035135167
2,2017/04/05,A,223,LAD,3,1,-7.0764126968,cahit001,44.4622329157,1451.9308511,L,0.295729103354,21,4,1,2,0.333333333333,0.96242382229
3,2017/04/06,A,227,LAD,10,2,1.38891413057,weavj003,46.2817316594,1451.00443481,L,0.349637471024,31,6,1,3,0.25,0.952637010068
4,2017/04/07,H,-110,SF,7,6,2.8543521678,perdl0,46.4617634443,1448.53591076,W,0.490757790509,38,12,2,3,0.4,0.951313051837
5,2017/04/08,H,181,SF,2,1,5.85610401755,chacj001,46.9892764332,1450.06323729,W,0.401620106416,40,13,3,3,0.5,0.889569366297
6,2017/04/09,H,144,SF,5,3,-0.823930034643,richc002,45.8089012856,1451.93021349,L,0.407159976696,45,16,3,4,0.428571428571,0.884352961008
7,2017/04/10,A,164,COL,5,3,-8.27504295917,cosaj001,44.100614207,1450.45500076,W,0.400428688029,50,19,4,4,0.5,0.866651798857
8,2017/04/11,A,162,COL,3,2,-1.92953188207,weavj003,45.6081382663,1452.49972415,L,0.437591427176,53,21,4,5,0.444444444444,0.852120108322
9,2017/04/12,A,146,COL,6,0,-2.10254595044,lee-z001,45.7661447865,1451.34942608,W,0.430375384126,59,21,5,5,0.5,0.842326697122
10,2017/04/14,A,128,ATL,5,2,7.97369725885,chacj001,48.1315209204,1455.04221481,L,0.410271429087,64,23,5,6,0.454545454545,0.866430176493
11,2017/04/15,A,-109,ATL,4,2,-5.19027352539,richc002,45.2029469829,1453.32857948,L,0.434322800725,68,25,5,7,0.416666666667,0.864400890922
12,2017/04/16,A,112,ATL,9,2,-7.18178878435,cahit001,44.6293407829,1451.81727553,L,0.423037219671,77,27,5,8,0.384615384615,0.859500044356
13,2017/04/17,A,138,ATL,5,4,1.81801410131,weavj003,46.6027553217,1448.9155842,L,0.453597121215,82,31,5,9,0.357142857143,0.869531538974
14,2017/04/18,H,112,ARI,11,2,-5.8907900898,cosaj001,44.9757231766,1447.71010232,L,0.467683938318,93,33,5,10,0.333333333333,0.853290423168
15,2017/04/19,H,121,ARI,1,0,5.64897183151,chacj001,47.408048905,1443.76781591,W,0.437465867059,94,33,6,10,0.375,0.867073383817
16,2017/04/20,H,-102,ARI,4,1,-9.35346717942,richc002,44.5087649128,1445.49585777,W,0.480910915586,98,34,7,10,0.411764705882,0.869288774203
17,2017/04/21,H,-109,MIA,5,3,-7.65267440239,cahit001,44.9985570963,1447.92887682,W,0.423651728029,103,37,8,10,0.444444444444,0.87170050668
18,2017/04/22,H,114,MIA,6,3,-0.757877161703,weavj003,46.649109543,1450.22755042,L,0.437597587133,109,40,8,11,0.421052631579,0.864490439004
19,2017/04/23,H,109,MIA,7,3,-4.46349395867,perdl0,45.8756099086,1448.27026087,L,0.461419803045,116,43,8,12,0.4,0.859900988447
20,2017/04/24,A,133,ARI,7,6,9.33383905597,chacj001,48.8115749998,1445.84084417,L,0.371102052927,123,49,8,13,0.380952380952,0.857688911772
21,2017/04/25,A,123,ARI,9,3,-6.64844576666,richc002,45.2478767823,1444.92160609,L,0.407942977697,132,52,8,14,0.363636363636,0.841022929581
22,2017/04/26,A,115,ARI,8,5,-1.92802272819,cahit001,45.9978400781,1442.42797281,W,0.413504787376,140,57,9,14,0.391304347826,0.84371326642
23,2017/04/27,A,182,ARI,6,2,1.80018217853,weavj003,46.7318194224,1445.08561292,L,0.387799379208,146,59,9,15,0.375,0.835682742465
24,2017/04/28,A,126,SF,4,3,-1.25185029672,perdl0,45.9249054975,1443.25429676,L,0.387051593099,150,62,9,16,0.36,0.83753292518
25,2017/04/29,A,109,SF,12,4,7.65485308549,chacj001,47.8962184147,1442.24669844,W,0.426186637014,162,66,10,16,0.384615384615,0.831897684828
26,2017/04/30,A,120,SF,5,2,-10.5330522883,richc002,44.0466947711,1446.92175086,W,0.398883460349,167,68,11,16,0.407407407407,0.835521234148
27,2017/05/02,H,-109,COL,6,2,-2.82210164574,cahit001,45.722072247,1449.75739648,W,0.467263598025,173,70,12,16,0.428571428571,0.83565663187
28,2017/05/03,H,104,COL,11,3,-2.87015509231,weavj003,45.9249419823,1452.66845357,L,0.471488321643,184,73,12,17,0.413793103448,0.837219197892
29,2017/05/04,H,-121,COL,3,2,0.96450562208,perdl0,46.3195712761,1448.96067058,L,0.48915821774,187,75,12,18,0.4,0.842015584753
30,2017/05/05,H,158,LAD,8,2,7.91627117192,chacj001,47.916001093,1447.5085108,L,0.421276072607,195,77,12,19,0.387096774194,0.839384167778
31,2017/05/06,H,210,LAD,10,2,-9.09162305513,richc002,44.3324969172,1444.80790229,L,0.305976788671,205,79,12,20,0.375,0.843148207232
32,2017/05/08,H,-123,TEX,5,1,3.34165841147,cahit001,46.817563969,1442.77931099,W,0.513426371451,210,80,13,20,0.393939393939,0.848893320257
33,2017/05/09,H,115,TEX,11,0,-11.2905288875,weavj003,43.8491957244,1445.37877255,L,0.44781461077,221,80,13,21,0.382352941176,0.851548281383
34,2017/05/10,A,177,TEX,4,3,4.54586197349,perdl0,46.8959643968,1441.15708363,L,0.337014377365,225,83,13,22,0.371428571429,0.862854808632
35,2017/05/11,A,123,TEX,5,2,-11.1496938724,richc002,43.6276563934,1440.3566288,L,0.374105334885,230,85,13,23,0.361111111111,0.858761371876
36,2017/05/12,A,106,CHW,6,3,8.47134023859,chacj001,48.0077690599,1438.92632475,W,0.391349346311,236,88,14,23,0.378378378378,0.858358761144
37,2017/05/13,A,-137,CHW,5,4,6.11323041878,cahit001,47.5063298894,1441.7171701,L,0.474755467117,241,92,14,24,0.368421052632,0.856381556191
38,2017/05/14,A,192,CHW,9,3,-18.0735394213,weavj003,42.3559267755,1440.43901256,L,0.354208205679,250,95,14,25,0.358974358974,0.851073440047
39,2017/05/15,H,-125,MIL,6,5,4.11745810521,perdl0,47.2034639822,1438.38894164,W,0.449272779374,256,100,15,25,0.375,0.852120108322
40,2017/05/16,H,-122,MIL,6,2,-7.78246856962,richc002,44.773392947,1440.07214836,L,0.45997544703,262,102,15,26,0.365853658537,0.845719208736
