,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,A,139,HOU,3,0,0.25794420673,hernf002,50.2161271981,1529.32601417,L,0.421540350093,3,0,0,1,0.0,
1,2017/04/04,A,150,HOU,2,1,1.56235621962,iwakh001,50.4921096887,1527.57635937,L,0.426172289043,5,1,0,2,0.0,1.0
2,2017/04/05,A,104,HOU,5,3,10.9140633589,paxtj001,52.4453703556,1526.46555005,L,0.480700354065,10,4,0,3,0.0,0.948489381408
3,2017/04/06,A,145,HOU,4,2,-4.20051339465,miraa0,49.4442324243,1524.74311533,W,0.441061296638,14,6,1,3,0.25,0.840034692058
4,2017/04/07,A,118,LAA,5,1,-10.8171436965,gally001,47.951761463,1526.82189431,L,0.506430142513,19,7,1,4,0.2,0.822533759059
5,2017/04/08,A,-124,LAA,5,4,0.307238582212,hernf002,50.2056232098,1524.17228091,L,0.488121993002,24,11,1,5,0.166666666667,0.859039740626
6,2017/04/09,A,114,LAA,10,9,0.933595645346,iwakh001,50.2931675959,1522.82790291,L,0.46756941544,34,20,1,6,0.142857142857,0.804094907944
7,2017/04/10,H,-131,HOU,6,0,15.194834674,paxtj001,53.4029106143,1521.55505142,W,0.557474665355,40,20,2,6,0.25,0.723209318182
8,2017/04/11,H,115,HOU,7,5,-7.3682340219,miraa0,48.8130656113,1524.39085718,L,0.523038667773,47,25,2,7,0.222222222222,0.778094505229
9,2017/04/12,H,110,HOU,10,5,-13.0463397825,gally001,47.5016969609,1522.42581931,L,0.500779299849,57,30,2,8,0.2,0.758157033585
10,2017/04/14,H,-135,TEX,2,1,-0.670274895862,hernf002,49.9737393439,1519.43881949,W,0.559293621064,59,31,3,8,0.272727272727,0.761651558155
11,2017/04/15,H,-172,TEX,5,0,18.9160481134,paxtj001,54.2953029917,1520.64323329,W,0.619035659615,64,31,4,8,0.333333333333,0.762208505862
12,2017/04/16,H,-103,TEX,8,7,0.274281415117,iwakh001,50.6604199379,1522.7266174,W,0.533915620172,72,38,5,8,0.384615384615,0.787857921773
13,2017/04/17,H,-131,MIA,6,1,-10.5711231536,miraa0,48.0831993775,1524.0216484,W,0.556363888344,78,39,6,8,0.428571428571,0.7607388914
14,2017/04/18,H,102,MIA,5,0,-17.492048823,gally001,46.8346732494,1526.58025023,L,0.536095976765,83,39,6,9,0.4,0.778094505229
15,2017/04/19,H,-137,MIA,10,5,1.41628975589,hernf002,50.7521743273,1523.32890375,W,0.570689353013,93,44,7,9,0.4375,0.796903914939
16,2017/04/20,A,-143,OAK,9,6,25.7988601437,paxtj001,55.7513198685,1525.77938769,L,0.57735112456,102,50,7,10,0.411764705882,0.794884216182
17,2017/04/21,A,110,OAK,3,1,-3.8570510446,iwakh001,49.3090636834,1523.11492563,L,0.48448312524,105,51,7,11,0.388888888889,0.784221510971
18,2017/04/22,A,112,OAK,4,3,-0.072366350197,miraa0,49.9793762984,1521.36084851,L,0.514835398099,109,54,7,12,0.368421052632,0.787021415055
19,2017/04/23,A,113,OAK,11,1,-15.389111847,gally001,46.4930104574,1519.93069463,W,0.464988469641,120,55,8,12,0.4,0.780961534752
20,2017/04/25,A,-129,DET,19,9,-0.708256396648,hernf002,49.793930453,1524.83603022,L,0.52655340353,139,64,8,13,0.380952380952,0.804094907944
21,2017/04/26,A,-126,DET,8,0,23.9548585509,paxtj001,54.814424674,1520.08660347,W,0.524804616795,147,64,9,13,0.409090909091,0.802789276242
22,2017/04/27,A,132,DET,2,1,-6.27245511108,iwakh001,48.6753989032,1523.70642077,W,0.433604573812,149,65,10,13,0.434782608696,0.818334575509
23,2017/04/28,A,172,CLE,3,1,-8.50986323834,miraa0,48.3555916594,1525.29958414,W,0.383578483958,152,66,11,13,0.458333333333,0.817798365749
24,2017/04/29,A,156,CLE,4,3,-12.952666086,gally001,47.543393061,1527.59651347,L,0.420373586897,156,69,11,14,0.44,0.819053598088
25,2017/04/30,A,146,CLE,12,4,-13.5803591675,dec0,47.4,1526.50579396,L,0.44372208236,168,73,11,15,0.423076923077,0.81404434329
26,2017/05/02,H,-134,LAA,6,4,28.5351996044,paxtj001,56.0211735611,1523.17600939,L,0.592208591007,174,77,11,16,0.407407407407,0.818860044219
27,2017/05/03,H,-115,LAA,8,7,-1.852426821,iwakh001,49.5233123419,1520.8828541,W,0.554560993591,182,84,12,16,0.428571428571,0.813907411662
28,2017/05/04,H,-154,LAA,11,3,-2.24069697969,miraa0,49.3634896277,1522.10420342,W,0.580910302716,193,87,13,16,0.448275862069,0.80210035905
29,2017/05/05,H,110,TEX,3,1,-10.7275940545,gally001,47.6319806733,1525.24324592,L,0.501032919511,196,88,13,17,0.433333333333,0.808791321319
30,2017/05/06,H,-112,TEX,8,2,-24.3938557524,dec0,44.8109229732,1523.38074483,W,0.538754435165,204,90,14,17,0.451612903226,0.80990729234
31,2017/05/07,H,-155,TEX,4,3,-38.3044257663,overd0,41.9359285806,1526.37313603,W,0.549855640402,208,93,15,17,0.46875,0.814744963636
32,2017/05/09,A,106,PHI,10,9,-0.80760724492,miraa0,49.8571225518,1527.61130601,W,0.52283287183,218,102,16,17,0.484848484848,0.811064032043
33,2017/05/10,A,-119,PHI,11,6,-6.87935502281,gally001,48.1793917881,1528.92450262,W,0.550534921778,229,108,17,17,0.5,0.798144130693
34,2017/05/11,A,137,TOR,7,2,-17.0154578665,dec0,45.9492827716,1531.51271753,L,0.438476992698,236,110,17,18,0.485714285714,0.795821337856
35,2017/05/12,A,127,TOR,4,0,-18.9753962556,bergc001,45.3071616265,1529.04440727,L,0.494069498332,240,110,17,19,0.472222222222,0.799258450722
36,2017/05/13,A,129,TOR,7,2,-24.7194375341,weber001,43.9946879827,1526.51632915,L,0.447322646984,247,112,17,20,0.459459459459,0.804094907944
37,2017/05/14,A,126,TOR,3,2,-7.98246490595,miraa0,47.5974094867,1523.98271249,L,0.448544165683,250,114,17,21,0.447368421053,0.807136471684
38,2017/05/15,H,-119,OAK,6,5,-7.1985022499,gally001,47.8851194652,1522.79463139,W,0.570392679809,256,119,18,21,0.461538461538,0.805546061497
39,2017/05/16,H,-104,OAK,9,6,-23.5898671516,dec0,44.3750338097,1523.95925843,L,0.55115756292,265,125,18,22,0.45,0.80004212321
40,2017/05/17,H,-105,OAK,4,0,-20.1234254128,bergc001,44.9948865142,1521.41030365,W,0.574418660789,269,125,19,22,0.463414634146,0.795769956262
41,2017/05/18,H,-167,CHW,5,4,-10.1089273918,gavis0,47.4,1523.5476096,W,0.638262722388,274,129,20,22,0.47619047619,0.800141621805
42,2017/05/19,H,-122,CHW,2,1,-6.00882642569,miraa0,48.3634838269,1524.46728944,L,0.560918378468,276,130,20,23,0.46511627907,0.796328181026
43,2017/05/20,H,-164,CHW,16,1,-9.08164567468,gally001,47.8488932351,1522.83444139,L,0.623698099148,292,131,20,24,0.454545454545,0.796196255185
44,2017/05/21,H,-125,CHW,8,1,-8.9646839766,hestc0,47.4,1515.08031623,L,0.563490306022,300,132,20,25,0.444444444444,0.810124174169
45,2017/05/23,A,134,WAS,10,1,-9.69064371679,bergc001,46.8606807777,1510.86345878,L,0.423761846771,310,133,20,26,0.434782608696,0.815473343161
46,2017/05/24,A,140,WAS,5,1,0.118171705269,gavis0,48.3385856283,1507.43949265,L,0.414789765291,315,134,20,27,0.425531914894,0.822249637531
47,2017/05/25,A,127,WAS,4,2,4.31145173228,miraa0,49.1634073787,1505.37773754,W,0.425455571792,319,136,21,27,0.4375,0.824489630469
