,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/02,A,-144,ARI,6,5,23.2954766002,bumgm001,58.8709499238,1527.27472425,L,0.496502101946,6,5,0,1,0.0,
1,2017/04/04,A,-139,ARI,8,4,22.3476135119,cuetj001,58.7669850461,1525.82021446,W,0.587414803418,14,9,1,1,0.5,0.581759867803
2,2017/04/05,A,-104,ARI,8,6,-1.5235261546,moorm003,53.5237366959,1527.81309196,L,0.521824201625,22,15,1,2,0.333333333333,0.689914001678
3,2017/04/06,A,102,ARI,9,3,-8.41335978346,samaj001,51.8719276803,1525.94448593,L,0.504777351942,31,18,1,3,0.25,0.666681954497
4,2017/04/07,A,102,SD,7,6,-40.2676751478,cainm001,44.8516376198,1522.65733441,L,0.509242209491,38,24,1,4,0.2,0.727890082545
5,2017/04/08,A,-197,SD,2,1,28.0539515462,bumgm001,59.1116663037,1521.13000788,L,0.598379893584,40,25,1,5,0.166666666667,0.696725573886
6,2017/04/09,A,-156,SD,5,3,21.1122257037,cuetj001,57.7078321582,1519.26303169,W,0.592840023304,45,28,2,5,0.285714285714,0.700715340425
7,2017/04/10,H,-128,ARI,4,1,-2.87758211102,moorm003,52.6105095864,1520.73824442,W,0.561513231043,49,29,3,5,0.375,0.702403387118
8,2017/04/11,H,-112,ARI,4,3,-12.5214808275,samaj001,50.7475507419,1522.64350586,L,0.549143301974,53,32,3,6,0.333333333333,0.720992342183
9,2017/04/12,H,-111,ARI,6,2,-44.7397669987,cainm001,43.897578973,1521.05878868,W,0.5197434396,59,34,4,6,0.4,0.713664012781
10,2017/04/13,H,-168,COL,3,1,27.0843906744,bumgm001,59.1788640091,1523.55522973,L,0.624655136417,62,35,4,7,0.363636363636,0.73059239733
11,2017/04/14,H,-140,COL,8,2,19.3705278573,cuetj001,57.5176932966,1521.10555032,W,0.587718219083,70,37,5,7,0.416666666667,0.737871189948
12,2017/04/15,H,-129,COL,5,0,0.538739978497,moorm003,53.5857946592,1523.68427057,L,0.596819403151,75,37,5,8,0.384615384615,0.760243502642
13,2017/04/16,H,-130,COL,4,3,-10.8988305329,samaj001,50.9056716627,1519.97267097,L,0.578823381,79,40,5,9,0.357142857143,0.782261122121
14,2017/04/18,A,104,KC,2,1,-41.5086688648,cainm001,44.3712807462,1518.28087879,W,0.48147721096,81,41,6,9,0.4,0.774138496927
15,2017/04/19,A,-125,KC,2,0,25.9291618991,bumgm001,58.7911156701,1519.70884993,L,0.558635487296,83,41,6,10,0.375,0.774236174519
16,2017/04/21,A,-123,COL,6,5,20.5724521943,cuetj001,57.6859475568,1517.72401295,L,0.529518319894,89,46,6,11,0.352941176471,0.781859560223
17,2017/04/22,A,-109,COL,12,3,-3.48370591093,moorm003,52.3470766041,1516.25835159,L,0.504024032203,101,49,6,12,0.333333333333,0.767561137636
18,2017/04/23,A,102,COL,8,0,-8.94556077474,samaj001,50.9133198855,1512.13180098,L,0.520487933948,109,49,6,13,0.315789473684,0.787374802228
19,2017/04/24,H,126,LAD,2,1,-35.299252442,cainm001,45.1696637966,1508.15556259,W,0.465961737159,111,50,7,13,0.35,0.809558646574
20,2017/04/25,H,217,LAD,2,1,-20.7439200692,blact001,48.435422774,1509.68648769,L,0.375178001972,113,51,7,14,0.333333333333,0.808994210962
21,2017/04/26,H,-101,LAD,4,3,16.4739268557,cuetj001,56.3643944776,1508.72168252,W,0.521077348059,117,54,8,14,0.363636363636,0.808449627348
22,2017/04/27,H,118,LAD,5,1,-8.31021071095,moorm003,51.0258376102,1510.05752765,L,0.492098119002,122,55,8,15,0.347826086957,0.80210035905
23,2017/04/28,H,-137,SD,4,3,-12.3080471955,samaj001,50.3260471802,1507.48305198,W,0.612948406901,126,58,9,15,0.375,0.808764949142
24,2017/04/29,H,-118,SD,12,4,-30.9207669795,cainm001,46.3895865045,1508.4906503,L,0.573813362986,138,62,9,16,0.36,0.80286034602
25,2017/04/30,H,-130,SD,5,2,-20.1818397257,blact001,48.7075071173,1503.81559788,L,0.601116539651,143,64,9,17,0.346153846154,0.809723712508
26,2017/05/01,A,216,LAD,4,3,12.9218096551,cuetj001,55.8624593939,1500.97995226,W,0.335770390143,147,67,10,17,0.37037037037,0.810792888414
