,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/02,H,115,CHC,4,3,24.2688719807,martc006,55.7712321512,1504.44214205,W,0.536356573254,4,3,1,0,1.0,
1,2017/04/04,H,130,CHC,2,1,-4.11611630615,waina001,49.9966429246,1506.03548054,L,0.417593439595,6,4,1,1,0.5,0.627312499169
2,2017/04/06,H,113,CHC,6,4,1.84769761956,lynnl001,51.340128768,1504.95440153,L,0.441016341682,12,8,1,2,0.333333333333,0.67565872963
3,2017/04/07,H,-166,CIN,2,0,-8.34035915291,leakm001,49.220959247,1503.41588734,L,0.586694646997,14,8,1,3,0.25,0.67565872963
4,2017/04/08,H,-199,CIN,10,4,-13.531404449,wachm001,48.3047903989,1501.21195469,W,0.556494022195,24,12,2,3,0.4,0.733588194604
5,2017/04/09,H,-180,CIN,8,0,25.843653401,martc006,56.8369025789,1504.02186542,L,0.623619457099,32,12,2,4,0.333333333333,0.778094505229
6,2017/04/10,A,113,WAS,14,6,-3.53008258693,waina001,50.4133777131,1498.86911166,L,0.398931964629,46,18,2,5,0.285714285714,0.855115657802
7,2017/04/11,A,122,WAS,8,3,3.11770522504,lynnl001,51.5629830739,1495.93517938,L,0.427271310404,54,21,2,6,0.25,0.845308396356
8,2017/04/12,A,170,WAS,6,1,-1.89877734191,leakm001,50.2512308444,1493.50350071,W,0.347115479351,60,22,3,6,0.333333333333,0.846768243357
9,2017/04/14,A,118,NYY,4,3,-8.05881310855,wachm001,49.2209429953,1497.68083877,L,0.409111854342,64,25,3,7,0.3,0.860082676342
10,2017/04/15,A,-120,NYY,3,2,22.8639482987,martc006,55.6930010733,1496.6292033,L,0.460234049697,67,27,3,8,0.272727272727,0.845719208736
11,2017/04/16,A,126,NYY,9,3,-7.92507434515,waina001,49.1268438936,1495.40089355,L,0.412644230161,76,30,3,9,0.25,0.838218061534
12,2017/04/17,H,-115,PIT,2,1,-1.31864169513,lynnl001,50.3077384314,1492.86687339,W,0.509988997201,78,31,4,9,0.307692307692,0.8432300122
