,Date,Home/Away,Line,Opponent,Over/Under,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,103,CLE,8,8,5,31.8348134092,darvy001,58.4800561432,1511.45103496,0,0.546579241376,8,5,0,1,0.0,
1,2017/04/04,H,148,CLE,9,4,3,-7.37994860988,perem004,50.109166168,1509.49885494,0,0.441737003629,12,8,0,2,0.0,0.700715340425
2,2017/04/05,H,104,CLE,8,9,6,13.9481737583,hamec001,54.6351186533,1508.33424545,0,0.492764231769,21,14,0,3,0.0,0.67565872963
3,2017/04/07,H,-153,OAK,9.5,10,5,-12.0080740614,grifa002,49.131142633,1506.27300257,1,0.583991087892,31,19,1,3,0.25,0.67565872963
4,2017/04/08,H,-164,OAK,9,6,1,30.3986141635,darvy001,58.0047699747,1508.5120993,0,0.598853026696,37,20,1,4,0.2,0.70808103316
5,2017/04/09,H,110,OAK,10,8,1,-7.2494231096,perem004,50.1279468048,1504.95561307,1,0.519293094782,45,21,2,4,0.333333333333,0.752778439487
6,2017/04/11,A,107,LAA,8,6,5,13.1999644071,hamec001,54.5798833203,1508.29226178,0,0.490063015092,51,26,2,5,0.285714285714,0.7989064278
7,2017/04/12,A,130,LAA,8.5,8,3,-15.6565915826,grifa002,48.5135266983,1506.94113764,1,0.455468038235,59,29,3,5,0.375,0.771966685557
8,2017/04/13,A,-121,LAA,8,8,3,30.4878824284,darvy001,58.3483680949,1510.23185652,1,0.504872845261,67,32,4,5,0.444444444444,0.783390876697
9,2017/04/14,A,125,SEA,7.5,2,1,-6.40473255007,perem004,50.7100833336,1513.15521169,0,0.440706378936,69,33,4,6,0.4,0.792080436517
10,2017/04/15,A,158,SEA,7.5,5,0,-32.7240529899,casha001,45.0443138423,1511.95079789,0,0.380964340385,74,33,4,7,0.363636363636,0.791675411205
11,2017/04/16,A,-105,SEA,7.5,8,7,13.5302537104,hamec001,54.8061388762,1509.86741378,0,0.466084379828,82,40,4,8,0.333333333333,0.811789359382
12,2017/04/17,A,129,OAK,7.5,7,0,-14.2425285927,grifa002,48.7644271971,1508.57238278,1,0.470794740995,89,40,5,8,0.384615384615,0.785715471266
13,2017/04/18,A,-139,OAK,7,4,2,33.1264498119,darvy001,59.0800678568,1512.44757721,0,0.546592216458,93,42,5,9,0.357142857143,0.809622634208
14,2017/04/19,A,105,OAK,8.5,9,1,-7.16966340243,perem004,50.4486483932,1510.40871708,0,0.516335817071,102,43,5,10,0.333333333333,0.808272331465
15,2017/04/20,H,107,KC,8.5,1,0,-31.9942031046,casha001,44.9948579794,1506.32838952,1,0.511393123255,103,43,6,10,0.375,0.826844781911
16,2017/04/21,H,-134,KC,8.5,6,2,9.75630618815,hamec001,53.9991546997,1507.65399439,1,0.605156028583,109,45,7,10,0.411764705882,0.829358445296
17,2017/04/22,H,105,KC,8.5,2,1,-40.15567136,martn002,43.598254445,1509.47647926,1,0.508558231745,111,46,8,10,0.444444444444,0.832197285017
18,2017/04/23,H,-201,KC,8,5,2,28.8013673216,darvy001,58.4387670455,1510.8117865,1,0.646407932769,116,48,9,10,0.473684210526,0.831235477626
19,2017/04/24,H,-142,MIN,9.5,3,2,-13.0479732138,perem004,49.6650541288,1512.13201943,0,0.585764923192,119,50,9,11,0.45,0.831616098828
20,2017/04/25,H,104,MIN,10,8,1,-30.5585879248,casha001,45.9412700257,1510.4705818,0,0.477255353564,127,51,9,12,0.428571428571,0.827705455773
21,2017/04/26,H,-148,MIN,9,14,3,12.8012046786,hamec001,54.9887113902,1507.16432206,1,0.580277217979,141,54,10,12,0.454545454545,0.839076695216
22,2017/04/28,H,112,LAA,9.5,6,3,-34.547739852,martn002,44.8694536518,1510.91268249,0,0.517756363007,147,57,10,13,0.434782608696,0.850330335787
23,2017/04/29,H,-153,LAA,8.5,6,3,30.6618583188,darvy001,58.7843799752,1508.71988211,1,0.607838797262,153,60,11,13,0.458333333333,0.847452683542
24,2017/04/30,H,108,LAA,9,5,2,-12.1588714355,perem004,49.8132553613,1510.24702758,0,0.541186210633,158,62,11,14,0.44,0.844792614905
25,2017/05/01,A,201,HOU,8.5,6,2,-32.219600179,casha001,45.3761292693,1507.9304988,0,0.345539285062,164,64,11,15,0.423076923077,0.844642398263
26,2017/05/02,A,126,HOU,8.5,8,7,-22.7622092174,claua0,47.4,1506.35524459,0,0.389197868432,172,71,11,16,0.407407407407,0.845949585889
27,2017/05/03,A,165,HOU,8.5,10,1,-31.3689006631,martn002,45.4397014687,1505.37290572,0,0.373822643875,182,72,11,17,0.392857142857,0.832229940583
28,2017/05/04,A,138,HOU,8.5,10,4,-7.590760693,grifa002,50.1016165397,1502.50875454,1,0.397835643024,192,76,12,17,0.413793103448,0.842704005223
29,2017/05/05,A,-119,SEA,7.5,3,1,34.9898798167,darvy001,59.1565347475,1506.64149623,1,0.498967080489,195,77,13,17,0.433333333333,0.842565151424
30,2017/05/06,A,104,SEA,8.5,8,2,-12.5005703346,perem004,49.098175388,1508.50399732,0,0.461245564835,203,79,13,18,0.41935483871,0.843148207232
31,2017/05/07,A,143,SEA,8.5,4,3,-28.2016445358,casha001,45.7771904126,1505.51160612,0,0.450144359598,207,82,13,19,0.40625,0.846602957074
32,2017/05/08,A,114,SD,7.5,5,1,-38.0215221631,martn002,43.7870949477,1504.27343614,0,0.486573628549,212,83,13,20,0.393939393939,0.842381995923
33,2017/05/09,A,-125,SD,8.5,11,0,-7.19107015235,grifa002,50.1584066181,1501.67397459,1,0.55218538923,223,83,14,20,0.411764705882,0.845184342416
34,2017/05/10,H,-193,SD,8.5,4,3,33.3495548059,darvy001,59.014260666,1505.89566351,1,0.662985622635,227,86,15,20,0.428571428571,0.856789833494
35,2017/05/11,H,-133,SD,9,5,2,-12.0862440708,perem004,49.3295057287,1506.69611834,1,0.625894665115,232,88,16,20,0.444444444444,0.852807290546
36,2017/05/12,H,-110,OAK,9.5,5,2,-25.2178629024,casha001,46.57340891,1508.12642239,1,0.549955686392,237,90,17,20,0.459459459459,0.852533944455
37,2017/05/13,H,104,OAK,9.5,6,5,-41.1727647295,martn002,43.2497843754,1509.96215622,1,0.543054187852,243,95,18,20,0.473684210526,0.852272046897
38,2017/05/14,H,-125,OAK,9.5,6,4,-2.93063060662,grifa002,51.3858531802,1511.17915983,1,0.574069553535,249,99,19,20,0.487179487179,0.845524813667
39,2017/05/16,H,-175,PHI,8.5,5,1,31.8579047328,darvy001,58.5716597331,1512.54886046,1,0.636962751653,254,100,20,20,0.5,0.841498852087
40,2017/05/17,H,-134,PHI,10.5,9,3,-22.6889889891,casha001,47.1968611902,1514.16963252,1,0.580174588592,263,103,21,20,0.512195121951,0.843857815836
