,Date,Home/Away,Line,Opponent,Runs,RunsAllowed,StartingPitcherAdjustment,StartingPitcherKey,StartingPitcherRating,TeamRating,Win/Loss,WinProbability,TotalRunsScored,TotalRunsAllowed,Wins,Loses,Win%,PythagoreanExpectedWin%
0,2017/04/03,H,-200,MIA,4,2,15.1794043317,stras001,56.7866985286,1543.01298414,W,0.598260718914,4,2,1,0,1.0,
1,2017/04/05,H,-158,MIA,6,4,1.01618121583,roart001,53.8601313941,1544.2238532,W,0.576246483488,10,6,2,0,1.0,0.778094505229
2,2017/04/06,H,-164,MIA,4,3,-19.46649252,gonzg003,49.592153184,1545.72055353,L,0.583470309344,14,9,2,1,0.666666666667,0.715977316474
3,2017/04/07,A,-170,PHI,7,6,31.7113904593,schem001,60.5791059478,1544.01244486,W,0.630416247943,21,15,3,1,0.75,0.689914001678
4,2017/04/08,A,103,PHI,17,3,-56.7204367174,guthj001,41.872273159,1544.94540646,L,0.520239378325,38,18,3,2,0.6,0.647716020099
5,2017/04/09,A,-167,PHI,4,3,17.265621768,stras001,57.059638465,1539.05351483,L,0.584794925903,42,21,3,3,0.5,0.794531201586
6,2017/04/10,H,-122,STL,14,6,3.95728196512,roart001,54.2995083477,1537.36102346,W,0.601068035371,56,27,4,3,0.571428571429,0.778094505229
7,2017/04/11,H,-132,STL,8,3,-14.343988695,gonzg003,50.2894509879,1540.29495573,W,0.572728689596,64,30,5,3,0.625,0.78925187994
8,2017/04/12,H,-185,STL,6,1,34.6230452853,schem001,60.7839986762,1542.72663441,L,0.652884520649,70,31,5,4,0.555555555556,0.797608045576
9,2017/04/14,H,-174,PHI,3,2,17.5619059917,stras001,57.2331193523,1538.54929635,W,0.677121703231,73,33,6,4,0.6,0.813703953176
10,2017/04/15,H,-153,PHI,4,2,0.526679468186,roart001,53.6765596766,1539.32564271,L,0.630469055968,77,35,6,5,0.545454545455,0.807997861555
11,2017/04/16,H,-172,PHI,6,4,-13.4340135215,gonzg003,50.8221957131,1536.8465095,W,0.600292041026,83,39,7,5,0.583333333333,0.806450280946
12,2017/04/18,A,-183,ATL,3,1,33.6622727405,schem001,60.8114199725,1538.22985443,W,0.607442700961,86,40,8,5,0.615384615385,0.796903914939
13,2017/04/19,A,-110,ATL,14,4,-16.6962330658,rossj002,50.291038321,1539.5488133,W,0.491173512855,100,44,9,5,0.642857142857,0.79987235877
14,2017/04/20,A,-153,ATL,3,2,16.5576853714,stras001,57.3860735948,1544.14757951,W,0.595659346718,103,46,10,5,0.666666666667,0.815473343161
15,2017/04/21,A,108,NYM,4,3,1.35436686357,roart001,54.2509379387,1545.18263167,W,0.507958514317,107,49,11,5,0.6875,0.811382517299
16,2017/04/22,A,102,NYM,3,1,-14.3140095962,gonzg003,50.8087998541,1546.55438497,W,0.467201585664,110,50,12,5,0.705882352941,0.804337142718
17,2017/04/23,A,-154,NYM,6,3,34.9770299443,schem001,61.4242809476,1548.54972906,W,0.58458862938,116,53,13,5,0.722222222222,0.806450280946
18,2017/04/24,A,142,COL,8,4,-66.6710474162,turnj002,39.8673875322,1550.31613479,L,0.427455459339,124,57,13,6,0.684210526316,0.804988566239
19,2017/04/25,A,-116,COL,15,12,-16.7671672814,rossj002,50.5673252149,1548.32436005,W,0.539841124176,139,69,14,6,0.7,0.803258649081
20,2017/04/26,A,104,COL,11,4,-1.22550693374,roart001,53.6943249533,1550.17018842,W,0.533934945456,150,73,15,6,0.714285714286,0.780342780226
21,2017/04/27,A,-117,COL,16,5,-11.1959782709,gonzg003,51.6012059125,1553.34245895,W,0.527225309063,166,78,16,6,0.727272727273,0.786426510653
22,2017/04/28,H,-156,NYM,7,5,34.6310019691,schem001,61.4039703187,1557.68894665,L,0.630207096225,173,83,16,7,0.695652173913,0.796903914939
23,2017/04/29,H,-173,NYM,5,3,18.0130759431,stras001,57.7079928186,1555.21117956,L,0.637883409805,178,86,16,8,0.666666666667,0.790734136997
24,2017/04/30,H,104,NYM,23,5,-19.0141185463,rossj002,49.8470168058,1552.69301653,W,0.521047338128,201,91,17,8,0.68,0.788625417462
25,2017/05/02,H,-141,ARI,6,3,0.868125228532,roart001,53.8486514583,1558.96456288,L,0.616617298336,207,94,17,9,0.653846153846,0.807574489389
26,2017/05/03,H,-143,ARI,2,1,-7.53480700187,gonzg003,51.9820274569,1556.03531619,W,0.592326322969,209,95,18,9,0.666666666667,0.806723232361
27,2017/05/04,H,-270,ARI,4,2,31.4054998784,schem001,60.2343126123,1557.11666458,W,0.676085858163,213,97,19,9,0.678571428571,0.806450280946
28,2017/05/05,A,-158,PHI,4,2,18.061027042,stras001,57.6021167228,1558.14169382,W,0.642289541453,217,99,20,9,0.689655172414,0.805919673416
29,2017/05/06,A,115,PHI,6,2,-34.5199730775,colea002,46.4590370447,1559.31668603,W,0.548361470538,223,101,21,9,0.7,0.805408526408
30,2017/05/07,A,-110,PHI,6,5,-1.58038736609,roart001,53.4455856832,1561.61226676,L,0.582981010445,229,106,21,10,0.677419354839,0.807463603255
31,2017/05/08,A,106,BAL,6,4,-9.22103768143,gonzg003,51.8977523721,1559.92635276,L,0.51893491834,235,110,21,11,0.65625,0.801263824217
32,2017/05/09,A,-153,BAL,5,4,34.6213390058,schem001,60.9354798004,1558.06324997,L,0.588850646564,240,114,21,12,0.636363636364,0.798022472766
33,2017/05/10,H,-168,BAL,7,6,18.3675129808,stras001,57.6318139166,1556.39080832,W,0.611905308001,247,120,22,12,0.647058823529,0.793710335692
34,2017/05/13,H,-175,PHI,6,4,1.10803295122,roart001,53.8515831587,1557.40175317,W,0.691074761737,253,124,23,12,0.657142857143,0.786949161836
35,2017/05/14,H,-184,PHI,4,3,-13.8403324704,gonzg003,50.5436593964,1558.35657526,L,0.63254292324,257,127,23,13,0.638888888889,0.784269935338
36,2017/05/14,H,-211,PHI,6,5,36.6459711269,schem001,61.3401425458,1556.46169516,W,0.704894330355,263,132,24,13,0.648648648649,0.781742370862
37,2017/05/16,A,-149,PIT,8,4,15.7944618014,stras001,56.8964100207,1557.13944366,W,0.600969728919,271,136,25,13,0.657894736842,0.776906201183
38,2017/05/17,A,113,PIT,6,1,-58.7278236898,turnj002,40.9871082217,1559.10110277,L,0.456715690429,277,137,25,14,0.641025641026,0.776941280519
39,2017/05/18,A,-128,PIT,10,4,-0.735758419492,roart001,53.2026931688,1556.44175392,L,0.610234796441,287,141,25,15,0.625,0.781479008898
40,2017/05/19,A,-167,ATL,7,4,-9.58082051492,gonzg003,50.9644791084,1552.18730629,L,0.565269473533,294,145,25,16,0.609756097561,0.783538485143
41,2017/05/20,A,-218,ATL,5,2,38.21241881,schem001,60.9140858929,1549.60754393,L,0.635604979321,299,147,25,17,0.595238095238,0.782346145271
42,2017/05/21,A,-185,ATL,3,2,17.7776317573,stras001,56.4609019545,1546.61109443,W,0.598510037145,302,149,26,17,0.604651162791,0.783320033863
43,2017/05/23,H,-145,SEA,10,1,-18.6520130328,rossj002,48.9061447603,1547.63623203,W,0.576238153229,312,150,27,17,0.613636363636,0.782233531717
44,2017/05/24,H,-152,SEA,5,1,-7.70898141092,roart001,51.4290906115,1551.06019816,W,0.585210234709,317,151,28,17,0.622222222222,0.790109551463
45,2017/05/25,H,-138,SEA,4,2,-15.2450033078,gonzg003,49.9705650308,1553.12195328,L,0.574544428208,321,153,28,18,0.608695652174,0.792873785046
46,2017/05/26,H,-243,SD,5,1,31.5364469293,schem001,59.9807862699,1550.92022914,W,0.734804472418,326,154,29,18,0.617021276596,0.792689807409
47,2017/05/27,H,-250,SD,3,0,17.527050747,stras001,57.2529335075,1551.98905568,W,0.71757653124,329,154,30,18,0.625,0.79533681276
48,2017/05/28,H,-142,SD,5,3,-17.5275497584,rossj002,50.0777766845,1553.00144039,L,0.6708977264,334,157,30,19,0.612244897959,0.798022472766
49,2017/05/29,A,-102,SF,3,0,-5.79866545565,roart001,52.2355177199,1550.29876731,W,0.543281285167,337,157,31,19,0.62,0.796791467067
50,2017/05/30,A,113,SF,6,3,-14.9098266969,gonzg003,50.4163518602,1552.30782029,W,0.518557820504,343,160,32,19,0.627450980392,0.799399458867
51,2017/05/31,A,-165,SF,3,1,34.8037052107,schem001,60.9096413018,1554.45703517,W,0.646585877743,346,161,33,19,0.634615384615,0.799027535871
52,2017/06/02,A,-136,OAK,13,3,22.1408227661,stras001,58.4828196029,1555.621591,W,0.608848078591,359,164,34,19,0.641509433962,0.799746747231
53,2017/06/03,A,107,OAK,10,4,-24.5977666764,rossj002,48.5754086644,1558.89003898,L,0.594939151917,369,168,34,20,0.62962962963,0.805033366004
